sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;IMULatAcceleration;IMULgtAcceleration;IMUVerAcceleration
1663764682;196877;1663764682;196902;1663764682;196833;0.0425;-0.0085;9.7155
1663764682;397114;1663764682;397143;1663764682;397070;0.0425;0.0085;9.6815
1663764682;596727;1663764682;596751;1663764682;596678;0.0595;0.0255;9.639
1663764682;797143;1663764682;797167;1663764682;797095;0.0765;0.0085;9.6815
1663764682;997129;1663764682;997153;1663764682;997075;0.1275;0.0085;9.6985
1663764683;196787;1663764683;196811;1663764683;196737;0.0595;0.0425;9.7155
1663764683;396907;1663764683;396940;1663764683;396862;0.0425;0.0255;9.6815
1663764683;597160;1663764683;597183;1663764683;597110;0.0765;0.0255;9.6815
1663764683;796813;1663764683;796843;1663764683;796761;0.0595;0;9.6135
1663764683;996942;1663764683;996966;1663764683;996893;0.0595;0.0425;9.639
1663764684;196947;1663764684;196972;1663764684;196903;0.0595;-0.0085;9.6645
1663764684;396823;1663764684;396847;1663764684;396774;0.0935;0.0085;9.6815
1663764684;596927;1663764684;596951;1663764684;596884;0.0425;-0.0085;9.6645
1663764684;797157;1663764684;797181;1663764684;797114;0.0595;0.0085;9.6645
1663764684;996777;1663764684;996801;1663764684;996731;0.0595;-0.0255;9.6815
1663764685;196943;1663764685;196967;1663764685;196900;0.0595;0.0425;9.6645
1663764685;397209;1663764685;397255;1663764685;397144;0.0765;0.0425;9.639
1663764685;596833;1663764685;596857;1663764685;596784;0.0595;0.0255;9.639
1663764685;796988;1663764685;797012;1663764685;796939;0.0595;0;9.639
1663764685;997233;1663764685;997263;1663764685;997183;0.0425;0.0255;9.6645
1663764686;196836;1663764686;196861;1663764686;196787;0.0935;0.0255;9.6815
1663764686;396992;1663764686;397016;1663764686;396943;0.0765;0.0085;9.6815
1663764686;597009;1663764686;597032;1663764686;596961;0.0425;0;9.6815
1663764686;796902;1663764686;796926;1663764686;796852;0.0935;0;9.6645
1663764686;997005;1663764686;997029;1663764686;996956;0.0765;0;9.6645
1663764687;197058;1663764687;197082;1663764687;197009;0.0765;0.0255;9.6135
1663764687;396862;1663764687;396886;1663764687;396813;0.0765;0.0765;9.6645
1663764687;597005;1663764687;597030;1663764687;596953;0.0935;0.0595;9.7155
1663764687;797074;1663764687;797098;1663764687;797024;0.0935;0.0425;9.724
1663764687;996901;1663764687;996925;1663764687;996852;0.0765;0;9.6645
1663764688;197052;1663764688;197077;1663764688;197003;0.0425;0.0255;9.6305
1663764688;397307;1663764688;397331;1663764688;397257;0.0595;0;9.6135
1663764688;596912;1663764688;596936;1663764688;596863;0.0595;0.0085;9.6645
1663764688;797306;1663764688;797329;1663764688;797258;0.0595;0.0085;9.6815
1663764688;997328;1663764688;997352;1663764688;997279;0.1275;0;9.6645
1663764689;196944;1663764689;196968;1663764689;196895;0.0595;-0.0085;9.7155
1663764689;397084;1663764689;397108;1663764689;397036;0.0595;0;9.6815
1663764689;597328;1663764689;597352;1663764689;597279;0.0765;0.0595;9.6645
1663764689;796944;1663764689;796967;1663764689;796895;0.0765;0.1615;9.6815
1663764689;997108;1663764689;997132;1663764689;997059;0.0425;0.629;9.639
1663764690;197104;1663764690;197129;1663764690;197044;0.0595;0.612;9.6815
1663764690;396952;1663764690;396976;1663764690;396900;0.0765;0.7905;9.6985
1663764690;597118;1663764690;597142;1663764690;597069;0.0595;0.833;9.6815
1663764690;797349;1663764690;797373;1663764690;797300;0.0765;0.9605;9.6305
1663764690;996971;1663764690;996995;1663764690;996920;0.1105;1.292;9.6645
1663764691;197114;1663764691;197138;1663764691;197071;0.1275;1.479;9.6135
