sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;IMURollRate;IMUYawRate
1663764791;10400;1663764791;10422;1663764791;10352;-0.009521484375;-0.45703125
1663764791;30187;1663764791;30209;1663764791;30144;-0.020751953125;-0.46142578125
1663764791;50089;1663764791;50110;1663764791;50044;-0.026123046875;-0.466796875
1663764791;70467;1663764791;70488;1663764791;70423;-0.028564453125;-0.46948242188
1663764791;90400;1663764791;90422;1663764791;90353;-0.03564453125;-0.47387695312
1663764791;110176;1663764791;110197;1663764791;110131;-0.03564453125;-0.47900390625
1663764791;130064;1663764791;130116;1663764791;130012;-0.037353515625;-0.4814453125
1663764791;150339;1663764791;150360;1663764791;150283;-0.04443359375;-0.48510742188
1663764791;170597;1663764791;170619;1663764791;170553;-0.0478515625;-0.48876953125
1663764791;189997;1663764791;190019;1663764791;189948;-0.048583984375;-0.4912109375
1663764791;210035;1663764791;210057;1663764791;209986;-0.045166015625;-0.49389648438
1663764791;230407;1663764791;230429;1663764791;230363;-0.040771484375;-0.49462890625
1663764791;250429;1663764791;250451;1663764791;250380;-0.03564453125;-0.49560546875
1663764791;270290;1663764791;270312;1663764791;270242;-0.028564453125;-0.50244140625
1663764791;290058;1663764791;290081;1663764791;290010;-0.0146484375;-0.50512695312
1663764791;310411;1663764791;310434;1663764791;310363;-0.004150390625;-0.50439453125
1663764791;330222;1663764791;330244;1663764791;330177;0.005126953125;-0.5078125
1663764791;350066;1663764791;350088;1663764791;350022;0.01025390625;-0.51391601562
1663764791;370474;1663764791;370496;1663764791;370429;0.016357421875;-0.51123046875
1663764791;390395;1663764791;390418;1663764791;390347;0.016357421875;-0.51489257812
1663764791;410179;1663764791;410202;1663764791;410133;0.012939453125;-0.51635742188
1663764791;430049;1663764791;430071;1663764791;430005;0.009521484375;-0.51733398438
1663764791;450500;1663764791;450522;1663764791;450457;0.016357421875;-0.51928710938
1663764791;470404;1663764791;470426;1663764791;470356;0.01806640625;-0.5244140625
1663764791;490011;1663764791;490032;1663764791;489966;0.0234375;-0.52954101562
1663764791;510046;1663764791;510068;1663764791;510002;0.0234375;-0.52954101562
1663764791;530422;1663764791;530445;1663764791;530373;0.032958984375;-0.533203125
1663764791;550410;1663764791;550433;1663764791;550363;0.032958984375;-0.5322265625
1663764791;570327;1663764791;570350;1663764791;570280;0.033935546875;-0.53735351562
1663764791;590016;1663764791;590039;1663764791;589967;0.03564453125;-0.53564453125
1663764791;610410;1663764791;610432;1663764791;610362;0.0390625;-0.53491210938
1663764791;630237;1663764791;630259;1663764791;630189;0.04443359375;-0.53051757812
1663764791;650126;1663764791;650148;1663764791;650077;0.04345703125;-0.52954101562
1663764791;670466;1663764791;670488;1663764791;670422;0.0380859375;-0.53051757812
1663764791;690406;1663764791;690428;1663764791;690358;0.030517578125;-0.52612304688
1663764791;710210;1663764791;710233;1663764791;710159;0.025146484375;-0.52685546875
1663764791;730054;1663764791;730077;1663764791;730006;0.016357421875;-0.52612304688
1663764791;750509;1663764791;750530;1663764791;750465;0.0068359375;-0.52001953125
1663764791;770637;1663764791;770659;1663764791;770593;-0.00244140625;-0.52514648438
1663764791;789877;1663764791;789898;1663764791;789832;-0.007568359375;-0.5244140625
