sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;IMULatAcceleration;IMULgtAcceleration;IMUVerAcceleration;ts;sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;SteeringWhlAngle
1663765100;97194;1663765100;97219;1663765100;97145;0.0935;-0.0595;9.4435;1663765100097145;1663765100;89092;1663765100;89114;1663765100;89047;-0.0205078125
1663765100;196634;1663765100;196658;1663765100;196586;0.1105;-0.0765;9.7665;1663765100196586;1663765100;188874;1663765100;188897;1663765100;188827;-0.0224609375
1663765100;296679;1663765100;296703;1663765100;296630;0.0595;0.1275;9.7495;1663765100296630;1663765100;288736;1663765100;288758;1663765100;288688;-0.0224609375
1663765100;397201;1663765100;397225;1663765100;397152;0.1275;0.1105;9.6645;1663765100397152;1663765100;389081;1663765100;389102;1663765100;389036;-0.0234375
1663765100;496655;1663765100;496679;1663765100;496611;-0.0595;-0.0765;9.809;1663765100496611;1663765100;489124;1663765100;489146;1663765100;489080;-0.0244140625
1663765100;596651;1663765100;596675;1663765100;596607;0.1955;-0.0425;9.8175;1663765100596607;1663765100;588810;1663765100;588832;1663765100;588761;-0.025390625
1663765100;697203;1663765100;697227;1663765100;697154;-0.0595;-0.0425;9.5965;1663765100697154;1663765100;689134;1663765100;689156;1663765100;689073;-0.0380859375
1663765100;796636;1663765100;796660;1663765100;796592;0.1615;-0.0935;9.962;1663765100796592;1663765100;789116;1663765100;789137;1663765100;789072;-0.0390625
1663765100;896712;1663765100;896737;1663765100;896663;-0.0425;0.0425;9.724;1663765100896663;1663765100;888848;1663765100;888870;1663765100;888804;-0.041015625
1663765100;997204;1663765100;997228;1663765100;997155;0.0425;-0.0935;9.486;1663765100997155;1663765100;989101;1663765100;989123;1663765100;989052;-0.046875
1663765101;96658;1663765101;96682;1663765101;96614;-0.0765;-0.0595;9.5115;1663765101096614;1663765101;89102;1663765101;89123;1663765101;89058;-0.046875
1663765101;196670;1663765101;196694;1663765101;196626;0.0085;-0.0935;9.6815;1663765101196626;1663765101;188771;1663765101;188793;1663765101;188726;-0.07421875
1663765101;297218;1663765101;297242;1663765101;297169;-0.2465;-0.0255;9.4095;1663765101297169;1663765101;289123;1663765101;289145;1663765101;289073;-0.1455078125
1663765101;396671;1663765101;396695;1663765101;396622;-0.2805;-0.0935;9.7155;1663765101396622;1663765101;388874;1663765101;388895;1663765101;388829;-0.251953125
1663765101;496697;1663765101;496721;1663765101;496648;-0.612;-0.0425;9.724;1663765101496648;1663765101;488785;1663765101;488807;1663765101;488735;-0.359375
1663765101;597210;1663765101;597235;1663765101;597165;-0.8925;-0.0595;9.4605;1663765101597165;1663765101;589115;1663765101;589154;1663765101;589057;-0.453125
1663765101;696697;1663765101;696721;1663765101;696648;-1.292;0.1105;9.4775;1663765101696648;1663765101;689140;1663765101;689161;1663765101;689095;-0.533203125
1663765101;796704;1663765101;796728;1663765101;796655;-1.36;0.0085;9.571;1663765101796655;1663765101;788801;1663765101;788823;1663765101;788752;-0.5888671875
1663765101;897237;1663765101;897261;1663765101;897188;-1.5555;-0.0595;9.809;1663765101897188;1663765101;889140;1663765101;889162;1663765101;889092;-0.59375
1663765101;996685;1663765101;996709;1663765101;996637;-1.224;-0.0935;9.809;1663765101996637;1663765101;989151;1663765101;989174;1663765101;989104;-0.5849609375
1663765102;96758;1663765102;96788;1663765102;96693;-1.241;-0.0085;9.7155;1663765102096693;1663765102;88849;1663765102;88872;1663765102;88801;-0.5625
1663765102;197247;1663765102;197271;1663765102;197198;-0.7225;-0.0085;9.962;1663765102197198;1663765102;189139;1663765102;189161;1663765102;189091;-0.53515625
1663765102;296708;1663765102;296733;1663765102;296659;-0.7905;0.306;9.7835;1663765102296659;1663765102;289149;1663765102;289173;1663765102;289098;-0.46484375
1663765102;396709;1663765102;396733;1663765102;396661;-0.8585;0.2125;9.6645;1663765102396661;1663765102;388799;1663765102;388822;1663765102;388750;-0.3310546875
1663765102;497246;1663765102;497270;1663765102;497196;-0.2295;0.0595;9.6815;1663765102497196;1663765102;489139;1663765102;489160;1663765102;489095;-0.1904296875
1663765102;596700;1663765102;596724;1663765102;596650;-0.1275;0.0;9.6985;1663765102596650;1663765102;589143;1663765102;589166;1663765102;589094;-0.099609375
1663765102;696720;1663765102;696744;1663765102;696666;0.0425;-0.0935;9.6305;1663765102696666;1663765102;688824;1663765102;688847;1663765102;688774;-0.064453125
1663765102;797258;1663765102;797283;1663765102;797210;0.0935;-0.0255;9.4095;1663765102797210;1663765102;789162;1663765102;789201;1663765102;789117;-0.0478515625
1663765102;896731;1663765102;896755;1663765102;896682;0.1615;-0.0595;9.8345;1663765102896682;1663765102;889188;1663765102;889210;1663765102;889139;-0.0263671875
1663765102;996741;1663765102;996766;1663765102;996692;-0.2635;0.1785;9.5625;1663765102996692;1663765102;988788;1663765102;988810;1663765102;988743;0.0126953125
1663765103;97242;1663765103;97267;1663765103;97199;0.3145;-0.0595;9.724;1663765103097199;1663765103;89167;1663765103;89189;1663765103;89118;0.041015625
1663765103;196717;1663765103;196741;1663765103;196668;-0.2465;-0.0425;9.2905;1663765103196668;1663765103;188930;1663765103;188951;1663765103;188885;0.0625
1663765103;296768;1663765103;296800;1663765103;296718;0.1955;0.2125;10.115;1663765103296718;1663765103;288914;1663765103;288936;1663765103;288866;0.087890625
1663765103;397284;1663765103;397310;1663765103;397229;0.2635;-0.0935;9.6985;1663765103397229;1663765103;389140;1663765103;389162;1663765103;389096;0.140625
1663765103;496728;1663765103;496752;1663765103;496678;0.5695;-0.0935;9.8685;1663765103496678;1663765103;489182;1663765103;489204;1663765103;489134;0.197265625
1663765103;596740;1663765103;596773;1663765103;596689;0.6545;-0.0595;9.6305;1663765103596689;1663765103;588826;1663765103;588847;1663765103;588776;0.25390625
1663765103;697272;1663765103;697296;1663765103;697224;0.765;0.1105;9.6985;1663765103697224;1663765103;689167;1663765103;689188;1663765103;689122;0.29296875
1663765103;796723;1663765103;796747;1663765103;796673;0.7055;-0.0255;9.571;1663765103796673;1663765103;789197;1663765103;789219;1663765103;789149;0.3505859375
1663765103;896747;1663765103;896772;1663765103;896699;1.0795;0.0255;9.486;1663765103896699;1663765103;888851;1663765103;888873;1663765103;888807;0.3974609375
1663765103;997288;1663765103;997312;1663765103;997239;1.0965;0.0765;9.5625;1663765103997239;1663765103;989166;1663765103;989188;1663765103;989119;0.4130859375
1663765104;96762;1663765104;96786;1663765104;96713;0.8925;0.0595;9.8345;1663765104096713;1663765104;89181;1663765104;89203;1663765104;89136;0.4150390625
1663765104;196731;1663765104;196754;1663765104;196687;1.1645;0.2805;9.3925;1663765104196687;1663765104;188823;1663765104;188845;1663765104;188775;0.4150390625
1663765104;297289;1663765104;297325;1663765104;297239;0.918;0.2635;9.4775;1663765104297239;1663765104;289175;1663765104;289197;1663765104;289131;0.416015625
1663765104;396735;1663765104;396759;1663765104;396686;0.9605;0.3145;9.5285;1663765104396686;1663765104;389207;1663765104;389228;1663765104;389163;0.416015625
1663765104;496777;1663765104;496801;1663765104;496729;0.7905;0.3145;9.5285;1663765104496729;1663765104;488951;1663765104;488973;1663765104;488903;0.416015625
1663765104;597298;1663765104;597322;1663765104;597250;0.9605;0.306;9.6985;1663765104597250;1663765104;589182;1663765104;589204;1663765104;589138;0.416015625
1663765104;696733;1663765104;696756;1663765104;696689;0.833;0.306;9.809;1663765104696689;1663765104;689214;1663765104;689235;1663765104;689169;0.4130859375
1663765104;796769;1663765104;796794;1663765104;796720;0.918;0.2465;9.724;1663765104796720;1663765104;788877;1663765104;788899;1663765104;788827;0.388671875
1663765104;897300;1663765104;897324;1663765104;897251;0.8925;0.1615;9.7665;1663765104897251;1663765104;889186;1663765104;889208;1663765104;889142;0.3759765625
1663765104;996732;1663765104;996755;1663765104;996688;0.9265;0.0425;9.7495;1663765104996688;1663765104;989219;1663765104;989241;1663765104;989171;0.3583984375
1663765105;96797;1663765105;96821;1663765105;96748;0.68;0.0765;9.8515;1663765105096748;1663765105;88885;1663765105;88907;1663765105;88839;0.32421875
1663765105;197310;1663765105;197334;1663765105;197261;0.765;-0.0765;9.7155;1663765105197261;1663765105;189183;1663765105;189205;1663765105;189138;0.2646484375
1663765105;296791;1663765105;296815;1663765105;296740;0.5865;0.0085;9.724;1663765105296740;1663765105;289226;1663765105;289248;1663765105;289182;0.19140625
1663765105;396832;1663765105;396862;1663765105;396768;0.4675;-0.0255;9.6645;1663765105396768;1663765105;388884;1663765105;388906;1663765105;388840;0.1220703125
1663765105;497320;1663765105;497344;1663765105;497272;0.3655;-0.0935;9.7155;1663765105497272;1663765105;489217;1663765105;489239;1663765105;489168;0.087890625
1663765105;596768;1663765105;596793;1663765105;596719;0.3315;-0.0425;9.6645;1663765105596719;1663765105;589233;1663765105;589255;1663765105;589189;0.0830078125
1663765105;696827;1663765105;696851;1663765105;696778;0.1955;-0.0765;9.571;1663765105696778;1663765105;688966;1663765105;688988;1663765105;688918;0.06640625
1663765105;797296;1663765105;797320;1663765105;797253;0.2805;-0.0425;9.8175;1663765105797253;1663765105;789219;1663765105;789240;1663765105;789175;0.0595703125
1663765105;896800;1663765105;896823;1663765105;896751;0.1275;-0.1275;9.5115;1663765105896751;1663765105;889271;1663765105;889293;1663765105;889222;0.0556640625
1663765105;996803;1663765105;996833;1663765105;996752;0.2805;-0.1105;9.4095;1663765105996752;1663765105;988906;1663765105;988927;1663765105;988861;0.0517578125
1663765106;97344;1663765106;97368;1663765106;97295;0.1785;-0.4845;9.724;1663765106097295;1663765106;89258;1663765106;89280;1663765106;89211;0.05078125
1663765106;196799;1663765106;196822;1663765106;196750;0.0595;-1.173;9.4095;1663765106196750;1663765106;189241;1663765106;189278;1663765106;189197;0.048828125
1663765106;296826;1663765106;296850;1663765106;296777;0.2465;-1.292;9.333;1663765106296777;1663765106;288911;1663765106;288935;1663765106;288861;0.0341796875
1663765106;397363;1663765106;397387;1663765106;397313;0.0595;-1.326;9.639;1663765106397313;1663765106;389237;1663765106;389277;1663765106;389191;0.015625
1663765106;496831;1663765106;496855;1663765106;496782;0.0595;-1.377;9.571;1663765106496782;1663765106;489247;1663765106;489270;1663765106;489198;0.0126953125
