sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;IMULatAcceleration;IMULgtAcceleration;IMUVerAcceleration;ts;sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;SteeringWhlAngle
1663764871;91173;1663764871;91198;1663764871;91124;0.1785;0.5015;9.044;1663764871091124;1663764871;82837;1663764871;82859;1663764871;82789;0.005859375
1663764871;191362;1663764871;191386;1663764871;191312;-0.0935;0.306;10.0385;1663764871191312;1663764871;183048;1663764871;183071;1663764871;182991;0.001953125
1663764871;291152;1663764871;291175;1663764871;291102;0.3825;1.0285;9.4775;1663764871291102;1663764871;283060;1663764871;283082;1663764871;283006;-0.0009765625
1663764871;391139;1663764871;391163;1663764871;391088;-0.1955;0.7905;9.3585;1663764871391088;1663764871;382812;1663764871;382834;1663764871;382764;-0.017578125
1663764871;491402;1663764871;491427;1663764871;491354;-0.1105;0.2125;9.4435;1663764871491354;1663764871;483049;1663764871;483072;1663764871;482992;-0.02734375
1663764871;591149;1663764871;591174;1663764871;591101;0.0425;0.306;9.4095;1663764871591101;1663764871;583068;1663764871;583090;1663764871;583022;-0.02734375
1663764871;691129;1663764871;691153;1663764871;691080;-0.2295;0.782;10.1405;1663764871691080;1663764871;682890;1663764871;682912;1663764871;682843;-0.033203125
1663764871;791414;1663764871;791438;1663764871;791365;0.2465;0.8075;9.3755;1663764871791365;1663764871;783076;1663764871;783099;1663764871;783022;-0.04296875
1663764871;891158;1663764871;891182;1663764871;891110;0.0425;0.8755;9.6815;1663764871891110;1663764871;883104;1663764871;883126;1663764871;883048;-0.0537109375
1663764871;991157;1663764871;991180;1663764871;991106;0.0425;0.7395;9.7665;1663764871991106;1663764871;982842;1663764871;982865;1663764871;982794;-0.052734375
1663764872;91386;1663764872;91410;1663764872;91342;0.306;1.0965;9.5285;1663764872091342;1663764872;83301;1663764872;83322;1663764872;83255;-0.044921875
1663764872;191169;1663764872;191195;1663764872;191113;-0.0935;0.986;9.3075;1663764872191113;1663764872;183084;1663764872;183117;1663764872;183025;-0.0107421875
1663764872;291165;1663764872;291189;1663764872;291114;0.697;0.85;9.8515;1663764872291114;1663764872;282858;1663764872;282880;1663764872;282810;0.01953125
1663764872;391422;1663764872;391457;1663764872;391371;-0.153;0.7225;9.5965;1663764872391371;1663764872;383083;1663764872;383105;1663764872;383035;0.03125
1663764872;491190;1663764872;491214;1663764872;491141;0.3995;1.241;9.8685;1663764872491141;1663764872;483110;1663764872;483132;1663764872;483055;0.0537109375
1663764872;591173;1663764872;591197;1663764872;591123;0.0085;0.7225;9.962;1663764872591123;1663764872;582862;1663764872;582884;1663764872;582815;0.08203125
1663764872;691421;1663764872;691445;1663764872;691373;0.459;0.8585;9.6985;1663764872691373;1663764872;683096;1663764872;683119;1663764872;683041;0.123046875
1663764872;791173;1663764872;791197;1663764872;791124;0.2635;0.612;9.5455;1663764872791124;1663764872;783086;1663764872;783109;1663764872;783030;0.1640625
1663764872;891191;1663764872;891215;1663764872;891142;0.4675;0.3655;9.6305;1663764872891142;1663764872;882879;1663764872;882901;1663764872;882830;0.208984375
1663764872;991425;1663764872;991449;1663764872;991377;0.8585;0.306;9.5115;1663764872991377;1663764872;983080;1663764872;983103;1663764872;983024;0.2548828125
1663764873;91193;1663764873;91217;1663764873;91144;0.8755;0.3655;9.3925;1663764873091144;1663764873;83122;1663764873;83144;1663764873;83066;0.3115234375
1663764873;191163;1663764873;191206;1663764873;191106;1.156;-0.0425;9.8855;1663764873191106;1663764873;182851;1663764873;182873;1663764873;182806;0.3212890625
1663764873;291430;1663764873;291455;1663764873;291381;0.4335;-0.0085;9.7155;1663764873291381;1663764873;283298;1663764873;283319;1663764873;283257;0.3251953125
1663764873;391183;1663764873;391207;1663764873;391134;0.918;0.1785;9.962;1663764873391134;1663764873;383102;1663764873;383124;1663764873;383048;0.3515625
1663764873;491232;1663764873;491261;1663764873;491168;1.0285;-0.1275;9.9195;1663764873491168;1663764873;482894;1663764873;482916;1663764873;482847;0.384765625
1663764873;591444;1663764873;591468;1663764873;591395;1.241;0.0425;9.6985;1663764873591395;1663764873;583083;1663764873;583105;1663764873;583029;0.4306640625
1663764873;691181;1663764873;691206;1663764873;691130;1.309;0.0255;9.8175;1663764873691130;1663764873;683137;1663764873;683160;1663764873;683081;0.4794921875
1663764873;791203;1663764873;791227;1663764873;791154;1.2495;0.0085;9.6815;1663764873791154;1663764873;782854;1663764873;782877;1663764873;782806;0.5283203125
1663764873;891447;1663764873;891471;1663764873;891398;1.53;0.1275;9.2905;1663764873891398;1663764873;883122;1663764873;883144;1663764873;883068;0.5625
1663764873;991205;1663764873;991229;1663764873;991156;1.241;-0.0595;9.639;1663764873991156;1663764873;983138;1663764873;983161;1663764873;983083;0.5712890625
1663764874;91210;1663764874;91233;1663764874;91161;1.5725;0.1615;9.6135;1663764874091161;1663764874;82950;1663764874;82975;1663764874;82889;0.57421875
