sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;IMULatAcceleration;IMULgtAcceleration;IMUVerAcceleration;ts;sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;SteeringWhlAngle
1663765125;597818;1663765125;597842;1663765125;597769;-0.0255;0.0085;9.5115;1663765125597769;1663765125;589722;1663765125;589745;1663765125;589667;0.0009765625
1663765125;697324;1663765125;697348;1663765125;697275;-0.0255;-0.2635;9.7155;1663765125697275;1663765125;689737;1663765125;689759;1663765125;689685;0.0009765625
1663765125;797297;1663765125;797327;1663765125;797246;0.0255;-0.2295;9.5455;1663765125797246;1663765125;789137;1663765125;789159;1663765125;789092;0.001953125
1663765125;897822;1663765125;897845;1663765125;897769;-0.1105;-0.2805;9.7665;1663765125897769;1663765125;889728;1663765125;889750;1663765125;889675;0.001953125
1663765125;997294;1663765125;997318;1663765125;997245;0.0255;-0.306;9.7835;1663765125997245;1663765125;989761;1663765125;989783;1663765125;989709;0.0029296875
1663765126;97316;1663765126;97340;1663765126;97271;-0.0085;-0.306;9.6815;1663765126097271;1663765126;89172;1663765126;89194;1663765126;89124;0.001953125
1663765126;197838;1663765126;197868;1663765126;197781;-0.0255;-0.2465;9.3075;1663765126197781;1663765126;189718;1663765126;189742;1663765126;189665;-0.001953125
1663765126;297308;1663765126;297332;1663765126;297259;0.0425;-0.2805;9.3585;1663765126297259;1663765126;289741;1663765126;289764;1663765126;289688;-0.0029296875
1663765126;397309;1663765126;397333;1663765126;397259;-0.0425;-0.2805;9.3245;1663765126397259;1663765126;389153;1663765126;389175;1663765126;389105;-0.005859375
1663765126;497847;1663765126;497871;1663765126;497799;-0.0935;-0.153;9.418;1663765126497799;1663765126;489732;1663765126;489754;1663765126;489679;-0.0126953125
1663765126;597292;1663765126;597316;1663765126;597243;-0.1105;-0.2295;10.1745;1663765126597243;1663765126;589500;1663765126;589523;1663765126;589454;-0.015625
1663765126;697317;1663765126;697341;1663765126;697268;-0.306;-0.2125;10.5145;1663765126697268;1663765126;689159;1663765126;689181;1663765126;689110;-0.0146484375
1663765126;797851;1663765126;797875;1663765126;797803;0.0595;-0.3485;10.3785;1663765126797803;1663765126;789767;1663765126;789789;1663765126;789711;-0.02734375
1663765126;897317;1663765126;897341;1663765126;897268;-0.3485;-0.7395;10.6675;1663765126897268;1663765126;889773;1663765126;889795;1663765126;889721;-0.064453125
1663765126;997318;1663765126;997342;1663765126;997269;-0.153;-0.0765;10.0215;1663765126997269;1663765126;989185;1663765126;989207;1663765126;989137;-0.1064453125
1663765127;97850;1663765127;97874;1663765127;97801;-0.1615;-0.2125;9.2055;1663765127097801;1663765127;89748;1663765127;89785;1663765127;89701;-0.1669921875
1663765127;197305;1663765127;197330;1663765127;197256;-0.3315;-0.2295;9.8515;1663765127197256;1663765127;189751;1663765127;189773;1663765127;189694;-0.251953125
1663765127;297385;1663765127;297415;1663765127;297322;-0.6375;-0.2465;9.639;1663765127297322;1663765127;289206;1663765127;289228;1663765127;289158;-0.341796875
1663765127;397866;1663765127;397891;1663765127;397817;-1.071;-0.2805;9.7495;1663765127397817;1663765127;389741;1663765127;389764;1663765127;389684;-0.4482421875
1663765127;497322;1663765127;497346;1663765127;497273;-1.445;-0.3485;9.7155;1663765127497273;1663765127;489758;1663765127;489781;1663765127;489705;-0.529296875
1663765127;597335;1663765127;597363;1663765127;597285;-1.598;-0.1105;9.3585;1663765127597285;1663765127;589151;1663765127;589175;1663765127;589102;-0.5576171875
1663765127;697849;1663765127;697873;1663765127;697799;-1.5555;-0.3995;10.0895;1663765127697799;1663765127;689778;1663765127;689801;1663765127;689721;-0.5615234375
1663765127;797330;1663765127;797354;1663765127;797281;-1.4025;-0.1955;9.8345;1663765127797281;1663765127;789772;1663765127;789794;1663765127;789719;-0.564453125
1663765127;897351;1663765127;897375;1663765127;897303;-1.3175;-0.0935;9.6305;1663765127897303;1663765127;889176;1663765127;889198;1663765127;889128;-0.57421875
1663765127;997880;1663765127;997904;1663765127;997831;-1.887;0.1955;8.789;1663765127997831;1663765127;989766;1663765127;989789;1663765127;989708;-0.5771484375
1663765128;97365;1663765128;97389;1663765128;97316;-1.53;0.0765;9.5455;1663765128097316;1663765128;89807;1663765128;89837;1663765128;89746;-0.5791015625
1663765128;197343;1663765128;197368;1663765128;197294;-1.921;-0.0425;9.3755;1663765128197294;1663765128;189208;1663765128;189230;1663765128;189159;-0.5849609375
1663765128;297876;1663765128;297900;1663765128;297827;-1.53;0.0;9.3245;1663765128297827;1663765128;289793;1663765128;289816;1663765128;289736;-0.583984375
1663765128;397324;1663765128;397348;1663765128;397276;-1.615;-0.0935;9.3585;1663765128397276;1663765128;389567;1663765128;389605;1663765128;389520;-0.5849609375
1663765128;497381;1663765128;497405;1663765128;497332;-1.445;-0.0085;9.5965;1663765128497332;1663765128;489221;1663765128;489242;1663765128;489176;-0.5849609375
1663765128;597895;1663765128;597920;1663765128;597847;-1.5555;0.0;9.639;1663765128597847;1663765128;589769;1663765128;589791;1663765128;589725;-0.57421875
1663765128;697327;1663765128;697350;1663765128;697282;-1.445;-0.0935;9.5625;1663765128697282;1663765128;689802;1663765128;689824;1663765128;689751;-0.5244140625
1663765128;797367;1663765128;797391;1663765128;797318;-1.003;0.0;9.6815;1663765128797318;1663765128;789197;1663765128;789219;1663765128;789148;-0.3544921875
1663765128;897889;1663765128;897921;1663765128;897835;-0.5865;-0.0765;9.724;1663765128897835;1663765128;889808;1663765128;889830;1663765128;889757;-0.126953125
1663765128;997353;1663765128;997377;1663765128;997304;-0.3315;0.0255;9.7495;1663765128997304;1663765128;989820;1663765128;989842;1663765128;989765;-0.0234375
1663765129;97393;1663765129;97417;1663765129;97344;0.1615;0.0595;10.1915;1663765129097344;1663765129;89196;1663765129;89220;1663765129;89141;0.0771484375
1663765129;197910;1663765129;197934;1663765129;197860;0.5185;-0.0425;9.7155;1663765129197860;1663765129;189820;1663765129;189842;1663765129;189760;0.2109375
1663765129;297370;1663765129;297394;1663765129;297320;0.5185;-0.0425;10.1575;1663765129297320;1663765129;289822;1663765129;289844;1663765129;289771;0.298828125
1663765129;397375;1663765129;397399;1663765129;397326;0.7735;0.0255;10.2255;1663765129397326;1663765129;389211;1663765129;389232;1663765129;389166;0.3203125
1663765129;497912;1663765129;497936;1663765129;497863;0.9435;0.1105;9.8345;1663765129497863;1663765129;489800;1663765129;489837;1663765129;489744;0.3310546875
1663765129;597363;1663765129;597388;1663765129;597312;0.8925;0.1105;9.8515;1663765129597312;1663765129;589825;1663765129;589847;1663765129;589774;0.3837890625
1663765129;697422;1663765129;697446;1663765129;697373;1.1815;0.0765;9.639;1663765129697373;1663765129;689258;1663765129;689280;1663765129;689209;0.4228515625
1663765129;797922;1663765129;797945;1663765129;797873;0.9435;0.0425;9.5625;1663765129797873;1663765129;789820;1663765129;789843;1663765129;789765;0.46484375
1663765129;897377;1663765129;897401;1663765129;897333;1.224;0.0;9.5115;1663765129897333;1663765129;889841;1663765129;889863;1663765129;889792;0.5205078125
1663765129;997426;1663765129;997456;1663765129;997362;1.2495;0.0595;9.5285;1663765129997362;1663765129;989201;1663765129;989223;1663765129;989156;0.595703125
1663765130;97923;1663765130;97947;1663765130;97874;1.768;-0.0255;9.5455;1663765130097874;1663765130;89821;1663765130;89842;1663765130;89769;0.7138671875
1663765130;197390;1663765130;197414;1663765130;197341;1.921;0.0;9.639;1663765130197341;1663765130;189819;1663765130;189862;1663765130;189767;0.8251953125
1663765130;297392;1663765130;297416;1663765130;297348;2.244;0.1275;9.8345;1663765130297348;1663765130;289244;1663765130;289266;1663765130;289195;0.8515625
1663765130;397922;1663765130;397946;1663765130;397874;2.0995;-0.0425;9.639;1663765130397874;1663765130;389855;1663765130;389879;1663765130;389795;0.787109375
1663765130;497412;1663765130;497436;1663765130;497363;1.7935;0.0425;9.8685;1663765130497363;1663765130;489838;1663765130;489859;1663765130;489794;0.6513671875
1663765130;597426;1663765130;597450;1663765130;597376;1.36;-0.1105;9.6305;1663765130597376;1663765130;589242;1663765130;589264;1663765130;589193;0.4912109375
1663765130;697929;1663765130;697953;1663765130;697880;0.7905;-0.0255;9.6305;1663765130697880;1663765130;689833;1663765130;689855;1663765130;689776;0.328125
1663765130;797415;1663765130;797439;1663765130;797366;0.3655;-0.1785;9.3075;1663765130797366;1663765130;789852;1663765130;789874;1663765130;789804;0.2060546875
1663765130;897452;1663765130;897477;1663765130;897403;0.0765;-0.1105;9.418;1663765130897403;1663765130;889286;1663765130;889307;1663765130;889241;0.1328125
1663765130;997952;1663765130;997976;1663765130;997903;0.0255;-0.0935;9.333;1663765130997903;1663765130;989855;1663765130;989877;1663765130;989803;0.1083984375
