IMULatAcceleration;ts;SteeringWhlAngle;morton
105015;1663765174598932;101083;16136316831
105185;1663765174698958;100888;16136296065
104335;1663765174799212;100878;16133210365
103059;1663765174898946;100849;16131746567
102465;1663765174998970;100722;16131439113
101105;1663765175099221;100595;16119037707
101785;1663765175198947;100419;16119849291
102465;1663765175299022;100332;16125704353
102295;1663765175399228;100292;16114508085
101785;1663765175498985;100078;16114117097
100425;1663765175598970;99052;16110893281
93795;1663765175699233;96816;13939514885
87590;1663765175798940;93896;13853566100
77475;1663765175898978;90595;13628795919
65830;1663765175998994;87031;13456092734
59540;1663765176099048;84580;10549225776
54695;1663765176198967;84218;10495323805
52570;1663765176299242;84677;10483249510
54950;1663765176398941;86015;10498272958
61750;1663765176499039;88730;10595436444
76200;1663765176598996;92431;13635896554
84019;1663765176698984;96904;13871121797
97875;1663765176798990;101015;15399162671
113090;1663765176899265;104726;16236368428
122270;1663765176998981;108378;16533644252
172448;1663765177099030;80907;27088995466
164967;1663765177199269;93345;27526208535
193363;1663765177299073;83956;27735866149
168628;1663765177399021;90163;27531693850
170342;1663765177499252;92430;27544196284
177897;1663765177598982;81683;27107677771
126180;1663765177699045;106582;16581162552
113940;1663765177799264;103105;16229441810
102295;1663765177899027;100781;16120269239
96515;1663765177999036;100234;15391752333
93030;1663765178099295;100361;15380845718
96515;1663765178199016;100390;15397357613
100085;1663765178299043;100390;16115850553
100425;1663765178399311;100419;16118722635
100254;1663765178499057;100419;16115917150
100595;1663765178599059;100136;16113098117
97535;1663765178699316;99619;15392202079
96685;1663765178799002;99384;15391084241
97365;1663765178899042;99384;15392054161
97195;1663765178999086;99492;15391378533
