sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;IMULatAcceleration;IMULgtAcceleration;IMUVerAcceleration;ts;sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;SteeringWhlAngle
1663764920;792335;1663764920;792360;1663764920;792285;0.1105;0.544;9.6135;1663764920792285;1663764920;784559;1663764920;784581;1663764920;784510;0.0146484375
1663764920;892411;1663764920;892441;1663764920;892355;-0.0595;0.4675;9.4775;1663764920892355;1663764920;884149;1663764920;884173;1663764920;884098;0.01171875
1663764920;992839;1663764920;992863;1663764920;992790;-0.0595;0.4845;9.7155;1663764920992790;1663764920;984297;1663764920;984320;1663764920;984246;0.01171875
1663764921;92532;1663764921;92555;1663764921;92483;-0.0595;0.2635;9.639;1663764921092483;1663764921;84315;1663764921;84336;1663764921;84270;0.01171875
1663764921;192517;1663764921;192540;1663764921;192468;0.153;0.5185;9.8515;1663764921192468;1663764921;184088;1663764921;184111;1663764921;184040;0.01171875
1663764921;292841;1663764921;292866;1663764921;292792;0.2635;0.68;9.5965;1663764921292792;1663764921;284580;1663764921;284602;1663764921;284536;0.0087890625
1663764921;392525;1663764921;392550;1663764921;392476;0.3315;0.68;9.6815;1663764921392476;1663764921;384342;1663764921;384363;1663764921;384298;0.021484375
1663764921;492523;1663764921;492547;1663764921;492475;0.306;0.4845;9.6135;1663764921492475;1663764921;484069;1663764921;484090;1663764921;484025;0.0380859375
1663764921;592824;1663764921;592851;1663764921;592779;0.153;0.2635;9.962;1663764921592779;1663764921;584292;1663764921;584335;1663764921;584229;0.0625
1663764921;692506;1663764921;692531;1663764921;692457;0.5695;0.459;9.8515;1663764921692457;1663764921;684357;1663764921;684379;1663764921;684313;0.173828125
1663764921;792514;1663764921;792538;1663764921;792464;0.833;0.3315;10.0385;1663764921792464;1663764921;784120;1663764921;784142;1663764921;784072;0.447265625
1663764921;892851;1663764921;892876;1663764921;892802;2.0995;0.3145;9.4775;1663764921892802;1663764921;884327;1663764921;884349;1663764921;884279;0.7998046875
1663764921;992517;1663764921;992541;1663764921;992468;2.72;0.2465;9.1715;1663764921992468;1663764921;984334;1663764921;984356;1663764921;984285;1.158203125
1663764922;92411;1663764922;92440;1663764922;92348;3.519;-0.0255;9.7835;1663764922092348;1663764922;84149;1663764922;84171;1663764922;84099;1.2783203125
1663764922;192612;1663764922;192636;1663764922;192564;3.366;0.0765;9.809;1663764922192564;1663764922;184315;1663764922;184337;1663764922;184265;1.22265625
1663764922;292377;1663764922;292401;1663764922;292328;3.519;0.4165;9.6305;1663764922292328;1663764922;284359;1663764922;284381;1663764922;284311;1.103515625
1663764922;392392;1663764922;392416;1663764922;392342;3.06;0.391;9.0185;1663764922392342;1663764922;384100;1663764922;384124;1663764922;384047;0.9453125
1663764922;492604;1663764922;492628;1663764922;492555;2.312;0.4675;9.2565;1663764922492555;1663764922;484620;1663764922;484642;1663764922;484571;0.763671875
1663764922;592371;1663764922;592410;1663764922;592306;1.683;0.3315;9.5625;1663764922592306;1663764922;584336;1663764922;584357;1663764922;584292;0.501953125
1663764922;692396;1663764922;692420;1663764922;692347;0.2295;0.2295;9.8685;1663764922692347;1663764922;684123;1663764922;684146;1663764922;684074;0.212890625
1663764922;792632;1663764922;792672;1663764922;792584;-0.3485;0.306;9.8175;1663764922792584;1663764922;784342;1663764922;784364;1663764922;784293;-0.130859375
1663764922;892377;1663764922;892401;1663764922;892328;-1.292;0.3485;9.418;1663764922892328;1663764922;884393;1663764922;884414;1663764922;884348;-0.474609375
1663764922;992419;1663764922;992443;1663764922;992369;-2.125;0.0765;9.809;1663764922992369;1663764922;984133;1663764922;984155;1663764922;984084;-0.8447265625
1663764923;92641;1663764923;92665;1663764923;92592;-3.213;0.1105;9.6645;1663764923092592;1663764923;84356;1663764923;84378;1663764923;84311;-1.1669921875
1663764923;192408;1663764923;192432;1663764923;192359;-3.519;-0.0765;9.2225;1663764923192359;1663764923;184378;1663764923;184400;1663764923;184329;-1.3525390625
1663764923;292502;1663764923;292532;1663764923;292439;-4.0035;-0.0085;8.806;1663764923292439;1663764923;284232;1663764923;284254;1663764923;284183;-1.37890625
1663764923;392643;1663764923;392668;1663764923;392595;-3.672;0.0595;9.0185;1663764923392595;1663764923;384336;1663764923;384358;1663764923;384290;-1.2919921875
