sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;latitude;longitude;
1663764428;904482;1663764428;904512;1663764428;904455;57.71862122;11.958610279;
1663764428;954476;1663764428;954505;1663764428;954448;57.718620204;11.958608883;
1663764429;4697;1663764429;4727;1663764429;4670;57.718619231;11.958607452;
1663764429;54565;1663764429;54595;1663764429;54531;57.718618306;11.958606061;
1663764429;104411;1663764429;104441;1663764429;104385;57.718617419;11.958604633;
1663764429;154448;1663764429;154477;1663764429;154420;57.718616568;11.958603171;
1663764429;204452;1663764429;204482;1663764429;204426;57.71861575;11.95860168;
1663764429;254514;1663764429;254543;1663764429;254487;57.718614962;11.958600162;
1663764429;304471;1663764429;304501;1663764429;304444;57.718614205;11.958598621;
1663764429;354456;1663764429;354486;1663764429;354428;57.718613477;11.958597059;
1663764429;404523;1663764429;404553;1663764429;404496;57.718612781;11.958595477;
1663764429;454504;1663764429;454535;1663764429;454472;57.718612113;11.958593879;
1663764429;504462;1663764429;504491;1663764429;504436;57.718611474;11.958592264;
1663764429;554443;1663764429;554473;1663764429;554417;57.718610865;11.95859063;
1663764429;604511;1663764429;604541;1663764429;604483;57.718610289;11.958588976;
1663764429;654516;1663764429;654545;1663764429;654489;57.718609743;11.958587307;
1663764429;704487;1663764429;704517;1663764429;704461;57.71860923;11.958585624;
1663764429;754527;1663764429;754557;1663764429;754500;57.718608752;11.958583928;
1663764429;804462;1663764429;804492;1663764429;804435;57.718608306;11.95858222;
1663764429;854499;1663764429;854529;1663764429;854472;57.718607888;11.958580506;
1663764429;904462;1663764429;904492;1663764429;904434;57.718607494;11.958578789;
1663764429;954470;1663764429;954501;1663764429;954444;57.718607126;11.958577071;
1663764430;4608;1663764430;4637;1663764430;4582;57.718606786;11.958575356;
1663764430;54512;1663764430;54544;1663764430;54484;57.718606469;11.958573728;
1663764430;104459;1663764430;104490;1663764430;104431;57.718606183;11.958572097;
1663764430;154539;1663764430;154569;1663764430;154511;57.718605927;11.95857047;
1663764430;204484;1663764430;204514;1663764430;204457;57.7186057;11.958568845;
1663764430;254555;1663764430;254586;1663764430;254529;57.718605501;11.958567222;
1663764430;304482;1663764430;304512;1663764430;304456;57.718605328;11.958565602;
1663764430;354494;1663764430;354525;1663764430;354467;57.718605179;11.958563988;
1663764430;404528;1663764430;404558;1663764430;404494;57.718605054;11.95856238;
1663764430;454547;1663764430;454578;1663764430;454514;57.718604953;11.95856078;
1663764430;504445;1663764430;504475;1663764430;504419;57.718604878;11.958559189;
1663764430;554436;1663764430;554466;1663764430;554409;57.718604828;11.958557609;
1663764430;604468;1663764430;604499;1663764430;604441;57.718604803;11.958556044;
