sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;latitude;longitude;
1663764505;905213;1663764505;905243;1663764505;905185;57.718624924;11.958406418;
1663764505;955219;1663764505;955250;1663764505;955191;57.718624933;11.958406348;
1663764506;5395;1663764506;5424;1663764506;5369;57.718624941;11.958406279;
1663764506;55263;1663764506;55299;1663764506;55228;57.718624945;11.95840623;
1663764506;105222;1663764506;105251;1663764506;105196;57.718624949;11.958406181;
1663764506;155209;1663764506;155238;1663764506;155182;57.718624953;11.958406132;
1663764506;205230;1663764506;205260;1663764506;205203;57.718624958;11.958406081;
1663764506;255317;1663764506;255346;1663764506;255289;57.718624962;11.958406029;
1663764506;305205;1663764506;305235;1663764506;305179;57.718624966;11.958405976;
1663764506;355203;1663764506;355232;1663764506;355176;57.718624971;11.958405922;
1663764506;405231;1663764506;405260;1663764506;405206;57.718624975;11.958405868;
1663764506;455223;1663764506;455253;1663764506;455195;57.71862498;11.958405814;
1663764506;505285;1663764506;505314;1663764506;505259;57.718624985;11.958405759;
1663764506;555224;1663764506;555254;1663764506;555197;57.71862499;11.958405703;
1663764506;605196;1663764506;605225;1663764506;605170;57.718624996;11.958405647;
1663764506;655237;1663764506;655280;1663764506;655202;57.718625001;11.958405589;
1663764506;705305;1663764506;705335;1663764506;705278;57.718625006;11.958405531;
1663764506;755240;1663764506;755269;1663764506;755211;57.718625012;11.958405472;
1663764506;805247;1663764506;805276;1663764506;805221;57.718625017;11.958405413;
1663764506;855300;1663764506;855329;1663764506;855273;57.718625023;11.958405352;
1663764506;905242;1663764506;905271;1663764506;905216;57.718625029;11.958405291;
1663764506;955258;1663764506;955287;1663764506;955231;57.718625035;11.95840523;
1663764507;5508;1663764507;5538;1663764507;5480;57.71862504;11.958405168;
1663764507;55356;1663764507;55386;1663764507;55330;57.718625042;11.958405127;
1663764507;105158;1663764507;105186;1663764507;105133;57.718625045;11.958405086;
1663764507;155231;1663764507;155262;1663764507;155203;57.718625047;11.958405045;
1663764507;205202;1663764507;205230;1663764507;205177;57.718625049;11.958405002;
1663764507;255264;1663764507;255296;1663764507;255229;57.718625052;11.958404959;
1663764507;305229;1663764507;305259;1663764507;305203;57.718625054;11.958404916;
1663764507;355239;1663764507;355270;1663764507;355206;57.718625057;11.958404871;
1663764507;405208;1663764507;405238;1663764507;405182;57.71862506;11.958404826;
1663764507;455232;1663764507;455262;1663764507;455204;57.718625063;11.95840478;
1663764507;505195;1663764507;505225;1663764507;505169;57.718625066;11.958404732;
1663764507;555281;1663764507;555311;1663764507;555254;57.718625069;11.958404685;
1663764507;605318;1663764507;605348;1663764507;605286;57.718625072;11.958404637;
1663764507;655220;1663764507;655251;1663764507;655193;57.718625075;11.958404588;
1663764507;705255;1663764507;705284;1663764507;705228;57.718625078;11.958404538;
1663764507;755231;1663764507;755261;1663764507;755203;57.718625082;11.958404488;
1663764507;805305;1663764507;805335;1663764507;805277;57.718625085;11.958404437;
1663764507;855217;1663764507;855262;1663764507;855189;57.718625089;11.958404385;
1663764507;905246;1663764507;905276;1663764507;905220;57.718625093;11.958404333;
1663764507;955230;1663764507;955259;1663764507;955204;57.718625097;11.958404279;
1663764508;5346;1663764508;5376;1663764508;5320;57.718625101;11.958404226;
1663764508;55324;1663764508;55354;1663764508;55297;57.718625101;11.958404192;
1663764508;105238;1663764508;105267;1663764508;105212;57.718625101;11.958404157;
1663764508;155290;1663764508;155320;1663764508;155263;57.7186251;11.958404121;
1663764508;205269;1663764508;205299;1663764508;205244;57.718625101;11.958404085;
1663764508;255414;1663764508;255449;1663764508;255388;57.718625101;11.958404049;
1663764508;305283;1663764508;305312;1663764508;305256;57.718625102;11.958404011;
1663764508;355215;1663764508;355245;1663764508;355189;57.718625103;11.958403973;
1663764508;405218;1663764508;405247;1663764508;405192;57.718625103;11.958403933;
1663764508;455274;1663764508;455317;1663764508;455238;57.718625104;11.958403893;
1663764508;505263;1663764508;505292;1663764508;505236;57.718625104;11.958403853;
1663764508;555236;1663764508;555266;1663764508;555210;57.718625105;11.958403811;
1663764508;605234;1663764508;605264;1663764508;605208;57.718625106;11.95840377;
1663764508;655233;1663764508;655263;1663764508;655207;57.718625106;11.958403728;
1663764508;705247;1663764508;705277;1663764508;705219;57.718625108;11.958403684;
1663764508;755287;1663764508;755317;1663764508;755260;57.718625109;11.95840364;
1663764508;805220;1663764508;805249;1663764508;805194;57.718625111;11.958403595;
1663764508;855224;1663764508;855251;1663764508;855200;57.718625112;11.958403549;
1663764508;905260;1663764508;905290;1663764508;905233;57.718625114;11.958403502;
1663764508;955251;1663764508;955281;1663764508;955225;57.718625115;11.958403455;
1663764509;5436;1663764509;5465;1663764509;5410;57.718625116;11.958403408;
1663764509;55289;1663764509;55331;1663764509;55250;57.718625114;11.958403381;
1663764509;105255;1663764509;105285;1663764509;105229;57.718625112;11.958403354;
1663764509;155250;1663764509;155279;1663764509;155222;57.71862511;11.958403326;
1663764509;205298;1663764509;205328;1663764509;205271;57.718625109;11.958403297;
1663764509;255272;1663764509;255301;1663764509;255246;57.718625107;11.958403267;
1663764509;305267;1663764509;305294;1663764509;305242;57.718625106;11.958403236;
1663764509;355275;1663764509;355305;1663764509;355248;57.718625104;11.958403205;
