sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;latitude;longitude;
1663764564;905794;1663764564;905825;1663764564;905768;57.718605856;11.958496533;
1663764564;955644;1663764564;955685;1663764564;955608;57.71860587;11.958496503;
1663764565;6048;1663764565;6078;1663764565;6021;57.718605884;11.958496468;
1663764565;55942;1663764565;55984;1663764565;55905;57.718605899;11.958496389;
1663764565;105649;1663764565;105679;1663764565;105622;57.718605913;11.95849631;
1663764565;155707;1663764565;155738;1663764565;155672;57.718605928;11.958496231;
1663764565;205689;1663764565;205719;1663764565;205663;57.718605943;11.958496153;
1663764565;255852;1663764565;255894;1663764565;255824;57.718605957;11.958496073;
1663764565;305767;1663764565;305797;1663764565;305741;57.718605973;11.958495992;
1663764565;355673;1663764565;355715;1663764565;355637;57.718605988;11.958495909;
1663764565;405780;1663764565;405810;1663764565;405754;57.718606004;11.958495825;
1663764565;455746;1663764565;455778;1663764565;455711;57.71860602;11.958495741;
1663764565;505703;1663764565;505734;1663764565;505675;57.718606035;11.958495658;
1663764565;555773;1663764565;555800;1663764565;555748;57.718606051;11.958495574;
1663764565;605830;1663764565;605859;1663764565;605804;57.718606066;11.958495489;
1663764565;655688;1663764565;655732;1663764565;655649;57.718606082;11.958495403;
1663764565;705765;1663764565;705793;1663764565;705740;57.718606098;11.958495317;
1663764565;755770;1663764565;755805;1663764565;755735;57.718606114;11.95849523;
1663764565;805830;1663764565;805860;1663764565;805804;57.71860613;11.958495143;
1663764565;855778;1663764565;855809;1663764565;855748;57.718606147;11.958495055;
1663764565;905832;1663764565;905862;1663764565;905804;57.718606163;11.958494966;
1663764565;955675;1663764565;955718;1663764565;955639;57.71860618;11.958494877;
1663764566;5992;1663764566;6022;1663764566;5966;57.718606196;11.958494786;
1663764566;55702;1663764566;55735;1663764566;55667;57.718606218;11.958494672;
1663764566;105825;1663764566;105859;1663764566;105799;57.718606239;11.958494557;
1663764566;155833;1663764566;155864;1663764566;155805;57.718606261;11.958494441;
1663764566;205794;1663764566;205824;1663764566;205769;57.718606284;11.958494325;
1663764566;255850;1663764566;255880;1663764566;255824;57.718606306;11.958494208;
1663764566;305821;1663764566;305850;1663764566;305795;57.718606329;11.958494091;
1663764566;355748;1663764566;355780;1663764566;355713;57.718606351;11.958493973;
1663764566;405595;1663764566;405624;1663764566;405568;57.718606374;11.958493854;
1663764566;455797;1663764566;455828;1663764566;455771;57.718606396;11.958493735;
1663764566;505896;1663764566;505926;1663764566;505868;57.718606419;11.958493615;
1663764566;555705;1663764566;555748;1663764566;555669;57.718606442;11.958493494;
1663764566;605786;1663764566;605816;1663764566;605760;57.718606465;11.958493372;
1663764566;655749;1663764566;655781;1663764566;655715;57.718606489;11.95849325;
1663764566;705715;1663764566;705743;1663764566;705689;57.718606512;11.958493128;
1663764566;755817;1663764566;755848;1663764566;755785;57.718606536;11.958493004;
1663764566;805836;1663764566;805866;1663764566;805809;57.718606559;11.958492881;
1663764566;855689;1663764566;855733;1663764566;855653;57.718606582;11.958492756;
1663764566;905811;1663764566;905841;1663764566;905785;57.718606607;11.958492631;
1663764566;955758;1663764566;955788;1663764566;955733;57.71860663;11.958492505;
1663764567;6036;1663764567;6066;1663764567;6010;57.718606654;11.958492377;
1663764567;55948;1663764567;55979;1663764567;55921;57.718606682;11.958492228;
1663764567;105823;1663764567;105853;1663764567;105797;57.718606711;11.958492078;
1663764567;155766;1663764567;155796;1663764567;155742;57.718606739;11.958491927;
1663764567;205590;1663764567;205620;1663764567;205563;57.718606768;11.958491775;
1663764567;255757;1663764567;255788;1663764567;255722;57.718606796;11.958491623;
1663764567;305713;1663764567;305743;1663764567;305687;57.718606825;11.95849147;
1663764567;355795;1663764567;355826;1663764567;355761;57.718606854;11.958491316;
1663764567;405806;1663764567;405837;1663764567;405781;57.718606883;11.958491161;
1663764567;455827;1663764567;455862;1663764567;455792;57.718606913;11.958491006;
1663764567;505843;1663764567;505873;1663764567;505816;57.718606942;11.95849085;
1663764567;555785;1663764567;555821;1663764567;555750;57.718606972;11.958490693;
1663764567;605864;1663764567;605895;1663764567;605836;57.718607001;11.958490535;
1663764567;655814;1663764567;655844;1663764567;655789;57.718607031;11.958490377;
1663764567;705824;1663764567;705854;1663764567;705798;57.718607061;11.958490218;
1663764567;755726;1663764567;755766;1663764567;755691;57.718607091;11.958490058;
1663764567;805858;1663764567;805887;1663764567;805833;57.718607121;11.958489897;
1663764567;855777;1663764567;855809;1663764567;855744;57.718607152;11.958489736;
1663764567;905839;1663764567;905869;1663764567;905812;57.718607182;11.958489573;
1663764567;955829;1663764567;955860;1663764567;955800;57.718607213;11.958489411;
1663764568;6009;1663764568;6036;1663764568;5984;57.718607244;11.958489248;
1663764568;55706;1663764568;55748;1663764568;55670;57.718607276;11.958489069;
1663764568;105800;1663764568;105830;1663764568;105774;57.718607309;11.958488889;
1663764568;155778;1663764568;155810;1663764568;155743;57.718607342;11.958488709;
1663764568;205669;1663764568;205699;1663764568;205637;57.718607375;11.958488527;
1663764568;255911;1663764568;255955;1663764568;255880;57.718607409;11.958488345;
1663764568;305822;1663764568;305851;1663764568;305796;57.718607442;11.958488162;
1663764568;355832;1663764568;355861;1663764568;355805;57.718607476;11.958487978;
1663764568;405740;1663764568;405771;1663764568;405713;57.71860751;11.958487794;
1663764568;455865;1663764568;455900;1663764568;455831;57.718607544;11.958487609;
1663764568;505814;1663764568;505844;1663764568;505789;57.718607578;11.958487423;
1663764568;555619;1663764568;555648;1663764568;555593;57.718607612;11.958487236;
1663764568;605789;1663764568;605819;1663764568;605763;57.718607646;11.958487048;
1663764568;655586;1663764568;655616;1663764568;655561;57.718607681;11.958486859;
1663764568;705600;1663764568;705628;1663764568;705573;57.718607716;11.95848667;
1663764568;755799;1663764568;755830;1663764568;755770;57.718607751;11.958486481;
1663764568;805594;1663764568;805623;1663764568;805569;57.718607786;11.95848629;
1663764568;855584;1663764568;855614;1663764568;855557;57.718607821;11.9584861;
1663764568;905852;1663764568;905882;1663764568;905825;57.718607857;11.958485908;
1663764568;955842;1663764568;955870;1663764568;955814;57.718607892;11.958485717;
1663764569;6149;1663764569;6178;1663764569;6123;57.718607926;11.958485525;
1663764569;55813;1663764569;55847;1663764569;55775;57.718607963;11.958485328;
1663764569;105690;1663764569;105721;1663764569;105664;57.718607999;11.958485129;
1663764569;155780;1663764569;155825;1663764569;155744;57.718608036;11.95848493;
1663764569;205809;1663764569;205839;1663764569;205782;57.718608072;11.95848473;
1663764569;255848;1663764569;255878;1663764569;255822;57.718608109;11.95848453;
1663764569;305819;1663764569;305848;1663764569;305793;57.718608146;11.958484328;
1663764569;355833;1663764569;355865;1663764569;355798;57.718608183;11.958484126;
1663764569;405636;1663764569;405666;1663764569;405610;57.718608221;11.958483923;
1663764569;455615;1663764569;455645;1663764569;455590;57.718608258;11.958483719;
1663764569;505799;1663764569;505829;1663764569;505773;57.718608296;11.958483514;
1663764569;555616;1663764569;555646;1663764569;555590;57.718608334;11.958483308;
1663764569;605839;1663764569;605869;1663764569;605813;57.718608373;11.958483101;
1663764569;655812;1663764569;655844;1663764569;655781;57.718608411;11.958482894;
1663764569;705655;1663764569;705684;1663764569;705629;57.71860845;11.958482686;
1663764569;755860;1663764569;755889;1663764569;755832;57.718608489;11.958482477;
1663764569;805824;1663764569;805854;1663764569;805799;57.718608528;11.958482267;
1663764569;855590;1663764569;855620;1663764569;855564;57.718608567;11.958482056;
1663764569;905641;1663764569;905671;1663764569;905615;57.718608606;11.958481845;
1663764569;955817;1663764569;955849;1663764569;955782;57.718608646;11.958481633;
1663764570;6025;1663764570;6056;1663764570;5997;57.718608689;11.958481425;
1663764570;55896;1663764570;55941;1663764570;55860;57.718608776;11.958481248;
1663764570;105877;1663764570;105908;1663764570;105848;57.718608864;11.95848107;
1663764570;155769;1663764570;155814;1663764570;155731;57.718608952;11.958480892;
1663764570;205842;1663764570;205872;1663764570;205816;57.718609041;11.958480714;
1663764570;255815;1663764570;255849;1663764570;255781;57.718609129;11.958480535;
1663764570;305798;1663764570;305828;1663764570;305772;57.718609218;11.958480355;
1663764570;355611;1663764570;355639;1663764570;355586;57.718609306;11.958480175;
1663764570;405825;1663764570;405852;1663764570;405800;57.718609395;11.958479993;
1663764570;455667;1663764570;455696;1663764570;455641;57.718609485;11.95847981;
1663764570;505648;1663764570;505678;1663764570;505622;57.718609574;11.958479625;
