sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;latitude;longitude;
1663764682;906910;1663764682;906954;1663764682;906872;57.718603463;11.95844398;
1663764682;956951;1663764682;956981;1663764682;956923;57.718603455;11.958443977;
1663764683;7133;1663764683;7163;1663764683;7100;57.718603446;11.958443975;
1663764683;57071;1663764683;57111;1663764683;57036;57.718603437;11.958443986;
1663764683;106908;1663764683;106938;1663764683;106881;57.718603427;11.958443996;
1663764683;156917;1663764683;156947;1663764683;156890;57.718603418;11.958444005;
1663764683;206905;1663764683;206939;1663764683;206878;57.718603409;11.958444013;
1663764683;257084;1663764683;257114;1663764683;257051;57.7186034;11.958444021;
1663764683;306908;1663764683;306938;1663764683;306881;57.718603391;11.958444029;
1663764683;356915;1663764683;356951;1663764683;356886;57.718603382;11.958444036;
1663764683;406989;1663764683;407034;1663764683;406961;57.718603373;11.958444043;
1663764683;456942;1663764683;456972;1663764683;456909;57.718603364;11.958444049;
1663764683;506911;1663764683;506955;1663764683;506879;57.718603356;11.958444055;
1663764683;556922;1663764683;556951;1663764683;556894;57.718603347;11.958444059;
1663764683;606935;1663764683;606964;1663764683;606908;57.718603338;11.958444063;
1663764683;656941;1663764683;656985;1663764683;656901;57.71860333;11.958444066;
1663764683;706927;1663764683;706957;1663764683;706900;57.718603321;11.958444069;
1663764683;756943;1663764683;756973;1663764683;756916;57.718603313;11.958444072;
1663764683;806932;1663764683;806977;1663764683;806900;57.718603305;11.958444075;
1663764683;856937;1663764683;856967;1663764683;856904;57.718603296;11.958444077;
1663764683;906957;1663764683;906987;1663764683;906930;57.718603288;11.958444079;
1663764683;956974;1663764683;957019;1663764683;956927;57.71860328;11.958444079;
1663764684;7014;1663764684;7044;1663764684;6987;57.718603272;11.95844408;
1663764684;56977;1663764684;57009;1663764684;56948;57.718603262;11.95844409;
1663764684;106976;1663764684;107020;1663764684;106942;57.718603252;11.958444101;
1663764684;156962;1663764684;156992;1663764684;156936;57.718603242;11.958444111;
1663764684;206977;1663764684;207005;1663764684;206950;57.718603232;11.958444122;
1663764684;257123;1663764684;257167;1663764684;257049;57.718603222;11.958444132;
1663764684;306961;1663764684;306991;1663764684;306928;57.718603212;11.958444141;
1663764684;356972;1663764684;357002;1663764684;356940;57.718603203;11.958444148;
1663764684;406895;1663764684;406923;1663764684;406869;57.718603193;11.958444155;
1663764684;456956;1663764684;456986;1663764684;456929;57.718603184;11.958444161;
1663764684;506955;1663764684;506985;1663764684;506929;57.718603174;11.958444167;
1663764684;556981;1663764684;557026;1663764684;556943;57.718603165;11.958444173;
1663764684;606999;1663764684;607029;1663764684;606972;57.718603155;11.958444179;
1663764684;656939;1663764684;656970;1663764684;656912;57.718603146;11.958444185;
1663764684;706911;1663764684;706944;1663764684;706885;57.718603136;11.958444189;
1663764684;756933;1663764684;756961;1663764684;756907;57.718603127;11.958444193;
1663764684;806990;1663764684;807020;1663764684;806963;57.718603118;11.958444195;
1663764684;856920;1663764684;856950;1663764684;856893;57.718603109;11.958444198;
1663764684;906916;1663764684;906947;1663764684;906889;57.7186031;11.9584442;
1663764684;956941;1663764684;956972;1663764684;956907;57.718603091;11.958444202;
1663764685;7047;1663764685;7090;1663764685;7012;57.718603081;11.958444205;
1663764685;57081;1663764685;57111;1663764685;57048;57.71860307;11.958444219;
1663764685;106917;1663764685;106947;1663764685;106889;57.718603059;11.958444232;
1663764685;157033;1663764685;157075;1663764685;156995;57.718603049;11.958444243;
1663764685;206996;1663764685;207027;1663764685;206964;57.718603038;11.958444254;
1663764685;256965;1663764685;256992;1663764685;256939;57.718603028;11.958444265;
1663764685;306994;1663764685;307038;1663764685;306951;57.718603018;11.958444275;
