sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;latitude;longitude;
1663764760;907784;1663764760;907813;1663764760;907751;57.718560721;11.958475575;
1663764760;957727;1663764760;957757;1663764760;957700;57.718560838;11.958474915;
1663764761;7846;1663764761;7875;1663764761;7813;57.718560899;11.958474271;
1663764761;57839;1663764761;57867;1663764761;57814;57.718560805;11.958473543;
1663764761;107704;1663764761;107734;1663764761;107676;57.718560697;11.958472868;
1663764761;157689;1663764761;157719;1663764761;157663;57.718560575;11.958472247;
1663764761;207714;1663764761;207741;1663764761;207688;57.718560444;11.958471682;
1663764761;257770;1663764761;257801;1663764761;257743;57.718560303;11.958471172;
1663764761;307730;1663764761;307760;1663764761;307702;57.718560154;11.958470719;
1663764761;357755;1663764761;357785;1663764761;357727;57.718559995;11.958470323;
1663764761;407795;1663764761;407825;1663764761;407769;57.718559829;11.958469984;
1663764761;457732;1663764761;457762;1663764761;457706;57.718559653;11.958469702;
1663764761;507734;1663764761;507764;1663764761;507707;57.718559467;11.958469478;
1663764761;557685;1663764761;557715;1663764761;557656;57.718559271;11.958469313;
1663764761;607691;1663764761;607719;1663764761;607665;57.718559063;11.958469208;
1663764761;657721;1663764761;657751;1663764761;657695;57.718558843;11.958469167;
1663764761;707751;1663764761;707779;1663764761;707725;57.71855861;11.958469187;
1663764761;757743;1663764761;757773;1663764761;757716;57.718558371;11.958469239;
1663764761;807741;1663764761;807771;1663764761;807715;57.718558132;11.958469288;
1663764761;857716;1663764761;857746;1663764761;857689;57.718557899;11.958469307;
1663764761;907733;1663764761;907763;1663764761;907706;57.718557673;11.958469286;
1663764761;957738;1663764761;957768;1663764761;957711;57.718557454;11.958469232;
1663764762;7817;1663764762;7847;1663764762;7784;57.718557279;11.958469186;
1663764762;57747;1663764762;57776;1663764762;57720;57.718557261;11.958469226;
1663764762;107737;1663764762;107767;1663764762;107711;57.718557241;11.958469283;
1663764762;157744;1663764762;157774;1663764762;157711;57.718557217;11.958469356;
1663764762;207702;1663764762;207732;1663764762;207677;57.718557192;11.958469437;
1663764762;257800;1663764762;257830;1663764762;257772;57.718557167;11.958469516;
1663764762;307786;1663764762;307816;1663764762;307758;57.718557143;11.958469588;
1663764762;357720;1663764762;357750;1663764762;357693;57.718557121;11.958469651;
1663764762;407706;1663764762;407733;1663764762;407679;57.718557099;11.958469712;
1663764762;457735;1663764762;457765;1663764762;457707;57.718557077;11.958469775;
1663764762;507724;1663764762;507754;1663764762;507696;57.718557054;11.958469843;
1663764762;557668;1663764762;557698;1663764762;557639;57.71855703;11.958469913;
1663764762;607780;1663764762;607808;1663764762;607755;57.718557007;11.95846998;
1663764762;657753;1663764762;657783;1663764762;657726;57.718556984;11.958470044;
1663764762;707752;1663764762;707782;1663764762;707726;57.718556962;11.958470104;
1663764762;757731;1663764762;757761;1663764762;757705;57.71855694;11.958470164;
1663764762;807773;1663764762;807803;1663764762;807741;57.718556918;11.958470225;
1663764762;857706;1663764762;857736;1663764762;857680;57.718556896;11.958470287;
1663764762;907710;1663764762;907740;1663764762;907684;57.718556874;11.958470348;
1663764762;957729;1663764762;957757;1663764762;957702;57.718556851;11.958470408;
1663764763;7859;1663764763;7889;1663764763;7832;57.718556835;11.958470467;
1663764763;57801;1663764763;57831;1663764763;57775;57.718556842;11.958470517;
1663764763;107730;1663764763;107761;1663764763;107703;57.718556849;11.958470567;
1663764763;157714;1663764763;157744;1663764763;157687;57.718556855;11.958470614;
1663764763;207738;1663764763;207768;1663764763;207711;57.718556863;11.958470661;
1663764763;257787;1663764763;257818;1663764763;257758;57.71855687;11.958470707;
1663764763;307721;1663764763;307751;1663764763;307694;57.718556878;11.958470753;
1663764763;357742;1663764763;357772;1663764763;357714;57.718556885;11.958470801;
1663764763;407809;1663764763;407839;1663764763;407781;57.718556892;11.958470848;
1663764763;457705;1663764763;457733;1663764763;457677;57.7185569;11.958470896;
1663764763;507757;1663764763;507787;1663764763;507731;57.718556907;11.958470943;
1663764763;557775;1663764763;557806;1663764763;557746;57.718556914;11.958470988;
1663764763;607786;1663764763;607813;1663764763;607759;57.718556922;11.958471033;
1663764763;657701;1663764763;657731;1663764763;657674;57.71855693;11.958471076;
1663764763;707760;1663764763;707791;1663764763;707734;57.718556938;11.958471118;
1663764763;757711;1663764763;757741;1663764763;757683;57.718556946;11.958471158;
1663764763;807783;1663764763;807813;1663764763;807756;57.718556955;11.958471199;
1663764763;857766;1663764763;857796;1663764763;857739;57.718556963;11.958471239;
1663764763;907767;1663764763;907797;1663764763;907740;57.718556971;11.958471279;
1663764763;957755;1663764763;957785;1663764763;957728;57.718556979;11.95847132;
1663764764;7905;1663764764;7934;1663764764;7878;57.718556988;11.958471356;
1663764764;57891;1663764764;57922;1663764764;57858;57.718556999;11.95847137;
1663764764;107754;1663764764;107785;1663764764;107724;57.718557009;11.958471384;
1663764764;157722;1663764764;157751;1663764764;157695;57.71855702;11.958471396;
1663764764;207745;1663764764;207775;1663764764;207718;57.718557032;11.958471407;
