sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;latitude;longitude;
1663764790;907967;1663764790;907996;1663764790;907939;57.718909477;11.956424521;
1663764790;957969;1663764790;957999;1663764790;957941;57.718911067;11.956422695;
1663764791;8094;1663764791;8124;1663764791;8067;57.718912661;11.956420935;
1663764791;58081;1663764791;58111;1663764791;58054;57.718914215;11.956419147;
1663764791;107976;1663764791;108006;1663764791;107948;57.718915779;11.95641745;
1663764791;157966;1663764791;157996;1663764791;157940;57.718917352;11.956415853;
1663764791;207995;1663764791;208025;1663764791;207968;57.718918934;11.956414359;
1663764791;258022;1663764791;258050;1663764791;257995;57.718920523;11.956412971;
1663764791;307983;1663764791;308013;1663764791;307957;57.718922116;11.956411691;
1663764791;357963;1663764791;357993;1663764791;357935;57.71892371;11.956410527;
1663764791;408066;1663764791;408095;1663764791;408033;57.718925304;11.956409482;
1663764791;458007;1663764791;458036;1663764791;457980;57.718926898;11.956408552;
1663764791;507980;1663764791;508008;1663764791;507954;57.71892849;11.956407725;
1663764791;557962;1663764791;557992;1663764791;557935;57.718930077;11.956406997;
1663764791;607985;1663764791;608015;1663764791;607958;57.71893166;11.95640636;
1663764791;657944;1663764791;657974;1663764791;657917;57.718933237;11.956405813;
1663764791;707998;1663764791;708028;1663764791;707971;57.71893481;11.956405358;
1663764791;758005;1663764791;758033;1663764791;757978;57.718936375;11.956404992;
1663764791;808028;1663764791;808055;1663764791;808001;57.718937931;11.956404707;
1663764791;857989;1663764791;858016;1663764791;857965;57.718939475;11.956404502;
1663764791;908012;1663764791;908040;1663764791;907986;57.718941005;11.956404386;
1663764791;958041;1663764791;958071;1663764791;958013;57.718942519;11.956404365;
1663764792;7978;1663764792;8006;1663764792;7952;57.718944018;11.956404462;
1663764792;58060;1663764792;58090;1663764792;58033;57.718945515;11.956404736;
1663764792;108014;1663764792;108044;1663764792;107981;57.718946986;11.956405109;
1663764792;157973;1663764792;158002;1663764792;157947;57.718948431;11.956405578;
1663764792;208006;1663764792;208036;1663764792;207979;57.718949848;11.956406143;
1663764792;258028;1663764792;258058;1663764792;258000;57.718951239;11.956406805;
1663764792;308069;1663764792;308097;1663764792;308043;57.718952601;11.956407559;
1663764792;358017;1663764792;358047;1663764792;357989;57.718953929;11.956408398;
1663764792;408011;1663764792;408040;1663764792;407977;57.718955223;11.956409325;
1663764792;458049;1663764792;458079;1663764792;458023;57.718956482;11.956410335;
1663764792;508023;1663764792;508053;1663764792;507994;57.718957706;11.956411422;
1663764792;557942;1663764792;557972;1663764792;557908;57.718958894;11.956412579;
1663764792;607961;1663764792;607987;1663764792;607935;57.718960048;11.956413803;
1663764792;657989;1663764792;658019;1663764792;657963;57.71896117;11.956415089;
1663764792;708007;1663764792;708036;1663764792;707980;57.71896226;11.95641643;
1663764792;758019;1663764792;758048;1663764792;757991;57.718963316;11.956417824;
1663764792;808004;1663764792;808034;1663764792;807978;57.71896434;11.956419269;
1663764792;857986;1663764792;858016;1663764792;857959;57.71896533;11.956420767;
1663764792;908011;1663764792;908042;1663764792;907984;57.718966285;11.956422313;
1663764792;958024;1663764792;958052;1663764792;957997;57.718967205;11.956423902;
1663764793;8081;1663764793;8111;1663764793;8052;57.718968091;11.956425514;
1663764793;58158;1663764793;58188;1663764793;58130;57.718968945;11.956427118;
1663764793;108033;1663764793;108062;1663764793;108006;57.718969763;11.956428758;
1663764793;158006;1663764793;158036;1663764793;157979;57.718970546;11.956430432;
1663764793;207974;1663764793;208001;1663764793;207948;57.718971294;11.956432135;
1663764793;258070;1663764793;258100;1663764793;258043;57.718972007;11.956433868;
1663764793;308061;1663764793;308091;1663764793;308028;57.718972683;11.956435627;
1663764793;358013;1663764793;358043;1663764793;357984;57.718973325;11.956437407;
1663764793;408094;1663764793;408122;1663764793;408067;57.718973934;11.956439206;
1663764793;458005;1663764793;458036;1663764793;457976;57.718974509;11.956441021;
1663764793;508004;1663764793;508032;1663764793;507977;57.71897505;11.956442853;
1663764793;557958;1663764793;557988;1663764793;557928;57.718975557;11.956444701;
1663764793;608005;1663764793;608036;1663764793;607978;57.718976031;11.95644656;
1663764793;658015;1663764793;658045;1663764793;657987;57.718976471;11.956448429;
1663764793;708044;1663764793;708073;1663764793;708017;57.718976879;11.956450307;
1663764793;757995;1663764793;758025;1663764793;757966;57.718977253;11.956452192;
1663764793;808044;1663764793;808074;1663764793;808010;57.718977594;11.956454084;
1663764793;857988;1663764793;858018;1663764793;857962;57.718977903;11.95645598;
1663764793;907977;1663764793;908006;1663764793;907944;57.718978179;11.956457879;
1663764793;958000;1663764793;958030;1663764793;957973;57.718978423;11.956459779;
1663764794;7985;1663764794;8015;1663764794;7958;57.718978641;11.956461651;
1663764794;58044;1663764794;58073;1663764794;58017;57.718978844;11.956463417;
1663764794;108085;1663764794;108115;1663764794;108050;57.718979018;11.956465183;
1663764794;158014;1663764794;158045;1663764794;157985;57.718979163;11.956466945;
1663764794;208020;1663764794;208050;1663764794;207990;57.718979278;11.956468703;
1663764794;258257;1663764794;258287;1663764794;258229;57.718979365;11.956470454;
1663764794;308069;1663764794;308099;1663764794;308042;57.718979424;11.956472199;
1663764794;358073;1663764794;358103;1663764794;358040;57.718979456;11.956473936;
1663764794;408065;1663764794;408095;1663764794;408032;57.71897946;11.956475662;
1663764794;458042;1663764794;458072;1663764794;458014;57.718979436;11.956477378;
1663764794;508025;1663764794;508055;1663764794;507998;57.718979387;11.956479083;
1663764794;558017;1663764794;558047;1663764794;557984;57.718979314;11.956480774;
1663764794;608023;1663764794;608053;1663764794;607995;57.718979216;11.956482452;
1663764794;658076;1663764794;658106;1663764794;658048;57.718979092;11.956484116;
1663764794;708024;1663764794;708054;1663764794;707997;57.718978943;11.956485762;
1663764794;758018;1663764794;758047;1663764794;757991;57.718978769;11.956487387;
1663764794;808063;1663764794;808093;1663764794;808036;57.718978573;11.956488987;
1663764794;858041;1663764794;858071;1663764794;858014;57.718978358;11.956490557;
1663764794;908031;1663764794;908061;1663764794;908004;57.718978123;11.956492089;
1663764794;958065;1663764794;958094;1663764794;958032;57.718977868;11.956493579;
1663764795;8119;1663764795;8152;1663764795;8087;57.718977604;11.95649501;
1663764795;58153;1663764795;58188;1663764795;58115;57.71897735;11.956496344;
