sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;latitude;longitude;
1663764211;902379;1663764211;902409;1663764211;902352;57.718637447;11.95831928;
1663764211;952401;1663764211;952429;1663764211;952375;57.718637447;11.958319281;
1663764212;2626;1663764212;2656;1663764212;2600;57.718637447;11.958319281;
1663764212;52433;1663764212;52463;1663764212;52404;57.718637447;11.958319282;
1663764212;102333;1663764212;102363;1663764212;102307;57.718637447;11.958319283;
1663764212;152355;1663764212;152388;1663764212;152324;57.718637447;11.958319285;
1663764212;202441;1663764212;202473;1663764212;202412;57.718637447;11.958319286;
1663764212;252475;1663764212;252505;1663764212;252448;57.718637448;11.958319288;
1663764212;302328;1663764212;302357;1663764212;302302;57.718637448;11.958319289;
1663764212;352377;1663764212;352407;1663764212;352350;57.718637449;11.95831929;
1663764212;402380;1663764212;402410;1663764212;402352;57.71863745;11.958319292;
1663764212;452420;1663764212;452451;1663764212;452387;57.718637452;11.958319293;
1663764212;502453;1663764212;502482;1663764212;502426;57.718637453;11.958319295;
1663764212;552378;1663764212;552408;1663764212;552350;57.718637454;11.958319297;
1663764212;602359;1663764212;602386;1663764212;602334;57.718637456;11.958319299;
1663764212;652376;1663764212;652406;1663764212;652349;57.718637457;11.958319301;
1663764212;702449;1663764212;702477;1663764212;702423;57.718637458;11.958319302;
1663764212;752384;1663764212;752414;1663764212;752356;57.718637458;11.958319303;
1663764212;802409;1663764212;802439;1663764212;802376;57.718637459;11.958319303;
1663764212;852349;1663764212;852379;1663764212;852323;57.718637459;11.958319303;
1663764212;902434;1663764212;902464;1663764212;902408;57.718637459;11.958319303;
1663764212;952368;1663764212;952397;1663764212;952342;57.718637459;11.958319303;
1663764213;2526;1663764213;2555;1663764213;2500;57.718637458;11.958319304;
1663764213;52494;1663764213;52524;1663764213;52465;57.718637456;11.958319303;
1663764213;102399;1663764213;102429;1663764213;102373;57.718637455;11.958319302;
1663764213;152399;1663764213;152428;1663764213;152373;57.718637454;11.958319301;
1663764213;202388;1663764213;202417;1663764213;202362;57.718637453;11.9583193;
1663764213;252432;1663764213;252460;1663764213;252406;57.718637452;11.958319299;
1663764213;302354;1663764213;302383;1663764213;302328;57.718637451;11.958319298;
1663764213;352370;1663764213;352400;1663764213;352344;57.71863745;11.958319297;
1663764213;402433;1663764213;402463;1663764213;402407;57.718637449;11.958319296;
1663764213;452443;1663764213;452474;1663764213;452416;57.718637448;11.958319295;
1663764213;502395;1663764213;502424;1663764213;502369;57.718637447;11.958319294;
1663764213;552392;1663764213;552420;1663764213;552366;57.718637446;11.958319293;
1663764213;602470;1663764213;602500;1663764213;602444;57.718637445;11.958319291;
1663764213;652459;1663764213;652490;1663764213;652427;57.718637444;11.95831929;
1663764213;702398;1663764213;702427;1663764213;702370;57.718637443;11.958319289;
1663764213;752414;1663764213;752444;1663764213;752388;57.718637443;11.958319289;
1663764213;802414;1663764213;802444;1663764213;802388;57.718637443;11.958319289;
1663764213;852383;1663764213;852413;1663764213;852357;57.718637443;11.958319289;
1663764213;902388;1663764213;902418;1663764213;902361;57.718637443;11.958319289;
1663764213;952386;1663764213;952416;1663764213;952360;57.718637442;11.958319288;
1663764214;2622;1663764214;2651;1663764214;2596;57.718637442;11.958319287;
1663764214;52445;1663764214;52476;1663764214;52415;57.718637442;11.958319287;
1663764214;102376;1663764214;102406;1663764214;102346;57.718637442;11.958319287;
1663764214;152440;1663764214;152468;1663764214;152414;57.718637442;11.958319287;
1663764214;202412;1663764214;202442;1663764214;202384;57.718637442;11.958319288;
1663764214;252458;1663764214;252488;1663764214;252429;57.718637443;11.958319289;
1663764214;302390;1663764214;302419;1663764214;302363;57.718637443;11.95831929;
1663764214;352456;1663764214;352486;1663764214;352423;57.718637444;11.95831929;
1663764214;402424;1663764214;402454;1663764214;402396;57.718637444;11.95831929;
1663764214;452516;1663764214;452547;1663764214;452483;57.718637445;11.95831929;
1663764214;502407;1663764214;502436;1663764214;502381;57.718637445;11.958319291;
1663764214;552424;1663764214;552454;1663764214;552396;57.718637446;11.958319291;
1663764214;602266;1663764214;602296;1663764214;602241;57.718637447;11.958319291;
1663764214;652465;1663764214;652493;1663764214;652439;57.718637447;11.958319291;
1663764214;702375;1663764214;702404;1663764214;702348;57.718637446;11.958319291;
1663764214;752411;1663764214;752442;1663764214;752382;57.718637446;11.958319291;
1663764214;802363;1663764214;802390;1663764214;802337;57.718637446;11.958319292;
1663764214;852452;1663764214;852482;1663764214;852424;57.718637447;11.958319292;
1663764214;902396;1663764214;902426;1663764214;902371;57.718637447;11.958319292;
1663764214;952404;1663764214;952431;1663764214;952378;57.718637448;11.958319292;
1663764215;2609;1663764215;2639;1663764215;2581;57.718637448;11.958319292;
1663764215;52508;1663764215;52538;1663764215;52481;57.718637447;11.95831929;
1663764215;102380;1663764215;102410;1663764215;102354;57.718637445;11.958319288;
1663764215;152438;1663764215;152467;1663764215;152412;57.718637444;11.958319286;
1663764215;202383;1663764215;202413;1663764215;202356;57.718637443;11.958319284;
1663764215;252463;1663764215;252493;1663764215;252436;57.718637441;11.958319282;
