sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;latitude;longitude;
1663764857;908631;1663764857;908662;1663764857;908598;57.718581662;11.958446539;
1663764857;958618;1663764857;958649;1663764857;958590;57.71858166;11.958446535;
1663764858;8709;1663764858;8737;1663764858;8680;57.718581658;11.958446531;
1663764858;58718;1663764858;58748;1663764858;58685;57.718581654;11.958446535;
1663764858;108722;1663764858;108751;1663764858;108695;57.718581649;11.95844654;
1663764858;158609;1663764858;158639;1663764858;158583;57.718581645;11.958446543;
1663764858;208651;1663764858;208681;1663764858;208623;57.71858164;11.958446546;
1663764858;258691;1663764858;258720;1663764858;258664;57.718581636;11.95844655;
1663764858;308686;1663764858;308717;1663764858;308660;57.718581632;11.958446553;
1663764858;358594;1663764858;358623;1663764858;358567;57.718581628;11.958446556;
1663764858;408639;1663764858;408669;1663764858;408611;57.718581624;11.958446558;
1663764858;458618;1663764858;458648;1663764858;458592;57.71858162;11.95844656;
1663764858;508745;1663764858;508775;1663764858;508712;57.718581616;11.958446562;
1663764858;558653;1663764858;558683;1663764858;558626;57.718581611;11.958446563;
1663764858;608755;1663764858;608785;1663764858;608728;57.718581607;11.958446565;
1663764858;658734;1663764858;658764;1663764858;658708;57.718581602;11.958446565;
1663764858;708675;1663764858;708703;1663764858;708648;57.718581598;11.958446565;
1663764858;758716;1663764858;758746;1663764858;758688;57.718581594;11.958446565;
1663764858;808781;1663764858;808811;1663764858;808755;57.71858159;11.958446565;
1663764858;858672;1663764858;858702;1663764858;858645;57.718581586;11.958446564;
1663764858;908629;1663764858;908659;1663764858;908601;57.718581583;11.958446563;
1663764858;958694;1663764858;958724;1663764858;958661;57.718581579;11.958446562;
1663764859;8767;1663764859;8797;1663764859;8740;57.718581574;11.958446561;
1663764859;58797;1663764859;58827;1663764859;58770;57.718581569;11.958446569;
1663764859;108611;1663764859;108642;1663764859;108584;57.718581564;11.958446576;
1663764859;158621;1663764859;158650;1663764859;158594;57.718581559;11.958446582;
1663764859;208618;1663764859;208646;1663764859;208592;57.718581554;11.958446588;
1663764859;258726;1663764859;258756;1663764859;258693;57.718581549;11.958446593;
1663764859;308653;1663764859;308683;1663764859;308621;57.718581544;11.958446599;
1663764859;358624;1663764859;358653;1663764859;358598;57.71858154;11.958446604;
