sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;latitude;longitude;
1663764929;909445;1663764929;909475;1663764929;909418;57.718888516;11.95645216;
1663764929;959416;1663764929;959445;1663764929;959389;57.718889494;11.956449287;
1663764930;9440;1663764930;9470;1663764930;9411;57.718890484;11.956446486;
1663764930;59431;1663764930;59463;1663764930;59401;57.718891463;11.956443753;
1663764930;109364;1663764930;109396;1663764930;109333;57.718892459;11.956441083;
1663764930;159394;1663764930;159426;1663764930;159364;57.718893475;11.956438477;
1663764930;209367;1663764930;209397;1663764930;209341;57.718894509;11.956435937;
1663764930;259447;1663764930;259477;1663764930;259420;57.718895565;11.956433463;
1663764930;309364;1663764930;309393;1663764930;309337;57.71889664;11.956431055;
1663764930;359340;1663764930;359369;1663764930;359312;57.718897737;11.956428714;
1663764930;409341;1663764930;409369;1663764930;409316;57.718898855;11.956426442;
1663764930;459344;1663764930;459373;1663764930;459318;57.718899996;11.95642424;
1663764930;509360;1663764930;509389;1663764930;509333;57.718901159;11.956422107;
1663764930;559436;1663764930;559466;1663764930;559409;57.718902346;11.956420041;
1663764930;609391;1663764930;609421;1663764930;609364;57.718903555;11.956418043;
1663764930;659324;1663764930;659353;1663764930;659297;57.718904784;11.956416113;
1663764930;709409;1663764930;709439;1663764930;709376;57.718906034;11.956414254;
1663764930;759397;1663764930;759426;1663764930;759370;57.718907305;11.956412469;
1663764930;809368;1663764930;809397;1663764930;809342;57.718908594;11.956410754;
1663764930;859331;1663764930;859359;1663764930;859305;57.718909897;11.956409104;
1663764930;909353;1663764930;909383;1663764930;909325;57.718911213;11.956407523;
1663764930;959403;1663764930;959434;1663764930;959370;57.718912543;11.956406014;
1663764931;9489;1663764931;9519;1663764931;9463;57.718913886;11.956404579;
1663764931;59513;1663764931;59543;1663764931;59484;57.718915239;11.956403232;
1663764931;109382;1663764931;109413;1663764931;109349;57.718916602;11.956401946;
1663764931;159392;1663764931;159423;1663764931;159362;57.718917975;11.956400724;
1663764931;209353;1663764931;209383;1663764931;209327;57.718919359;11.956399564;
1663764931;259452;1663764931;259483;1663764931;259427;57.718920751;11.956398462;
1663764931;309363;1663764931;309393;1663764931;309337;57.718922148;11.956397417;
1663764931;359361;1663764931;359391;1663764931;359333;57.718923553;11.956396433;
1663764931;409398;1663764931;409427;1663764931;409372;57.718924964;11.956395515;
1663764931;459352;1663764931;459382;1663764931;459324;57.718926379;11.956394662;
1663764931;509343;1663764931;509373;1663764931;509316;57.718927799;11.956393867;
1663764931;559331;1663764931;559360;1663764931;559304;57.718929221;11.956393127;
1663764931;609391;1663764931;609421;1663764931;609364;57.718930646;11.95639244;
1663764931;659333;1663764931;659360;1663764931;659307;57.718932075;11.956391812;
1663764931;709378;1663764931;709408;1663764931;709345;57.718933505;11.956391243;
1663764931;759331;1663764931;759361;1663764931;759305;57.718934938;11.956390724;
1663764931;809389;1663764931;809419;1663764931;809357;57.718936369;11.956390249;
1663764931;859312;1663764931;859339;1663764931;859287;57.718937799;11.956389829;
1663764931;909369;1663764931;909399;1663764931;909342;57.718939228;11.956389468;
1663764931;959369;1663764931;959400;1663764931;959341;57.718940655;11.956389174;
1663764932;9418;1663764932;9447;1663764932;9391;57.718942075;11.956388932;
1663764932;59439;1663764932;59469;1663764932;59412;57.718943471;11.956388729;
1663764932;109349;1663764932;109377;1663764932;109323;57.718944862;11.956388591;
1663764932;159360;1663764932;159394;1663764932;159323;57.718946247;11.956388514;
1663764932;209350;1663764932;209382;1663764932;209322;57.718947629;11.956388495;
1663764932;259482;1663764932;259512;1663764932;259456;57.718949006;11.956388523;
1663764932;309372;1663764932;309402;1663764932;309346;57.71895038;11.956388597;
1663764932;359432;1663764932;359462;1663764932;359404;57.718951745;11.956388714;
1663764932;409432;1663764932;409462;1663764932;409405;57.718953106;11.956388875;
1663764932;459426;1663764932;459456;1663764932;459394;57.718954461;11.95638908;
1663764932;509379;1663764932;509409;1663764932;509351;57.71895581;11.956389332;
1663764932;559388;1663764932;559419;1663764932;559362;57.718957154;11.956389631;
1663764932;609406;1663764932;609436;1663764932;609379;57.718958488;11.956389979;
1663764932;659392;1663764932;659421;1663764932;659365;57.718959809;11.956390384;
1663764932;709387;1663764932;709417;1663764932;709360;57.718961117;11.95639085;
1663764932;759434;1663764932;759464;1663764932;759406;57.718962412;11.956391376;
1663764932;809344;1663764932;809373;1663764932;809318;57.718963696;11.956391959;
1663764932;859370;1663764932;859399;1663764932;859344;57.718964966;11.956392594;
1663764932;909383;1663764932;909413;1663764932;909357;57.718966223;11.956393282;
1663764932;959375;1663764932;959405;1663764932;959348;57.718967467;11.95639402;
1663764933;9450;1663764933;9479;1663764933;9424;57.718968694;11.956394783;
1663764933;59400;1663764933;59431;1663764933;59374;57.718969896;11.956395517;
1663764933;109372;1663764933;109402;1663764933;109345;57.718971084;11.956396298;
1663764933;159361;1663764933;159391;1663764933;159335;57.718972257;11.956397125;
1663764933;209368;1663764933;209395;1663764933;209343;57.718973414;11.956398;
1663764933;259466;1663764933;259496;1663764933;259440;57.718974554;11.956398925;
1663764933;309364;1663764933;309395;1663764933;309338;57.718975674;11.9563999;
1663764933;359346;1663764933;359375;1663764933;359319;57.718976772;11.956400926;
1663764933;409398;1663764933;409428;1663764933;409371;57.718977847;11.956402002;
1663764933;459436;1663764933;459466;1663764933;459402;57.718978896;11.956403129;
1663764933;509361;1663764933;509388;1663764933;509335;57.718979917;11.956404309;
1663764933;559407;1663764933;559437;1663764933;559379;57.71898091;11.956405539;
1663764933;609446;1663764933;609476;1663764933;609420;57.718981876;11.956406817;
1663764933;659401;1663764933;659431;1663764933;659373;57.718982813;11.956408142;
1663764933;709418;1663764933;709448;1663764933;709391;57.71898372;11.956409515;
1663764933;759396;1663764933;759426;1663764933;759371;57.718984598;11.956410932;
1663764933;809420;1663764933;809449;1663764933;809394;57.718985448;11.956412391;
1663764933;859353;1663764933;859382;1663764933;859326;57.718986274;11.956413886;
1663764933;909380;1663764933;909409;1663764933;909353;57.718987079;11.956415415;
1663764933;959376;1663764933;959406;1663764933;959348;57.718987863;11.956416976;
1663764934;9464;1663764934;9494;1663764934;9437;57.718988641;11.956418465;
1663764934;59490;1663764934;59520;1663764934;59464;57.718989452;11.956419546;
1663764934;109354;1663764934;109384;1663764934;109327;57.718990242;11.956420653;
1663764934;159381;1663764934;159411;1663764934;159353;57.718991011;11.956421785;
1663764934;209394;1663764934;209424;1663764934;209367;57.718991759;11.956422939;
1663764934;259448;1663764934;259478;1663764934;259422;57.718992484;11.956424115;
1663764934;309395;1663764934;309425;1663764934;309368;57.718993185;11.956425313;
1663764934;359386;1663764934;359416;1663764934;359358;57.718993861;11.956426534;
1663764934;409399;1663764934;409429;1663764934;409372;57.718994511;11.956427777;
1663764934;459338;1663764934;459366;1663764934;459312;57.718995135;11.956429041;
1663764934;509451;1663764934;509479;1663764934;509425;57.718995733;11.956430324;
1663764934;559406;1663764934;559435;1663764934;559378;57.718996307;11.956431627;
1663764934;609417;1663764934;609447;1663764934;609389;57.718996856;11.956432948;
1663764934;659380;1663764934;659409;1663764934;659353;57.718997382;11.956434289;
1663764934;709458;1663764934;709487;1663764934;709429;57.718997883;11.956435646;
1663764934;759384;1663764934;759413;1663764934;759356;57.718998361;11.95643702;
1663764934;809456;1663764934;809485;1663764934;809430;57.718998818;11.956438408;
1663764934;859427;1663764934;859456;1663764934;859399;57.718999254;11.956439809;
1663764934;909486;1663764934;909516;1663764934;909459;57.718999673;11.956441222;
1663764934;959436;1663764934;959465;1663764934;959410;57.719000076;11.956442646;
1663764935;9433;1663764935;9463;1663764935;9407;57.719000477;11.9564441;
1663764935;59617;1663764935;59648;1663764935;59575;57.719000906;11.956445628;
1663764935;109404;1663764935;109433;1663764935;109378;57.719001322;11.956447169;
1663764935;159388;1663764935;159418;1663764935;159361;57.719001724;11.956448719;
1663764935;209418;1663764935;209447;1663764935;209390;57.719002109;11.956450276;
1663764935;259506;1663764935;259535;1663764935;259479;57.719002472;11.95645184;
1663764935;309436;1663764935;309466;1663764935;309409;57.719002811;11.956453408;
1663764935;359430;1663764935;359460;1663764935;359402;57.719003119;11.95645498;
1663764935;409409;1663764935;409439;1663764935;409382;57.719003395;11.956456552;
1663764935;459375;1663764935;459405;1663764935;459349;57.719003638;11.956458124;
1663764935;509500;1663764935;509528;1663764935;509473;57.719003845;11.956459693;
1663764935;559411;1663764935;559440;1663764935;559383;57.719004016;11.956461259;
1663764935;609458;1663764935;609489;1663764935;609430;57.71900415;11.956462818;
1663764935;659370;1663764935;659398;1663764935;659344;57.719004247;11.956464369;
1663764935;709456;1663764935;709486;1663764935;709429;57.719004308;11.956465909;
1663764935;759475;1663764935;759504;1663764935;759448;57.719004334;11.956467435;
1663764935;809399;1663764935;809428;1663764935;809372;57.719004325;11.956468945;
1663764935;859447;1663764935;859477;1663764935;859414;57.719004287;11.956470439;
1663764935;909459;1663764935;909488;1663764935;909433;57.719004222;11.956471911;
1663764935;959397;1663764935;959427;1663764935;959370;57.719004134;11.956473357;
1663764936;9414;1663764936;9441;1663764936;9389;57.719004034;11.95647482;
1663764936;59513;1663764936;59543;1663764936;59486;57.719003932;11.956476428;
1663764936;109433;1663764936;109463;1663764936;109405;57.719003813;11.956477995;
1663764936;159449;1663764936;159479;1663764936;159415;57.719003682;11.956479522;
1663764936;209417;1663764936;209444;1663764936;209392;57.719003541;11.956481008;
1663764936;259536;1663764936;259565;1663764936;259510;57.719003393;11.956482455;
1663764936;309426;1663764936;309456;1663764936;309399;57.719003238;11.956483861;
1663764936;359387;1663764936;359416;1663764936;359360;57.719003078;11.956485226;
1663764936;409400;1663764936;409430;1663764936;409374;57.719002914;11.956486551;
1663764936;459397;1663764936;459427;1663764936;459370;57.719002749;11.956487836;
1663764936;509452;1663764936;509481;1663764936;509425;57.719002583;11.956489081;
1663764936;559394;1663764936;559425;1663764936;559364;57.719002417;11.956490285;
1663764936;609455;1663764936;609486;1663764936;609427;57.719002252;11.95649145;
1663764936;659425;1663764936;659455;1663764936;659396;57.719002088;11.956492577;
1663764936;709422;1663764936;709452;1663764936;709395;57.71900193;11.956493669;
1663764936;759403;1663764936;759433;1663764936;759376;57.719001776;11.956494726;
1663764936;809475;1663764936;809503;1663764936;809448;57.719001628;11.956495745;
1663764936;859391;1663764936;859421;1663764936;859362;57.719001486;11.956496725;
1663764936;909411;1663764936;909442;1663764936;909385;57.71900135;11.956497663;
1663764936;959409;1663764936;959439;1663764936;959382;57.719001225;11.95649856;
1663764937;9453;1663764937;9481;1663764937;9428;57.719001132;11.956499457;
1663764937;59543;1663764937;59570;1663764937;59516;57.719001116;11.956500463;
1663764937;109441;1663764937;109471;1663764937;109414;57.71900111;11.956501424;
1663764937;159405;1663764937;159435;1663764937;159377;57.719001117;11.956502339;
1663764937;209433;1663764937;209462;1663764937;209406;57.719001138;11.956503211;
1663764937;259522;1663764937;259553;1663764937;259495;57.719001172;11.956504038;
1663764937;309424;1663764937;309454;1663764937;309397;57.719001219;11.95650482;
1663764937;359477;1663764937;359507;1663764937;359441;57.719001278;11.956505557;
1663764937;409506;1663764937;409536;1663764937;409479;57.71900135;11.956506249;
1663764937;459419;1663764937;459449;1663764937;459385;57.719001436;11.956506896;
1663764937;509417;1663764937;509447;1663764937;509392;57.719001535;11.956507496;
1663764937;559385;1663764937;559414;1663764937;559358;57.719001648;11.956508045;
1663764937;609436;1663764937;609466;1663764937;609409;57.719001774;11.956508541;
1663764937;659438;1663764937;659468;1663764937;659411;57.719001913;11.956508982;
1663764937;709472;1663764937;709502;1663764937;709440;57.719002065;11.956509364;
1663764937;759457;1663764937;759487;1663764937;759428;57.71900223;11.956509689;
1663764937;809460;1663764937;809489;1663764937;809432;57.719002406;11.956509953;
1663764937;859418;1663764937;859448;1663764937;859391;57.719002594;11.956510157;
1663764937;909406;1663764937;909435;1663764937;909379;57.719002793;11.956510298;
1663764937;959420;1663764937;959449;1663764937;959393;57.719003004;11.956510377;
