sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;latitude;longitude;
1663764965;909753;1663764965;909783;1663764965;909726;57.718562892;11.958485592;
1663764965;959700;1663764965;959730;1663764965;959672;57.718562899;11.958485661;
1663764966;9792;1663764966;9820;1663764966;9766;57.718562905;11.958485722;
1663764966;59762;1663764966;59792;1663764966;59735;57.718562915;11.958485743;
1663764966;109752;1663764966;109782;1663764966;109724;57.718562925;11.958485763;
1663764966;159717;1663764966;159747;1663764966;159689;57.718562935;11.958485784;
1663764966;209710;1663764966;209740;1663764966;209684;57.718562945;11.958485804;
1663764966;259823;1663764966;259852;1663764966;259794;57.718562955;11.958485823;
1663764966;309748;1663764966;309777;1663764966;309721;57.718562965;11.958485843;
1663764966;359675;1663764966;359704;1663764966;359648;57.718562975;11.958485863;
1663764966;409711;1663764966;409740;1663764966;409684;57.718562985;11.958485882;
1663764966;459771;1663764966;459800;1663764966;459738;57.718562996;11.958485901;
1663764966;509708;1663764966;509737;1663764966;509681;57.718563006;11.958485918;
1663764966;559752;1663764966;559784;1663764966;559721;57.718563017;11.958485934;
1663764966;609816;1663764966;609847;1663764966;609786;57.718563028;11.95848595;
1663764966;659729;1663764966;659759;1663764966;659700;57.718563039;11.958485966;
1663764966;709702;1663764966;709732;1663764966;709676;57.71856305;11.958485983;
1663764966;759698;1663764966;759727;1663764966;759671;57.718563061;11.958485999;
1663764966;809865;1663764966;809895;1663764966;809832;57.718563072;11.958486015;
1663764966;859706;1663764966;859735;1663764966;859678;57.718563083;11.958486031;
1663764966;909742;1663764966;909774;1663764966;909702;57.718563094;11.958486047;
1663764966;959724;1663764966;959754;1663764966;959697;57.718563106;11.958486061;
1663764967;9840;1663764967;9870;1663764967;9812;57.718563117;11.958486069;
1663764967;59866;1663764967;59895;1663764967;59839;57.718563133;11.958486044;
1663764967;109709;1663764967;109739;1663764967;109683;57.718563149;11.958486018;
1663764967;159753;1663764967;159783;1663764967;159724;57.718563166;11.958485993;
1663764967;209724;1663764967;209753;1663764967;209697;57.718563182;11.958485968;
1663764967;259794;1663764967;259824;1663764967;259766;57.718563198;11.958485943;
1663764967;309728;1663764967;309757;1663764967;309702;57.718563215;11.958485917;
1663764967;359748;1663764967;359777;1663764967;359720;57.718563231;11.958485891;
1663764967;409760;1663764967;409790;1663764967;409733;57.718563248;11.958485863;
1663764967;459729;1663764967;459759;1663764967;459697;57.718563264;11.958485836;
1663764967;509717;1663764967;509746;1663764967;509691;57.718563281;11.958485807;
1663764967;559739;1663764967;559769;1663764967;559711;57.718563299;11.958485779;
1663764967;609728;1663764967;609758;1663764967;609699;57.718563316;11.958485751;
1663764967;659770;1663764967;659801;1663764967;659740;57.718563333;11.958485723;
1663764967;709735;1663764967;709765;1663764967;709709;57.71856335;11.958485694;
1663764967;759763;1663764967;759792;1663764967;759734;57.718563368;11.958485665;
1663764967;809763;1663764967;809792;1663764967;809736;57.718563385;11.958485636;
1663764967;859746;1663764967;859776;1663764967;859719;57.718563403;11.958485606;
1663764967;909699;1663764967;909729;1663764967;909672;57.71856342;11.958485575;
1663764967;959711;1663764967;959741;1663764967;959685;57.718563438;11.958485544;
1663764968;9806;1663764968;9836;1663764968;9779;57.718563456;11.958485508;
1663764968;59798;1663764968;59828;1663764968;59768;57.718563477;11.958485444;
1663764968;109809;1663764968;109839;1663764968;109782;57.718563498;11.958485381;
1663764968;159736;1663764968;159766;1663764968;159704;57.718563519;11.958485317;
1663764968;209710;1663764968;209739;1663764968;209683;57.71856354;11.958485252;
1663764968;259912;1663764968;259942;1663764968;259884;57.718563562;11.958485187;
1663764968;309788;1663764968;309819;1663764968;309761;57.718563583;11.958485121;
1663764968;359778;1663764968;359807;1663764968;359749;57.718563605;11.958485055;
1663764968;409807;1663764968;409837;1663764968;409779;57.718563627;11.958484989;
1663764968;459778;1663764968;459808;1663764968;459748;57.718563649;11.958484922;
1663764968;509793;1663764968;509823;1663764968;509766;57.718563671;11.958484856;
1663764968;559743;1663764968;559773;1663764968;559715;57.718563693;11.958484789;
1663764968;609806;1663764968;609836;1663764968;609779;57.718563715;11.958484721;
1663764968;659745;1663764968;659775;1663764968;659718;57.718563738;11.958484653;
1663764968;709752;1663764968;709782;1663764968;709725;57.71856376;11.958484584;
1663764968;759700;1663764968;759730;1663764968;759672;57.718563783;11.958484515;
1663764968;809817;1663764968;809847;1663764968;809789;57.718563806;11.958484445;
1663764968;859713;1663764968;859743;1663764968;859686;57.718563829;11.958484375;
1663764968;909721;1663764968;909751;1663764968;909692;57.718563852;11.958484305;
1663764968;959742;1663764968;959772;1663764968;959715;57.718563875;11.958484234;
1663764969;9846;1663764969;9876;1663764969;9820;57.718563898;11.95848416;
1663764969;59904;1663764969;59933;1663764969;59877;57.718563923;11.958484065;
1663764969;109771;1663764969;109800;1663764969;109744;57.718563947;11.958483969;
1663764969;159734;1663764969;159765;1663764969;159706;57.718563972;11.958483873;
1663764969;209737;1663764969;209767;1663764969;209709;57.718563997;11.958483776;
1663764969;259942;1663764969;259972;1663764969;259909;57.718564022;11.958483678;
1663764969;309709;1663764969;309739;1663764969;309682;57.718564047;11.95848358;
1663764969;359730;1663764969;359760;1663764969;359704;57.718564073;11.958483482;
1663764969;409815;1663764969;409845;1663764969;409783;57.718564099;11.958483384;
1663764969;459743;1663764969;459772;1663764969;459717;57.718564124;11.958483284;
1663764969;509715;1663764969;509745;1663764969;509690;57.71856415;11.958483185;
1663764969;559745;1663764969;559774;1663764969;559718;57.718564176;11.958483084;
1663764969;609852;1663764969;609882;1663764969;609824;57.718564202;11.958482984;
1663764969;659759;1663764969;659790;1663764969;659733;57.718564229;11.958482883;
1663764969;709768;1663764969;709798;1663764969;709741;57.718564255;11.958482781;
1663764969;759777;1663764969;759808;1663764969;759752;57.718564282;11.958482679;
1663764969;809765;1663764969;809795;1663764969;809737;57.718564309;11.958482577;
1663764969;859776;1663764969;859806;1663764969;859749;57.718564336;11.958482474;
1663764969;909759;1663764969;909789;1663764969;909732;57.718564363;11.95848237;
1663764969;959751;1663764969;959781;1663764969;959725;57.71856439;11.958482266;
1663764970;9826;1663764970;9856;1663764970;9800;57.718564417;11.95848216;
1663764970;59789;1663764970;59819;1663764970;59759;57.718564445;11.95848204;
1663764970;109843;1663764970;109873;1663764970;109816;57.718564474;11.958481919;
1663764970;159775;1663764970;159805;1663764970;159747;57.718564503;11.958481797;
1663764970;209784;1663764970;209814;1663764970;209757;57.718564532;11.958481675;
1663764970;259879;1663764970;259909;1663764970;259851;57.718564561;11.958481553;
1663764970;309792;1663764970;309822;1663764970;309763;57.718564591;11.95848143;
1663764970;359776;1663764970;359807;1663764970;359748;57.718564621;11.958481306;
1663764970;409763;1663764970;409792;1663764970;409735;57.71856465;11.958481183;
1663764970;459755;1663764970;459785;1663764970;459728;57.71856468;11.958481059;
1663764970;509836;1663764970;509865;1663764970;509803;57.71856471;11.958480934;
1663764970;559787;1663764970;559817;1663764970;559759;57.71856474;11.958480809;
1663764970;609849;1663764970;609879;1663764970;609817;57.718564771;11.958480683;
1663764970;659714;1663764970;659744;1663764970;659687;57.718564801;11.958480557;
1663764970;709782;1663764970;709812;1663764970;709750;57.718564832;11.95848043;
1663764970;759789;1663764970;759819;1663764970;759761;57.718564863;11.958480303;
1663764970;809883;1663764970;809913;1663764970;809856;57.718564893;11.958480175;
1663764970;859780;1663764970;859810;1663764970;859754;57.718564924;11.958480046;
1663764970;909781;1663764970;909811;1663764970;909754;57.718564956;11.958479917;
1663764970;959791;1663764970;959820;1663764970;959763;57.718564987;11.958479788;
1663764971;9883;1663764971;9913;1663764971;9857;57.718565018;11.958479657;
1663764971;59918;1663764971;59950;1663764971;59890;57.718565049;11.958479518;
1663764971;109756;1663764971;109786;1663764971;109729;57.71856508;11.958479378;
1663764971;159760;1663764971;159790;1663764971;159734;57.718565111;11.958479238;
1663764971;209727;1663764971;209757;1663764971;209699;57.718565143;11.958479097;
1663764971;259844;1663764971;259873;1663764971;259815;57.718565175;11.958478956;
1663764971;309745;1663764971;309775;1663764971;309717;57.718565207;11.958478814;
1663764971;359755;1663764971;359785;1663764971;359728;57.718565239;11.958478671;
1663764971;409770;1663764971;409800;1663764971;409743;57.718565271;11.958478528;
1663764971;459746;1663764971;459776;1663764971;459720;57.718565304;11.958478385;
1663764971;509807;1663764971;509837;1663764971;509780;57.718565336;11.958478241;
1663764971;559908;1663764971;559939;1663764971;559880;57.718565369;11.958478096;
1663764971;609789;1663764971;609820;1663764971;609761;57.718565402;11.95847795;
1663764971;659806;1663764971;659836;1663764971;659779;57.718565435;11.958477804;
1663764971;709759;1663764971;709790;1663764971;709727;57.718565468;11.958477658;
1663764971;759907;1663764971;759937;1663764971;759880;57.718565502;11.958477511;
1663764971;809801;1663764971;809831;1663764971;809774;57.718565535;11.958477363;
1663764971;859716;1663764971;859746;1663764971;859690;57.718565569;11.958477215;
1663764971;909755;1663764971;909784;1663764971;909727;57.718565603;11.958477066;
1663764971;959811;1663764971;959841;1663764971;959784;57.718565638;11.958476916;
1663764972;9889;1663764972;9919;1663764972;9857;57.718565677;11.95847677;
1663764972;59819;1663764972;59848;1663764972;59793;57.718565745;11.958476637;
1663764972;109781;1663764972;109811;1663764972;109754;57.718565812;11.958476503;
1663764972;159780;1663764972;159810;1663764972;159753;57.71856588;11.958476368;
1663764972;209764;1663764972;209794;1663764972;209738;57.718565947;11.958476232;
1663764972;259893;1663764972;259922;1663764972;259860;57.718566016;11.958476096;
1663764972;309929;1663764972;309959;1663764972;309897;57.718566084;11.95847596;
1663764972;359757;1663764972;359787;1663764972;359731;57.718566152;11.958475823;
1663764972;409750;1663764972;409780;1663764972;409723;57.718566221;11.958475686;
1663764972;459791;1663764972;459821;1663764972;459763;57.718566289;11.958475547;
1663764972;509793;1663764972;509823;1663764972;509765;57.718566358;11.958475408;
1663764972;559801;1663764972;559831;1663764972;559774;57.718566427;11.958475269;
1663764972;609820;1663764972;609851;1663764972;609793;57.718566497;11.958475128;
1663764972;659778;1663764972;659809;1663764972;659750;57.718566566;11.958474988;
1663764972;709790;1663764972;709820;1663764972;709763;57.718566636;11.958474846;
1663764972;759805;1663764972;759835;1663764972;759777;57.718566706;11.958474705;
1663764972;809810;1663764972;809841;1663764972;809784;57.718566776;11.958474562;
1663764972;859830;1663764972;859860;1663764972;859797;57.718566846;11.958474419;
1663764972;909801;1663764972;909830;1663764972;909773;57.718566917;11.958474275;
1663764972;959785;1663764972;959816;1663764972;959756;57.718566988;11.958474131;
1663764973;9847;1663764973;9877;1663764973;9819;57.718567052;11.958473986;
1663764973;59884;1663764973;59914;1663764973;59858;57.718567085;11.958473834;
1663764973;109763;1663764973;109793;1663764973;109734;57.718567119;11.958473681;
1663764973;159781;1663764973;159811;1663764973;159753;57.718567154;11.958473527;
1663764973;209798;1663764973;209827;1663764973;209771;57.718567188;11.958473373;
1663764973;259858;1663764973;259888;1663764973;259831;57.718567223;11.958473218;
1663764973;309809;1663764973;309839;1663764973;309782;57.718567258;11.958473062;
