sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;latitude;longitude;
1663765054;910584;1663765054;910614;1663765054;910557;57.718971511;11.956681407;
1663765054;960573;1663765054;960603;1663765054;960547;57.718971926;11.95667619;
1663765055;10690;1663765055;10720;1663765055;10663;57.718972354;11.956671017;
1663765055;60709;1663765055;60739;1663765055;60682;57.718972726;11.956665961;
1663765055;110622;1663765055;110652;1663765055;110595;57.718973131;11.956660932;
1663765055;160580;1663765055;160610;1663765055;160554;57.718973569;11.956655931;
1663765055;210614;1663765055;210644;1663765055;210587;57.71897404;11.956650959;
1663765055;260769;1663765055;260798;1663765055;260742;57.718974545;11.95664602;
1663765055;310572;1663765055;310603;1663765055;310538;57.718975085;11.956641118;
1663765055;360607;1663765055;360637;1663765055;360579;57.718975661;11.956636254;
1663765055;410632;1663765055;410662;1663765055;410605;57.718976273;11.956631431;
1663765055;460565;1663765055;460593;1663765055;460540;57.718976923;11.956626651;
1663765055;510576;1663765055;510606;1663765055;510549;57.718977613;11.95662192;
1663765055;560558;1663765055;560588;1663765055;560531;57.718978342;11.95661724;
1663765055;610541;1663765055;610570;1663765055;610515;57.718979113;11.956612615;
1663765055;660559;1663765055;660589;1663765055;660532;57.718979927;11.95660805;
1663765055;710599;1663765055;710629;1663765055;710572;57.718980783;11.956603547;
1663765055;760623;1663765055;760652;1663765055;760596;57.718981682;11.956599109;
1663765055;810590;1663765055;810617;1663765055;810564;57.718982624;11.956594738;
1663765055;860522;1663765055;860549;1663765055;860497;57.718983611;11.956590437;
1663765055;910550;1663765055;910577;1663765055;910523;57.718984641;11.956586209;
1663765055;960547;1663765055;960577;1663765055;960520;57.718985714;11.956582057;
1663765056;10646;1663765056;10676;1663765056;10618;57.718986825;11.956577968;
1663765056;60658;1663765056;60688;1663765056;60631;57.718987939;11.956573898;
1663765056;110627;1663765056;110657;1663765056;110594;57.718989097;11.956569912;
1663765056;160569;1663765056;160598;1663765056;160541;57.718990297;11.956566011;
1663765056;210594;1663765056;210624;1663765056;210567;57.718991541;11.9565622;
1663765056;260746;1663765056;260775;1663765056;260718;57.718992825;11.95655848;
1663765056;310629;1663765056;310659;1663765056;310602;57.718994149;11.956554856;
1663765056;360574;1663765056;360604;1663765056;360546;57.718995514;11.956551334;
1663765056;410653;1663765056;410683;1663765056;410627;57.718996919;11.956547916;
1663765056;460573;1663765056;460603;1663765056;460547;57.718998361;11.956544605;
1663765056;510670;1663765056;510700;1663765056;510643;57.718999841;11.956541404;
1663765056;560558;1663765056;560590;1663765056;560527;57.719001358;11.956538316;
1663765056;610588;1663765056;610619;1663765056;610560;57.71900291;11.956535346;
1663765056;660597;1663765056;660628;1663765056;660568;57.719004496;11.956532493;
1663765056;710593;1663765056;710623;1663765056;710566;57.719006112;11.956529761;
1663765056;760583;1663765056;760613;1663765056;760557;57.719007758;11.956527153;
1663765056;810609;1663765056;810639;1663765056;810581;57.719009432;11.956524674;
1663765056;860617;1663765056;860647;1663765056;860584;57.719011134;11.956522327;
1663765056;910607;1663765056;910637;1663765056;910580;57.719012863;11.956520114;
1663765056;960552;1663765056;960579;1663765056;960527;57.719014619;11.956518043;
1663765057;10643;1663765057;10670;1663765057;10617;57.719016417;11.95651611;
1663765057;60666;1663765057;60696;1663765057;60636;57.719018301;11.9565143;
1663765057;110570;1663765057;110601;1663765057;110543;57.719020206;11.956512635;
1663765057;160552;1663765057;160582;1663765057;160525;57.71902213;11.956511117;
1663765057;210593;1663765057;210622;1663765057;210566;57.719024071;11.956509747;
1663765057;260731;1663765057;260761;1663765057;260704;57.719026024;11.956508522;
1663765057;310601;1663765057;310631;1663765057;310569;57.719027988;11.956507441;
1663765057;360582;1663765057;360613;1663765057;360548;57.719029959;11.956506504;
1663765057;410609;1663765057;410638;1663765057;410583;57.719031935;11.956505709;
1663765057;460632;1663765057;460662;1663765057;460606;57.719033914;11.956505058;
1663765057;510624;1663765057;510655;1663765057;510591;57.719035892;11.956504549;
1663765057;560602;1663765057;560632;1663765057;560576;57.719037868;11.956504183;
1663765057;610614;1663765057;610644;1663765057;610588;57.719039838;11.956503962;
1663765057;660631;1663765057;660661;1663765057;660603;57.719041801;11.956503882;
