sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;latitude;longitude;
1663765111;911124;1663765111;911154;1663765111;911097;57.719081199;11.956321605;
1663765111;961052;1663765111;961081;1663765111;961025;57.719082421;11.95632231;
1663765112;11195;1663765112;11226;1663765112;11169;57.719083633;11.956323063;
1663765112;61226;1663765112;61256;1663765112;61199;57.719084827;11.956323818;
1663765112;111154;1663765112;111184;1663765112;111129;57.719086011;11.956324632;
1663765112;161151;1663765112;161185;1663765112;161120;57.719087186;11.956325507;
1663765112;211195;1663765112;211227;1663765112;211160;57.719088354;11.956326441;
1663765112;261286;1663765112;261317;1663765112;261258;57.719089514;11.95632743;
1663765112;311157;1663765112;311188;1663765112;311132;57.719090669;11.956328469;
1663765112;361166;1663765112;361196;1663765112;361132;57.719091817;11.956329556;
1663765112;411109;1663765112;411138;1663765112;411083;57.719092956;11.956330697;
1663765112;461135;1663765112;461165;1663765112;461108;57.719094083;11.95633189;
1663765112;511159;1663765112;511190;1663765112;511133;57.7190952;11.956333128;
1663765112;561127;1663765112;561157;1663765112;561101;57.719096309;11.956334405;
1663765112;611101;1663765112;611131;1663765112;611075;57.719097413;11.956335724;
1663765112;661190;1663765112;661220;1663765112;661162;57.719098509;11.956337088;
1663765112;711117;1663765112;711148;1663765112;711089;57.719099601;11.956338494;
1663765112;761106;1663765112;761136;1663765112;761079;57.719100687;11.95633994;
1663765112;811162;1663765112;811192;1663765112;811136;57.719101766;11.95634143;
1663765112;861053;1663765112;861083;1663765112;861026;57.719102839;11.956342961;
1663765112;911109;1663765112;911139;1663765112;911083;57.719103905;11.956344528;
1663765112;961105;1663765112;961134;1663765112;961077;57.719104957;11.956346135;
1663765113;11140;1663765113;11169;1663765113;11114;57.719105994;11.956347762;
1663765113;61240;1663765113;61270;1663765113;61214;57.719107011;11.956349349;
1663765113;111116;1663765113;111146;1663765113;111084;57.719108005;11.956350985;
1663765113;161153;1663765113;161183;1663765113;161126;57.719108978;11.956352673;
1663765113;211107;1663765113;211137;1663765113;211081;57.719109928;11.956354412;
1663765113;261313;1663765113;261343;1663765113;261287;57.719110851;11.956356202;
1663765113;311134;1663765113;311164;1663765113;311108;57.719111743;11.956358039;
1663765113;361175;1663765113;361205;1663765113;361147;57.719112602;11.956359925;
1663765113;411256;1663765113;411286;1663765113;411224;57.719113428;11.956361853;
1663765113;461158;1663765113;461185;1663765113;461132;57.719114219;11.956363815;
1663765113;511134;1663765113;511165;1663765113;511107;57.719114971;11.956365811;
1663765113;561177;1663765113;561207;1663765113;561148;57.719115678;11.956367841;
1663765113;611162;1663765113;611192;1663765113;611134;57.71911634;11.9563699;
1663765113;661207;1663765113;661238;1663765113;661179;57.719116956;11.956371985;
1663765113;711200;1663765113;711229;1663765113;711173;57.719117526;11.956374092;
1663765113;761233;1663765113;761263;1663765113;761207;57.719118047;11.956376222;
1663765113;811160;1663765113;811190;1663765113;811133;57.719118519;11.956378371;
1663765113;861144;1663765113;861174;1663765113;861110;57.719118946;11.956380539;
1663765113;911174;1663765113;911204;1663765113;911148;57.719119327;11.956382721;
1663765113;961126;1663765113;961156;1663765113;961098;57.719119663;11.956384914;
1663765114;11249;1663765114;11279;1663765114;11222;57.719119975;11.956387039;
1663765114;61193;1663765114;61223;1663765114;61167;57.719120325;11.956388861;
1663765114;111256;1663765114;111286;1663765114;111223;57.719120628;11.956390669;
1663765114;161170;1663765114;161200;1663765114;161136;57.719120884;11.956392457;
1663765114;211104;1663765114;211134;1663765114;211079;57.719121091;11.956394221;
1663765114;261282;1663765114;261312;1663765114;261255;57.719121252;11.956395957;
1663765114;311160;1663765114;311190;1663765114;311131;57.719121367;11.956397663;
1663765114;361137;1663765114;361167;1663765114;361110;57.719121439;11.956399341;
1663765114;411166;1663765114;411193;1663765114;411140;57.719121471;11.956400993;
1663765114;461117;1663765114;461146;1663765114;461090;57.71912147;11.956402618;
1663765114;511204;1663765114;511234;1663765114;511171;57.719121437;11.956404214;
1663765114;561171;1663765114;561201;1663765114;561144;57.719121375;11.95640578;
1663765114;611287;1663765114;611317;1663765114;611254;57.719121283;11.956407312;
1663765114;661122;1663765114;661152;1663765114;661096;57.719121163;11.956408808;
1663765114;711165;1663765114;711195;1663765114;711137;57.71912102;11.956410263;
1663765114;761202;1663765114;761232;1663765114;761174;57.719120854;11.956411675;
