sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;latitude;longitude;
1663765159;911608;1663765159;911637;1663765159;911581;57.719026057;11.956395652;
1663765159;961572;1663765159;961602;1663765159;961547;57.719027645;11.956394063;
1663765160;11643;1663765160;11673;1663765160;11618;57.719029247;11.956392568;
1663765160;61644;1663765160;61674;1663765160;61618;57.719030864;11.956391187;
1663765160;111672;1663765160;111703;1663765160;111647;57.719032493;11.956389891;
1663765160;161605;1663765160;161635;1663765160;161579;57.719034131;11.956388674;
1663765160;211619;1663765160;211649;1663765160;211594;57.719035774;11.956387533;
1663765160;261772;1663765160;261802;1663765160;261747;57.719037424;11.956386465;
1663765160;311664;1663765160;311709;1663765160;311634;57.719039079;11.956385473;
1663765160;361602;1663765160;361630;1663765160;361575;57.719040738;11.956384558;
1663765160;411583;1663765160;411614;1663765160;411555;57.719042402;11.956383718;
1663765160;461600;1663765160;461630;1663765160;461574;57.719044068;11.956382951;
1663765160;511633;1663765160;511662;1663765160;511607;57.719045737;11.956382256;
1663765160;561568;1663765160;561598;1663765160;561542;57.719047406;11.956381638;
1663765160;611639;1663765160;611668;1663765160;611613;57.719049075;11.956381097;
1663765160;661625;1663765160;661654;1663765160;661598;57.719050742;11.956380635;
1663765160;711581;1663765160;711625;1663765160;711548;57.719052408;11.956380248;
1663765160;761607;1663765160;761637;1663765160;761580;57.719054072;11.956379933;
1663765160;811693;1663765160;811722;1663765160;811667;57.719055734;11.956379685;
1663765160;861614;1663765160;861644;1663765160;861586;57.719057395;11.9563795;
1663765160;911601;1663765160;911648;1663765160;911566;57.719059053;11.956379372;
1663765160;961606;1663765160;961636;1663765160;961579;57.719060708;11.956379294;
1663765161;11616;1663765161;11646;1663765161;11589;57.719062353;11.956379242;
1663765161;61686;1663765161;61716;1663765161;61660;57.719063978;11.956379195;
1663765161;111592;1663765161;111622;1663765161;111566;57.719065599;11.956379188;
1663765161;161598;1663765161;161625;1663765161;161572;57.719067217;11.956379222;
1663765161;211640;1663765161;211669;1663765161;211614;57.719068829;11.9563793;
1663765161;261642;1663765161;261672;1663765161;261616;57.719070435;11.956379428;
1663765161;311584;1663765161;311625;1663765161;311546;57.71907203;11.956379608;
1663765161;361583;1663765161;361612;1663765161;361557;57.719073616;11.956379846;
1663765161;411616;1663765161;411646;1663765161;411590;57.719075191;11.956380143;
1663765161;461597;1663765161;461627;1663765161;461571;57.719076756;11.956380502;
1663765161;511655;1663765161;511698;1663765161;511628;57.719078312;11.956380917;
1663765161;561613;1663765161;561644;1663765161;561585;57.719079858;11.956381387;
1663765161;611615;1663765161;611646;1663765161;611586;57.719081394;11.956381909;
1663765161;661586;1663765161;661615;1663765161;661558;57.71908292;11.956382478;
1663765161;711651;1663765161;711680;1663765161;711625;57.719084436;11.956383093;
1663765161;761623;1663765161;761652;1663765161;761596;57.71908594;11.956383757;
1663765161;811636;1663765161;811665;1663765161;811610;57.719087432;11.956384473;
1663765161;861593;1663765161;861621;1663765161;861568;57.71908891;11.956385239;
1663765161;911618;1663765161;911662;1663765161;911580;57.719090376;11.956386054;
1663765161;961624;1663765161;961654;1663765161;961598;57.719091827;11.956386915;
1663765162;11690;1663765162;11720;1663765162;11665;57.719093267;11.956387691;
1663765162;61722;1663765162;61752;1663765162;61697;57.719094701;11.95638818;
1663765162;111663;1663765162;111703;1663765162;111636;57.719096117;11.956388722;
1663765162;161652;1663765162;161682;1663765162;161625;57.719097512;11.956389316;
1663765162;211619;1663765162;211649;1663765162;211593;57.719098888;11.956389961;
1663765162;261751;1663765162;261782;1663765162;261725;57.719100245;11.956390656;
1663765162;311432;1663765162;311462;1663765162;311406;57.719101581;11.956391401;
1663765162;361613;1663765162;361643;1663765162;361587;57.719102897;11.956392195;
1663765162;411641;1663765162;411671;1663765162;411615;57.719104192;11.956393038;
1663765162;461639;1663765162;461669;1663765162;461606;57.719105464;11.956393934;
1663765162;511701;1663765162;511730;1663765162;511677;57.719106708;11.956394883;
1663765162;561644;1663765162;561674;1663765162;561618;57.719107922;11.956395888;
1663765162;611618;1663765162;611647;1663765162;611592;57.719109103;11.956396946;
1663765162;661665;1663765162;661694;1663765162;661638;57.719110255;11.956398056;
1663765162;711663;1663765162;711701;1663765162;711636;57.719111376;11.956399212;
1663765162;761648;1663765162;761678;1663765162;761621;57.719112462;11.956400416;
1663765162;811704;1663765162;811733;1663765162;811676;57.719113509;11.956401671;
1663765162;861636;1663765162;861665;1663765162;861610;57.719114514;11.956402978;
1663765162;911457;1663765162;911486;1663765162;911431;57.719115476;11.956404336;
1663765162;961631;1663765162;961660;1663765162;961605;57.719116393;11.956405744;
1663765163;11634;1663765163;11665;1663765163;11607;57.719117266;11.956407237;
1663765163;61708;1663765163;61739;1663765163;61681;57.719118097;11.956408855;
1663765163;111606;1663765163;111637;1663765163;111581;57.719118882;11.956410516;
1663765163;161618;1663765163;161648;1663765163;161592;57.719119618;11.956412217;
1663765163;211630;1663765163;211659;1663765163;211603;57.719120308;11.956413951;
1663765163;261772;1663765163;261802;1663765163;261745;57.71912095;11.956415714;
1663765163;311629;1663765163;311673;1663765163;311595;57.719121544;11.956417504;
1663765163;361619;1663765163;361649;1663765163;361592;57.719122089;11.956419318;
1663765163;411750;1663765163;411780;1663765163;411725;57.719122588;11.956421147;
1663765163;461599;1663765163;461628;1663765163;461573;57.719123042;11.956422988;
1663765163;511436;1663765163;511466;1663765163;511408;57.719123452;11.956424843;
1663765163;561634;1663765163;561664;1663765163;561608;57.719123818;11.956426712;
1663765163;611642;1663765163;611672;1663765163;611617;57.719124146;11.956428588;
1663765163;661608;1663765163;661638;1663765163;661581;57.719124438;11.956430465;
1663765163;711623;1663765163;711667;1663765163;711591;57.719124694;11.956432338;
1663765163;761637;1663765163;761667;1663765163;761611;57.719124911;11.956434204;
1663765163;811636;1663765163;811665;1663765163;811610;57.719125087;11.956436058;
1663765163;861614;1663765163;861644;1663765163;861588;57.719125223;11.956437896;
1663765163;911628;1663765163;911672;1663765163;911589;57.71912532;11.956439713;
1663765163;961631;1663765163;961661;1663765163;961604;57.719125381;11.956441505;
1663765164;11699;1663765164;11729;1663765164;11672;57.719125429;11.956443263;
1663765164;61719;1663765164;61748;1663765164;61693;57.719125494;11.956444966;
1663765164;111768;1663765164;111798;1663765164;111740;57.719125525;11.956446642;
1663765164;161632;1663765164;161662;1663765164;161606;57.719125524;11.95644829;
1663765164;211638;1663765164;211668;1663765164;211612;57.719125496;11.956449912;
1663765164;261791;1663765164;261820;1663765164;261763;57.719125442;11.95645151;
1663765164;311652;1663765164;311696;1663765164;311616;57.719125368;11.956453085;
1663765164;361630;1663765164;361659;1663765164;361604;57.719125274;11.956454639;
1663765164;411651;1663765164;411680;1663765164;411625;57.719125165;11.956456172;
1663765164;461611;1663765164;461642;1663765164;461585;57.719125041;11.956457684;
1663765164;511737;1663765164;511764;1663765164;511712;57.719124904;11.956459176;
1663765164;561711;1663765164;561741;1663765164;561682;57.719124756;11.956460646;
1663765164;611734;1663765164;611763;1663765164;611709;57.719124598;11.956462098;
1663765164;661691;1663765164;661721;1663765164;661665;57.71912443;11.956463536;
1663765164;711514;1663765164;711544;1663765164;711487;57.719124253;11.956464959;
1663765164;761702;1663765164;761731;1663765164;761676;57.719124067;11.956466369;
1663765164;811759;1663765164;811786;1663765164;811734;57.719123872;11.956467767;
1663765164;861643;1663765164;861671;1663765164;861617;57.719123669;11.956469154;
1663765164;911647;1663765164;911685;1663765164;911621;57.71912346;11.95647053;
1663765164;961642;1663765164;961672;1663765164;961618;57.719123248;11.956471898;
1663765165;11739;1663765165;11769;1663765165;11712;57.719123019;11.956473326;
1663765165;61751;1663765165;61781;1663765165;61723;57.719122757;11.956474908;
1663765165;111642;1663765165;111672;1663765165;111615;57.719122495;11.956476486;
1663765165;161645;1663765165;161675;1663765165;161617;57.719122232;11.956478057;
1663765165;211673;1663765165;211700;1663765165;211647;57.719121969;11.956479623;
1663765165;261877;1663765165;261907;1663765165;261849;57.719121703;11.956481182;
1663765165;311511;1663765165;311540;1663765165;311485;57.719121434;11.956482733;
1663765165;361718;1663765165;361746;1663765165;361691;57.71912116;11.956484274;
1663765165;411770;1663765165;411800;1663765165;411744;57.719120878;11.956485805;
1663765165;461632;1663765165;461659;1663765165;461606;57.71912059;11.956487324;
1663765165;511692;1663765165;511735;1663765165;511655;57.719120298;11.95648883;
1663765165;561684;1663765165;561714;1663765165;561651;57.719120001;11.95649032;
1663765165;611722;1663765165;611751;1663765165;611694;57.7191197;11.956491795;
1663765165;661641;1663765165;661671;1663765165;661614;57.719119399;11.956493255;
1663765165;711671;1663765165;711718;1663765165;711635;57.719119101;11.956494704;
1663765165;761735;1663765165;761766;1663765165;761708;57.719118808;11.956496142;
1663765165;811662;1663765165;811692;1663765165;811636;57.719118522;11.95649757;
1663765165;861705;1663765165;861734;1663765165;861679;57.719118247;11.956498985;
1663765165;911506;1663765165;911535;1663765165;911480;57.719117983;11.956500384;
1663765165;961681;1663765165;961711;1663765165;961655;57.719117733;11.956501761;
1663765166;11713;1663765166;11743;1663765166;11687;57.71911754;11.956503153;
1663765166;61683;1663765166;61711;1663765166;61658;57.719117448;11.956504601;
1663765166;111751;1663765166;111795;1663765166;111713;57.719117369;11.956506007;
1663765166;161657;1663765166;161687;1663765166;161628;57.719117303;11.956507364;
1663765166;211644;1663765166;211672;1663765166;211620;57.719117249;11.956508667;
1663765166;261791;1663765166;261819;1663765166;261764;57.719117206;11.956509914;
1663765166;311693;1663765166;311723;1663765166;311666;57.719117175;11.956511103;
1663765166;361635;1663765166;361665;1663765166;361608;57.719117156;11.956512232;
1663765166;411695;1663765166;411725;1663765166;411669;57.719117147;11.956513303;
1663765166;461733;1663765166;461763;1663765166;461704;57.719117148;11.956514313;
