sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;latitude;longitude;
1663764266;902913;1663764266;902944;1663764266;902886;57.718719307;11.958520797;
1663764266;952922;1663764266;952952;1663764266;952895;57.718718047;11.958523912;
1663764267;3104;1663764267;3134;1663764267;3078;57.718716762;11.958526965;
1663764267;52957;1663764267;52987;1663764267;52930;57.718715494;11.958529971;
1663764267;102924;1663764267;102954;1663764267;102897;57.718714202;11.958532913;
1663764267;152926;1663764267;152955;1663764267;152898;57.718712884;11.958535792;
1663764267;202925;1663764267;202955;1663764267;202899;57.718711542;11.958538608;
1663764267;252955;1663764267;252985;1663764267;252928;57.718710178;11.958541364;
1663764267;302891;1663764267;302921;1663764267;302864;57.718708794;11.958544059;
1663764267;352899;1663764267;352929;1663764267;352873;57.718707389;11.958546692;
1663764267;402891;1663764267;402922;1663764267;402865;57.718705965;11.958549263;
1663764267;452938;1663764267;452968;1663764267;452910;57.718704523;11.958551769;
1663764267;502905;1663764267;502935;1663764267;502878;57.718703061;11.958554208;
1663764267;552932;1663764267;552962;1663764267;552906;57.718701583;11.958556579;
1663764267;603000;1663764267;603031;1663764267;602963;57.718700086;11.95855888;
1663764267;652952;1663764267;652981;1663764267;652924;57.718698572;11.95856111;
1663764267;702903;1663764267;702933;1663764267;702877;57.718697042;11.95856327;
1663764267;752969;1663764267;753010;1663764267;752936;57.718695496;11.958565361;
1663764267;803031;1663764267;803061;1663764267;802985;57.718693936;11.958567383;
1663764267;852903;1663764267;852933;1663764267;852875;57.71869236;11.958569332;
1663764267;902861;1663764267;902891;1663764267;902835;57.71869077;11.958571205;
1663764267;952901;1663764267;952931;1663764267;952874;57.718689167;11.958572997;
1663764268;3119;1663764268;3148;1663764268;3092;57.718687551;11.958574704;
1663764268;52948;1663764268;52978;1663764268;52920;57.718685909;11.958576298;
1663764268;102889;1663764268;102919;1663764268;102862;57.718684256;11.958577797;
1663764268;152976;1663764268;153016;1663764268;152948;57.718682592;11.958579203;
1663764268;202903;1663764268;202932;1663764268;202876;57.718680918;11.958580517;
1663764268;252955;1663764268;252984;1663764268;252929;57.718679236;11.958581735;
1663764268;302912;1663764268;302942;1663764268;302886;57.718677545;11.958582857;
1663764268;352905;1663764268;352935;1663764268;352879;57.718675848;11.958583886;
1663764268;402899;1663764268;402930;1663764268;402873;57.718674145;11.958584821;
