sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;latitude;longitude;
1663764328;903491;1663764328;903521;1663764328;903464;57.718605026;11.95852048;
1663764328;953517;1663764328;953547;1663764328;953490;57.71860549;11.958519529;
1663764329;3652;1663764329;3681;1663764329;3626;57.718605951;11.958518566;
1663764329;53594;1663764329;53626;1663764329;53564;57.718606392;11.958517535;
1663764329;103479;1663764329;103509;1663764329;103453;57.718606833;11.958516497;
1663764329;153453;1663764329;153483;1663764329;153426;57.718607271;11.958515449;
1663764329;203489;1663764329;203519;1663764329;203456;57.718607707;11.958514393;
1663764329;253537;1663764329;253567;1663764329;253511;57.718608141;11.958513329;
1663764329;303497;1663764329;303524;1663764329;303471;57.718608572;11.958512259;
1663764329;353502;1663764329;353532;1663764329;353476;57.718609001;11.95851118;
1663764329;403496;1663764329;403526;1663764329;403469;57.718609426;11.958510089;
1663764329;453513;1663764329;453544;1663764329;453485;57.718609846;11.958508988;
1663764329;503553;1663764329;503582;1663764329;503525;57.718610259;11.958507875;
1663764329;553506;1663764329;553537;1663764329;553479;57.718610668;11.95850675;
1663764329;603548;1663764329;603578;1663764329;603522;57.71861107;11.958505612;
1663764329;653516;1663764329;653546;1663764329;653490;57.718611467;11.958504464;
1663764329;703496;1663764329;703526;1663764329;703470;57.718611857;11.958503304;
1663764329;753557;1663764329;753585;1663764329;753532;57.71861224;11.958502133;
1663764329;803552;1663764329;803579;1663764329;803527;57.718612615;11.95850095;
1663764329;853485;1663764329;853515;1663764329;853459;57.718612981;11.958499757;
1663764329;903488;1663764329;903518;1663764329;903461;57.718613338;11.958498553;
1663764329;953464;1663764329;953494;1663764329;953437;57.718613683;11.95849734;
1663764330;3728;1663764330;3760;1663764330;3694;57.718614001;11.958496094;
1663764330;53589;1663764330;53618;1663764330;53559;57.718614206;11.95849465;
1663764330;103553;1663764330;103586;1663764330;103515;57.718614397;11.958493203;
1663764330;153518;1663764330;153549;1663764330;153488;57.718614574;11.958491751;
1663764330;203499;1663764330;203528;1663764330;203472;57.718614737;11.9584903;
1663764330;253574;1663764330;253604;1663764330;253545;57.718614888;11.958488848;
1663764330;303504;1663764330;303531;1663764330;303479;57.718615026;11.958487396;
1663764330;353484;1663764330;353514;1663764330;353458;57.71861515;11.958485944;
1663764330;403502;1663764330;403531;1663764330;403476;57.71861526;11.958484495;
1663764330;453473;1663764330;453504;1663764330;453446;57.718615355;11.958483051;
1663764330;503474;1663764330;503501;1663764330;503450;57.718615437;11.958481612;
1663764330;553512;1663764330;553542;1663764330;553484;57.718615504;11.95848018;
1663764330;603583;1663764330;603612;1663764330;603558;57.718615558;11.958478753;
1663764330;653544;1663764330;653574;1663764330;653517;57.718615599;11.958477332;
1663764330;703539;1663764330;703568;1663764330;703511;57.718615627;11.95847592;
1663764330;753570;1663764330;753600;1663764330;753544;57.718615645;11.958474519;
1663764330;803661;1663764330;803691;1663764330;803633;57.718615652;11.958473134;
1663764330;853546;1663764330;853576;1663764330;853519;57.718615647;11.958471766;
1663764330;903555;1663764330;903585;1663764330;903528;57.718615634;11.958470417;
1663764330;953579;1663764330;953607;1663764330;953554;57.718615613;11.958469088;
1663764331;3714;1663764331;3743;1663764331;3687;57.718615615;11.958467811;
1663764331;53487;1663764331;53516;1663764331;53460;57.718615812;11.958466794;
1663764331;103541;1663764331;103570;1663764331;103513;57.718616002;11.958465803;
1663764331;153519;1663764331;153550;1663764331;153490;57.718616187;11.95846484;
1663764331;203510;1663764331;203539;1663764331;203484;57.718616368;11.958463907;
1663764331;253576;1663764331;253606;1663764331;253550;57.718616544;11.958463005;
1663764331;303515;1663764331;303545;1663764331;303489;57.718616715;11.958462134;
1663764331;353550;1663764331;353579;1663764331;353517;57.718616883;11.958461293;
1663764331;403532;1663764331;403562;1663764331;403505;57.718617049;11.958460482;
1663764331;453520;1663764331;453550;1663764331;453494;57.718617211;11.958459704;
1663764331;503502;1663764331;503531;1663764331;503476;57.71861737;11.958458958;
1663764331;553515;1663764331;553545;1663764331;553487;57.718617525;11.958458243;
1663764331;603566;1663764331;603595;1663764331;603539;57.718617676;11.958457562;
1663764331;653495;1663764331;653523;1663764331;653469;57.718617824;11.958456913;
1663764331;703496;1663764331;703525;1663764331;703470;57.718617969;11.958456297;
1663764331;753547;1663764331;753576;1663764331;753520;57.71861811;11.958455715;
1663764331;803571;1663764331;803600;1663764331;803545;57.71861825;11.958455167;
1663764331;853503;1663764331;853533;1663764331;853475;57.718618386;11.958454654;
1663764331;903544;1663764331;903574;1663764331;903516;57.718618521;11.958454174;
1663764331;953537;1663764331;953567;1663764331;953509;57.718618652;11.958453729;
1663764332;3769;1663764332;3799;1663764332;3744;57.718618794;11.958453315;
1663764332;53604;1663764332;53634;1663764332;53579;57.718619023;11.958452894;
1663764332;103618;1663764332;103648;1663764332;103591;57.718619248;11.958452508;
1663764332;153567;1663764332;153599;1663764332;153533;57.71861947;11.958452154;
1663764332;203591;1663764332;203622;1663764332;203556;57.718619688;11.958451835;
1663764332;253656;1663764332;253686;1663764332;253628;57.718619901;11.958451549;
1663764332;303555;1663764332;303585;1663764332;303529;57.718620111;11.958451297;
1663764332;353538;1663764332;353569;1663764332;353511;57.718620315;11.958451079;
1663764332;403520;1663764332;403549;1663764332;403494;57.718620513;11.958450896;
1663764332;453508;1663764332;453538;1663764332;453481;57.718620706;11.958450748;
1663764332;503540;1663764332;503570;1663764332;503514;57.718620892;11.958450633;
1663764332;553524;1663764332;553554;1663764332;553497;57.718621073;11.958450553;
1663764332;603524;1663764332;603553;1663764332;603500;57.718621247;11.958450508;
1663764332;653541;1663764332;653569;1663764332;653515;57.718621415;11.958450498;
1663764332;703522;1663764332;703551;1663764332;703496;57.718621576;11.958450523;
1663764332;753540;1663764332;753570;1663764332;753513;57.718621732;11.958450585;
1663764332;803570;1663764332;803600;1663764332;803538;57.718621881;11.958450685;
