sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;latitude;longitude;
1663764402;904231;1663764402;904261;1663764402;904205;57.719038125;11.956329178;
1663764402;954213;1663764402;954244;1663764402;954184;57.719039583;11.956328845;
1663764403;4444;1663764403;4473;1663764403;4419;57.719041039;11.956328565;
1663764403;54388;1663764403;54418;1663764403;54362;57.719042484;11.956328325;
1663764403;104275;1663764403;104305;1663764403;104247;57.719043925;11.956328144;
1663764403;154300;1663764403;154330;1663764403;154273;57.719045364;11.956328021;
1663764403;204251;1663764403;204281;1663764403;204225;57.7190468;11.956327953;
1663764403;254254;1663764403;254284;1663764403;254227;57.719048234;11.956327938;
1663764403;304220;1663764403;304250;1663764403;304194;57.719049666;11.956327971;
1663764403;354214;1663764403;354244;1663764403;354188;57.719051096;11.956328051;
1663764403;404230;1663764403;404260;1663764403;404202;57.719052524;11.956328181;
1663764403;454212;1663764403;454244;1663764403;454182;57.719053948;11.956328363;
1663764403;504224;1663764403;504255;1663764403;504197;57.719055367;11.956328596;
1663764403;554220;1663764403;554250;1663764403;554192;57.719056778;11.956328881;
1663764403;604245;1663764403;604275;1663764403;604217;57.719058182;11.956329221;
1663764403;654223;1663764403;654254;1663764403;654188;57.719059578;11.95632962;
1663764403;704252;1663764403;704283;1663764403;704224;57.719060967;11.956330076;
1663764403;754262;1663764403;754292;1663764403;754228;57.719062349;11.956330586;
1663764403;804291;1663764403;804321;1663764403;804264;57.719063725;11.956331152;
1663764403;854236;1663764403;854266;1663764403;854203;57.719065094;11.956331775;
1663764403;904217;1663764403;904248;1663764403;904190;57.719066454;11.956332456;
1663764403;954266;1663764403;954297;1663764403;954239;57.719067807;11.956333195;
1663764404;4378;1663764404;4405;1663764404;4353;57.719069151;11.956333973;
1663764404;54276;1663764404;54308;1663764404;54247;57.719070482;11.956334732;
1663764404;104277;1663764404;104308;1663764404;104248;57.719071807;11.956335544;
1663764404;154306;1663764404;154336;1663764404;154277;57.719073126;11.956336411;
1663764404;204261;1663764404;204291;1663764404;204235;57.719074437;11.95633733;
