,Unnamed: 0,Timestamp,IMULgtAcceleration,IMULatAcceleration,IMUVerAcceleration,IMURollRate,IMUYawRate,northHeading,groundSpeed,targetSpeed,throttle,brake,steeringAngle_FL,steeringAngle_FR,SteeringWhlAngle,location_x,location_y
0,0,124.44356096553383,0.0003,0.0,9.81,-1.91804e-07,7.507e-09,0.0003452669770922,14.00000000016728,14.0,0.3847962767799969,0.0,0.0,0.0,0.0,100.00031280517578,-1682.6673583984375
1,1,124.54356096702396,0.0003,0.0,9.81,2.25272e-07,7.547e-09,0.0003452669770922,13.999988663661924,14.0,0.3848044503968366,0.0,-0.0167424343526363,-0.0167396944016218,-0.0059169419432391,100.0002212524414,-1684.0672607421875
2,2,124.64356096851408,0.0003,0.0089,9.81,-0.000211975537,0.000881638902,0.0,13.99998795855006,14.0,0.3848040631950741,0.0,-0.0167424343526363,-0.0167396962642669,-0.0059169421626768,100.00001525878906,-1685.46728515625
3,3,124.74356097000418,0.0003,0.0122,9.81,-0.000137867173,0.001138469786,6.282840251922607,13.999988397785469,14.0,0.3848039288656131,0.0,-0.0167424343526363,-0.0167396962642669,-0.0059169421626768,99.9996566772461,-1686.8673095703125
4,4,124.8435609714943,0.0003,0.0161,9.81,-7.4186479e-05,0.001213243813,6.282840251922607,13.999988239352808,14.0,0.384804330665609,0.0,0.0033483779989182,0.0033484874293208,0.0011834273607854,99.99928283691406,-1688.267333984375
5,5,124.9435609729844,0.0003,0.0009,9.81,0.000217278881,0.000176828908,6.282840251922607,13.999984748425604,14.0,0.3848070787544468,0.0,0.0468573458492755,0.0468788109719753,0.0165632818174568,99.99909210205078,-1689.6673583984375
6,6,125.04356097447452,0.0003,-0.0172,9.81,0.000699995726,-0.002415569266,6.282840251922607,13.999974669049852,14.0,0.3848143171747054,0.0,0.0646964982151985,0.0647374242544174,0.022870451379814,99.99934387207033,-1691.0672607421875
7,7,125.14356097596465,0.0003,-0.0467,9.81,0.000666862645,-0.004110635724,0.0003452669770922,13.999966168229806,14.0,0.3848199702783493,0.0,0.0658112317323684,0.0658535882830619,0.0232645992536551,100.00011444091795,-1692.46728515625
8,8,125.24356097745476,0.0003,-0.0535,9.81,0.000397054187,-0.004663701169,0.0005980199784971,13.999960804615649,14.0,0.3848236978293431,0.0,0.065811239182949,0.0658535957336425,0.0232646018869076,100.00147247314452,-1693.8673095703125
9,9,125.34356097894488,0.0004,-0.06,9.81,0.00020434866,-0.00482471101,0.001091830083169,13.999959089757494,14.0,0.3848252209837462,0.0,0.0669259503483772,0.0669697523117065,0.0236587436164927,100.00348663330078,-1695.267333984375
