sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;SteeringWhlAngle
1663764742;879987;1663764742;880009;1663764742;879937;-0.00390625
1663764742;979868;1663764742;979890;1663764742;979813;0.0087890625
1663764743;80234;1663764743;80256;1663764743;80190;0.015625
1663764743;180003;1663764743;180025;1663764743;179954;0.01953125
1663764743;279897;1663764743;279919;1663764743;279846;0.021484375
1663764743;380227;1663764743;380251;1663764743;380178;0.021484375
1663764743;479994;1663764743;480015;1663764743;479948;0.0234375
1663764743;579817;1663764743;579839;1663764743;579765;0.05078125
1663764743;680227;1663764743;680250;1663764743;680180;0.1005859375
1663764743;779987;1663764743;780008;1663764743;779942;0.1708984375
1663764743;879837;1663764743;879860;1663764743;879782;0.220703125
1663764743;980218;1663764743;980241;1663764743;980170;0.26953125
1663764744;80042;1663764744;80064;1663764744;79993;0.3173828125
1663764744;179863;1663764744;179902;1663764744;179785;0.38671875
1663764744;280248;1663764744;280270;1663764744;280199;0.4462890625
1663764744;380020;1663764744;380043;1663764744;379971;0.498046875
1663764744;479872;1663764744;479896;1663764744;479817;0.5322265625
1663764744;580243;1663764744;580264;1663764744;580197;0.5576171875
1663764744;680041;1663764744;680062;1663764744;679995;0.56640625
1663764744;779879;1663764744;779901;1663764744;779826;0.56640625
1663764744;880285;1663764744;880314;1663764744;880225;0.5693359375
1663764744;980025;1663764744;980048;1663764744;979979;0.5771484375
1663764745;79872;1663764745;79894;1663764745;79820;0.60546875
1663764745;180247;1663764745;180268;1663764745;180201;0.6533203125
1663764745;280033;1663764745;280054;1663764745;279988;0.681640625
1663764745;379871;1663764745;379893;1663764745;379822;0.69140625
1663764745;480278;1663764745;480302;1663764745;480229;0.7021484375
1663764745;580061;1663764745;580083;1663764745;580012;0.7080078125
1663764745;679910;1663764745;679933;1663764745;679863;0.7099609375
1663764745;780276;1663764745;780299;1663764745;780224;0.7099609375
1663764745;880061;1663764745;880084;1663764745;880014;0.708984375
1663764745;979902;1663764745;979927;1663764745;979831;0.7099609375
1663764746;80299;1663764746;80320;1663764746;80254;0.6982421875
1663764746;180072;1663764746;180094;1663764746;180024;0.6513671875
1663764746;279920;1663764746;279942;1663764746;279869;0.5341796875
1663764746;380298;1663764746;380319;1663764746;380253;0.3486328125
1663764746;480071;1663764746;480093;1663764746;480026;0.2021484375
1663764746;579895;1663764746;579917;1663764746;579848;0.046875
1663764746;680348;1663764746;680370;1663764746;680300;-0.0830078125
1663764746;780078;1663764746;780100;1663764746;780029;-0.2451171875
1663764746;879932;1663764746;879954;1663764746;879880;-0.388671875
1663764746;980294;1663764746;980317;1663764746;980248;-0.5302734375
1663764747;80068;1663764747;80089;1663764747;80024;-0.6484375
1663764747;179909;1663764747;179931;1663764747;179854;-0.744140625
1663764747;280314;1663764747;280336;1663764747;280270;-0.767578125
1663764747;380079;1663764747;380101;1663764747;380035;-0.767578125
1663764747;479930;1663764747;479952;1663764747;479886;-0.767578125
1663764747;580323;1663764747;580344;1663764747;580279;-0.7626953125
1663764747;680088;1663764747;680110;1663764747;680044;-0.75390625
1663764747;779941;1663764747;779963;1663764747;779893;-0.7197265625
1663764747;880321;1663764747;880359;1663764747;880266;-0.66015625
1663764747;980099;1663764747;980127;1663764747;980047;-0.53515625
1663764748;79944;1663764748;79966;1663764748;79900;-0.390625
1663764748;180325;1663764748;180347;1663764748;180280;-0.3154296875
1663764748;280117;1663764748;280139;1663764748;280068;-0.2646484375
1663764748;379961;1663764748;379983;1663764748;379910;-0.19921875
1663764748;480362;1663764748;480385;1663764748;480314;-0.20703125
1663764748;580143;1663764748;580166;1663764748;580094;-0.2353515625
1663764748;679975;1663764748;679997;1663764748;679926;-0.23828125
1663764748;780341;1663764748;780362;1663764748;780296;-0.23828125
1663764748;880137;1663764748;880158;1663764748;880092;-0.23828125
1663764748;979937;1663764748;979959;1663764748;979893;-0.2255859375
1663764749;80354;1663764749;80376;1663764749;80309;-0.224609375
1663764749;180149;1663764749;180171;1663764749;180099;-0.25
1663764749;280007;1663764749;280028;1663764749;279962;-0.251953125
1663764749;380376;1663764749;380398;1663764749;380332;-0.2529296875
1663764749;480183;1663764749;480205;1663764749;480135;-0.2568359375
1663764749;579974;1663764749;579995;1663764749;579928;-0.25390625
1663764749;680393;1663764749;680414;1663764749;680347;-0.2509765625
1663764749;780163;1663764749;780185;1663764749;780115;-0.25
1663764749;880002;1663764749;880026;1663764749;879952;-0.248046875
1663764749;980396;1663764749;980419;1663764749;980346;-0.248046875
