sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;SteeringWhlAngle
1663765148;790301;1663765148;790323;1663765148;790257;-0.041015625
1663765148;890213;1663765148;890235;1663765148;890164;-0.041015625
1663765148;990287;1663765148;990308;1663765148;990243;-0.0322265625
1663765149;90292;1663765149;90313;1663765149;90246;-0.03125
1663765149;190115;1663765149;190137;1663765149;190070;-0.03125
1663765149;290294;1663765149;290316;1663765149;290249;-0.029296875
1663765149;390303;1663765149;390324;1663765149;390259;-0.0263671875
1663765149;490098;1663765149;490120;1663765149;490052;-0.025390625
1663765149;590317;1663765149;590338;1663765149;590272;-0.021484375
1663765149;690326;1663765149;690347;1663765149;690280;-0.021484375
1663765149;790121;1663765149;790143;1663765149;790072;-0.021484375
1663765149;890277;1663765149;890299;1663765149;890233;-0.0263671875
1663765149;990320;1663765149;990342;1663765149;990272;-0.1005859375
1663765150;90182;1663765150;90204;1663765150;90133;-0.3134765625
1663765150;190282;1663765150;190304;1663765150;190238;-0.6455078125
1663765150;290329;1663765150;290351;1663765150;290280;-1.0048828125
1663765150;390130;1663765150;390153;1663765150;390074;-1.337890625
1663765150;490333;1663765150;490355;1663765150;490289;-1.509765625
1663765150;590322;1663765150;590357;1663765150;590271;-1.4765625
1663765150;690123;1663765150;690145;1663765150;690079;-1.28125
1663765150;790305;1663765150;790327;1663765150;790260;-0.951171875
1663765150;890324;1663765150;890345;1663765150;890280;-0.486328125
1663765150;990111;1663765150;990133;1663765150;990066;-0.0166015625
1663765151;90295;1663765151;90318;1663765151;90249;0.4501953125
1663765151;190348;1663765151;190370;1663765151;190304;0.884765625
1663765151;290234;1663765151;290255;1663765151;290188;1.24609375
1663765151;390326;1663765151;390347;1663765151;390282;1.48046875
1663765151;490370;1663765151;490391;1663765151;490321;1.57421875
1663765151;590120;1663765151;590142;1663765151;590076;1.5576171875
1663765151;690308;1663765151;690330;1663765151;690264;1.4208984375
1663765151;790347;1663765151;790375;1663765151;790294;1.0849609375
1663765151;890152;1663765151;890174;1663765151;890104;0.626953125
1663765151;990344;1663765151;990365;1663765151;990298;0.234375
1663765152;90410;1663765152;90432;1663765152;90362;-0.0029296875
1663765152;190202;1663765152;190224;1663765152;190156;-0.0517578125
1663765152;290379;1663765152;290401;1663765152;290331;-0.048828125
1663765152;390385;1663765152;390407;1663765152;390340;-0.0380859375
1663765152;490265;1663765152;490287;1663765152;490220;-0.033203125
1663765152;590385;1663765152;590407;1663765152;590340;-0.033203125
1663765152;690372;1663765152;690393;1663765152;690328;-0.033203125
1663765152;790166;1663765152;790187;1663765152;790121;-0.033203125
1663765152;890390;1663765152;890412;1663765152;890345;-0.033203125
1663765152;990402;1663765152;990425;1663765152;990349;-0.033203125
1663765153;90199;1663765153;90220;1663765153;90154;-0.0283203125
1663765153;190373;1663765153;190394;1663765153;190329;-0.0263671875
1663765153;290421;1663765153;290442;1663765153;290377;-0.0244140625
1663765153;390224;1663765153;390246;1663765153;390179;-0.0234375
1663765153;490383;1663765153;490405;1663765153;490339;-0.0146484375
1663765153;590403;1663765153;590424;1663765153;590358;-0.01171875
1663765153;690305;1663765153;690327;1663765153;690260;-0.0087890625
