sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;SteeringWhlAngle
1663765085;88673;1663765085;88695;1663765085;88629;-5.6484375
1663765085;188455;1663765085;188477;1663765085;188410;-5.9990234375
1663765085;288440;1663765085;288463;1663765085;288390;-6.388671875
1663765085;388685;1663765085;388714;1663765085;388641;-6.6640625
1663765085;488478;1663765085;488499;1663765085;488434;-6.92578125
1663765085;588346;1663765085;588369;1663765085;588300;-7.15625
1663765085;688715;1663765085;688738;1663765085;688667;-7.326171875
1663765085;788473;1663765085;788494;1663765085;788428;-7.5126953125
1663765085;888382;1663765085;888403;1663765085;888337;-7.6943359375
1663765085;988736;1663765085;988758;1663765085;988687;-7.80859375
1663765086;88750;1663765086;88772;1663765086;88702;-7.8427734375
1663765086;188421;1663765086;188442;1663765086;188377;-7.8427734375
1663765086;288744;1663765086;288766;1663765086;288695;-7.80859375
1663765086;388492;1663765086;388514;1663765086;388448;-7.708984375
1663765086;488475;1663765086;488497;1663765086;488426;-7.4833984375
1663765086;588734;1663765086;588774;1663765086;588673;-7.275390625
1663765086;688734;1663765086;688755;1663765086;688690;-7.189453125
1663765086;788382;1663765086;788403;1663765086;788337;-7.2724609375
1663765086;888772;1663765086;888795;1663765086;888715;-7.5146484375
1663765086;988501;1663765086;988522;1663765086;988457;-7.7763671875
1663765087;88424;1663765087;88447;1663765087;88378;-8.0029296875
1663765087;188755;1663765087;188777;1663765087;188711;-8.1806640625
1663765087;288762;1663765087;288783;1663765087;288717;-8.345703125
1663765087;388420;1663765087;388442;1663765087;388372;-8.375
1663765087;488774;1663765087;488797;1663765087;488727;-8.34765625
1663765087;588771;1663765087;588793;1663765087;588727;-8.3662109375
1663765087;688477;1663765087;688499;1663765087;688429;-8.5966796875
1663765087;788752;1663765087;788774;1663765087;788707;-8.853515625
1663765087;888544;1663765087;888566;1663765087;888500;-9.1103515625
1663765087;988389;1663765087;988411;1663765087;988344;-9.275390625
1663765088;88800;1663765088;88823;1663765088;88742;-9.2802734375
1663765088;188531;1663765088;188552;1663765088;188485;-9.2783203125
1663765088;288442;1663765088;288463;1663765088;288397;-9.2783203125
1663765088;388805;1663765088;388827;1663765088;388756;-9.2783203125
1663765088;488780;1663765088;488801;1663765088;488735;-9.2783203125
1663765088;588464;1663765088;588486;1663765088;588419;-9.2783203125
1663765088;688813;1663765088;688835;1663765088;688764;-9.279296875
1663765088;788575;1663765088;788597;1663765088;788526;-9.28125
1663765088;888537;1663765088;888559;1663765088;888489;-9.28515625
1663765088;988804;1663765088;988826;1663765088;988754;-9.28515625
1663765089;88571;1663765089;88593;1663765089;88526;-9.28515625
1663765089;188426;1663765089;188448;1663765089;188381;-9.28515625
1663765089;288834;1663765089;288856;1663765089;288785;-9.28515625
1663765089;388812;1663765089;388836;1663765089;388760;-9.28515625
1663765089;488486;1663765089;488508;1663765089;488437;-9.28515625
1663765089;588826;1663765089;588848;1663765089;588778;-9.28515625
1663765089;688823;1663765089;688845;1663765089;688779;-9.28515625
1663765089;788477;1663765089;788504;1663765089;788423;-9.28515625
1663765089;888799;1663765089;888821;1663765089;888755;-9.283203125
1663765089;988570;1663765089;988592;1663765089;988525;-9.2373046875
1663765090;88537;1663765090;88561;1663765090;88488;-9.158203125
1663765090;188828;1663765090;188851;1663765090;188781;-9.033203125
1663765090;288589;1663765090;288611;1663765090;288543;-8.8984375
1663765090;388451;1663765090;388474;1663765090;388403;-8.833984375
1663765090;488825;1663765090;488848;1663765090;488773;-8.7998046875
1663765090;588600;1663765090;588628;1663765090;588547;-8.720703125
1663765090;688536;1663765090;688558;1663765090;688488;-8.4013671875
1663765090;788850;1663765090;788878;1663765090;788800;-7.9453125
