sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;SteeringWhlAngle
1663764682;198550;1663764682;198571;1663764682;198506;-0.017578125
1663764682;398791;1663764682;398813;1663764682;398747;-0.017578125
1663764682;598395;1663764682;598417;1663764682;598348;-0.017578125
1663764682;798808;1663764682;798829;1663764682;798762;-0.017578125
1663764682;998830;1663764682;998852;1663764682;998782;-0.017578125
1663764683;198430;1663764683;198451;1663764683;198386;-0.017578125
1663764683;398582;1663764683;398604;1663764683;398538;-0.017578125
1663764683;598825;1663764683;598846;1663764683;598781;-0.017578125
1663764683;798480;1663764683;798502;1663764683;798424;-0.017578125
1663764683;998596;1663764683;998639;1663764683;998551;-0.0224609375
1663764684;198623;1663764684;198644;1663764684;198578;-0.03515625
1663764684;398461;1663764684;398484;1663764684;398414;-0.0283203125
1663764684;598598;1663764684;598622;1663764684;598549;-0.021484375
1663764684;798836;1663764684;798859;1663764684;798786;-0.021484375
1663764684;998436;1663764684;998457;1663764684;998392;-0.021484375
1663764685;198604;1663764685;198625;1663764685;198560;-0.021484375
1663764685;398865;1663764685;398886;1663764685;398821;-0.0205078125
1663764685;598477;1663764685;598498;1663764685;598433;-0.0205078125
1663764685;798632;1663764685;798653;1663764685;798588;-0.01953125
1663764685;998902;1663764685;998924;1663764685;998855;-0.0185546875
1663764686;198492;1663764686;198516;1663764686;198433;-0.01953125
1663764686;398642;1663764686;398664;1663764686;398597;-0.01953125
1663764686;598671;1663764686;598693;1663764686;598627;-0.01953125
1663764686;798557;1663764686;798579;1663764686;798508;-0.0185546875
1663764686;998668;1663764686;998690;1663764686;998620;-0.01953125
1663764687;198722;1663764687;198743;1663764687;198666;-0.01953125
1663764687;398502;1663764687;398524;1663764687;398458;-0.01953125
1663764687;598687;1663764687;598709;1663764687;598643;-0.0185546875
1663764687;798745;1663764687;798779;1663764687;798693;-0.0185546875
1663764687;998558;1663764687;998580;1663764687;998509;-0.0185546875
1663764688;198703;1663764688;198724;1663764688;198658;-0.01953125
1663764688;398956;1663764688;398977;1663764688;398911;-0.0205078125
1663764688;598550;1663764688;598571;1663764688;598505;-0.0205078125
1663764688;798983;1663764688;799005;1663764688;798935;-0.025390625
1663764688;998959;1663764688;998980;1663764688;998915;-0.0263671875
1663764689;198592;1663764689;198615;1663764689;198544;-0.0224609375
1663764689;398743;1663764689;398765;1663764689;398698;-0.0029296875
1663764689;598994;1663764689;599015;1663764689;598950;0.0078125
1663764689;798604;1663764689;798626;1663764689;798559;0.0087890625
1663764689;998769;1663764689;998791;1663764689;998720;0.0087890625
1663764690;198782;1663764690;198804;1663764690;198732;0.0078125
1663764690;398621;1663764690;398642;1663764690;398574;0.0078125
1663764690;598763;1663764690;598785;1663764690;598719;0.0087890625
1663764690;799004;1663764690;799026;1663764690;798960;0.0087890625
1663764690;998621;1663764690;998643;1663764690;998574;0.0078125
1663764691;198767;1663764691;198791;1663764691;198718;0.0087890625
1663764691;398778;1663764691;398800;1663764691;398735;0.01171875
1663764691;598671;1663764691;598693;1663764691;598623;0.0146484375
1663764691;798800;1663764691;798824;1663764691;798743;0.0146484375
1663764691;999053;1663764691;999074;1663764691;999009;0.015625
1663764692;198653;1663764692;198692;1663764692;198593;0.0224609375
1663764692;398825;1663764692;398847;1663764692;398777;0.046875
1663764692;598833;1663764692;598856;1663764692;598785;0.0478515625
1663764692;798698;1663764692;798720;1663764692;798649;0.048828125
1663764692;998809;1663764692;998830;1663764692;998765;0.0478515625
1663764693;198869;1663764693;198891;1663764693;198824;0.046875
1663764693;398672;1663764693;398694;1663764693;398627;0.0458984375
1663764693;598851;1663764693;598873;1663764693;598803;0.0458984375
1663764693;798861;1663764693;798882;1663764693;798817;0.0439453125
1663764693;998711;1663764693;998733;1663764693;998663;0.0419921875
1663764694;198862;1663764694;198901;1663764694;198803;0.041015625
1663764694;399097;1663764694;399119;1663764694;399053;0.029296875
1663764694;598696;1663764694;598717;1663764694;598650;0.029296875
1663764694;799116;1663764694;799138;1663764694;799068;0.029296875
1663764694;999119;1663764694;999140;1663764694;999075;0.033203125
1663764695;198746;1663764695;198768;1663764695;198697;0.033203125
1663764695;398898;1663764695;398920;1663764695;398850;0.033203125
1663764695;599136;1663764695;599157;1663764695;599092;0.033203125
1663764695;798752;1663764695;798774;1663764695;798708;0.03125
1663764695;998908;1663764695;998931;1663764695;998862;0.029296875
1663764696;198969;1663764696;199005;1663764696;198912;0.029296875
1663764696;398761;1663764696;398782;1663764696;398716;0.0888671875
1663764696;598921;1663764696;598943;1663764696;598875;0.2470703125
1663764696;799174;1663764696;799196;1663764696;799130;0.4443359375
1663764696;998794;1663764696;998816;1663764696;998745;0.58984375
1663764697;198954;1663764697;198976;1663764697;198906;0.6494140625
1663764697;399220;1663764697;399242;1663764697;399172;0.6494140625
1663764697;598807;1663764697;598829;1663764697;598758;0.6494140625
1663764697;799201;1663764697;799222;1663764697;799153;0.6494140625
1663764697;999202;1663764697;999224;1663764697;999153;0.6455078125
1663764698;198828;1663764698;198849;1663764698;198783;0.630859375
1663764698;398997;1663764698;399019;1663764698;398949;0.3681640625
1663764698;599213;1663764698;599235;1663764698;599158;0.14453125
1663764698;798851;1663764698;798873;1663764698;798806;0.1171875
1663764698;998996;1663764698;999018;1663764698;998948;0.080078125
1663764699;199230;1663764699;199259;1663764699;199186;0.060546875
1663764699;398834;1663764699;398856;1663764699;398790;0.001953125
1663764699;598999;1663764699;599021;1663764699;598955;-0.1533203125
1663764699;799268;1663764699;799289;1663764699;799223;-0.30859375
1663764699;998875;1663764699;998897;1663764699;998830;-0.4931640625
1663764700;199028;1663764700;199062;1663764700;198975;-0.6708984375
1663764700;399278;1663764700;399302;1663764700;399220;-0.71484375
1663764700;598894;1663764700;598915;1663764700;598846;-0.7138671875
1663764700;799247;1663764700;799269;1663764700;799203;-0.7080078125
1663764700;999287;1663764700;999309;1663764700;999242;-0.6806640625
1663764701;198902;1663764701;198924;1663764701;198854;-0.498046875
1663764701;399045;1663764701;399067;1663764701;399000;-0.19921875
1663764701;599290;1663764701;599311;1663764701;599246;-0.177734375
