sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;SteeringWhlAngle
1663764965;5716;1663764965;5753;1663764965;5671;-0.2275390625
1663764965;25704;1663764965;25728;1663764965;25656;-0.2275390625
1663764965;45529;1663764965;45550;1663764965;45484;-0.2275390625
1663764965;65269;1663764965;65291;1663764965;65223;-0.2275390625
1663764965;85503;1663764965;85526;1663764965;85457;-0.2275390625
1663764965;105491;1663764965;105513;1663764965;105446;-0.2275390625
1663764965;125641;1663764965;125662;1663764965;125596;-0.2275390625
1663764965;145248;1663764965;145270;1663764965;145199;-0.2275390625
1663764965;165519;1663764965;165541;1663764965;165471;-0.2275390625
1663764965;185529;1663764965;185551;1663764965;185480;-0.2275390625
1663764965;205406;1663764965;205428;1663764965;205358;-0.2275390625
1663764965;225716;1663764965;225755;1663764965;225672;-0.2275390625
1663764965;245480;1663764965;245501;1663764965;245436;-0.2275390625
1663764965;265505;1663764965;265526;1663764965;265460;-0.2275390625
1663764965;285342;1663764965;285366;1663764965;285292;-0.2275390625
1663764965;305728;1663764965;305772;1663764965;305681;-0.2275390625
1663764965;325725;1663764965;325768;1663764965;325675;-0.2275390625
1663764965;345492;1663764965;345513;1663764965;345446;-0.2275390625
1663764965;365461;1663764965;365491;1663764965;365408;-0.2265625
1663764965;385525;1663764965;385549;1663764965;385475;-0.2275390625
1663764965;405503;1663764965;405525;1663764965;405459;-0.2275390625
1663764965;425500;1663764965;425524;1663764965;425449;-0.2275390625
1663764965;445326;1663764965;445348;1663764965;445276;-0.2275390625
1663764965;465523;1663764965;465544;1663764965;465478;-0.2275390625
1663764965;485553;1663764965;485576;1663764965;485504;-0.228515625
1663764965;505318;1663764965;505340;1663764965;505273;-0.228515625
1663764965;525782;1663764965;525811;1663764965;525718;-0.2294921875
1663764965;545499;1663764965;545521;1663764965;545454;-0.2294921875
1663764965;565558;1663764965;565580;1663764965;565510;-0.2294921875
1663764965;585273;1663764965;585295;1663764965;585229;-0.23046875
1663764965;605801;1663764965;605827;1663764965;605738;-0.2314453125
1663764965;625704;1663764965;625727;1663764965;625660;-0.2314453125
1663764965;645517;1663764965;645550;1663764965;645461;-0.2314453125
1663764965;665361;1663764965;665384;1663764965;665312;-0.232421875
1663764965;685835;1663764965;685859;1663764965;685778;-0.232421875
1663764965;705492;1663764965;705514;1663764965;705444;-0.232421875
1663764965;725542;1663764965;725563;1663764965;725498;-0.232421875
1663764965;745265;1663764965;745287;1663764965;745219;-0.232421875
1663764965;765804;1663764965;765828;1663764965;765746;-0.232421875
1663764965;785525;1663764965;785547;1663764965;785481;-0.232421875
1663764965;805336;1663764965;805358;1663764965;805292;-0.232421875
1663764965;825688;1663764965;825710;1663764965;825644;-0.232421875
1663764965;845805;1663764965;845829;1663764965;845745;-0.232421875
1663764965;865540;1663764965;865578;1663764965;865489;-0.232421875
1663764965;885342;1663764965;885364;1663764965;885288;-0.232421875
1663764965;905742;1663764965;905781;1663764965;905684;-0.232421875
1663764965;925758;1663764965;925798;1663764965;925698;-0.232421875
1663764965;945483;1663764965;945504;1663764965;945439;-0.232421875
1663764965;965381;1663764965;965404;1663764965;965334;-0.232421875
1663764965;985528;1663764965;985550;1663764965;985479;-0.232421875
1663764966;5559;1663764966;5581;1663764966;5515;-0.232421875
1663764966;25495;1663764966;25517;1663764966;25450;-0.232421875
1663764966;45293;1663764966;45316;1663764966;45246;-0.232421875
1663764966;65517;1663764966;65539;1663764966;65473;-0.232421875
1663764966;85569;1663764966;85590;1663764966;85525;-0.232421875
1663764966;105337;1663764966;105359;1663764966;105289;-0.232421875
1663764966;125715;1663764966;125751;1663764966;125670;-0.232421875
1663764966;145504;1663764966;145529;1663764966;145450;-0.232421875
1663764966;165589;1663764966;165610;1663764966;165544;-0.232421875
1663764966;185297;1663764966;185319;1663764966;185250;-0.232421875
1663764966;205525;1663764966;205547;1663764966;205476;-0.232421875
1663764966;225756;1663764966;225795;1663764966;225696;-0.232421875
1663764966;245566;1663764966;245587;1663764966;245521;-0.232421875
1663764966;265370;1663764966;265392;1663764966;265326;-0.232421875
1663764966;285554;1663764966;285576;1663764966;285505;-0.232421875
1663764966;305519;1663764966;305540;1663764966;305473;-0.232421875
1663764966;325651;1663764966;325673;1663764966;325607;-0.232421875
1663764966;345236;1663764966;345258;1663764966;345192;-0.232421875
1663764966;365518;1663764966;365539;1663764966;365473;-0.232421875
1663764966;385542;1663764966;385564;1663764966;385498;-0.232421875
1663764966;405416;1663764966;405438;1663764966;405368;-0.232421875
1663764966;425651;1663764966;425672;1663764966;425607;-0.232421875
1663764966;445512;1663764966;445533;1663764966;445467;-0.232421875
1663764966;465539;1663764966;465561;1663764966;465495;-0.232421875
1663764966;485399;1663764966;485420;1663764966;485354;-0.232421875
1663764966;505548;1663764966;505570;1663764966;505504;-0.232421875
1663764966;525769;1663764966;525805;1663764966;525705;-0.232421875
1663764966;545530;1663764966;545552;1663764966;545481;-0.232421875
1663764966;565452;1663764966;565488;1663764966;565397;-0.232421875
1663764966;585548;1663764966;585586;1663764966;585486;-0.232421875
1663764966;605535;1663764966;605557;1663764966;605486;-0.232421875
1663764966;625556;1663764966;625578;1663764966;625511;-0.232421875
1663764966;645389;1663764966;645411;1663764966;645340;-0.232421875
1663764966;665538;1663764966;665560;1663764966;665494;-0.232421875
1663764966;685551;1663764966;685572;1663764966;685505;-0.232421875
1663764966;705344;1663764966;705366;1663764966;705296;-0.232421875
1663764966;725808;1663764966;725832;1663764966;725752;-0.232421875
1663764966;745494;1663764966;745517;1663764966;745446;-0.232421875
1663764966;765538;1663764966;765560;1663764966;765495;-0.232421875
1663764966;785331;1663764966;785353;1663764966;785282;-0.232421875
1663764966;805842;1663764966;805865;1663764966;805786;-0.232421875
1663764966;825773;1663764966;825806;1663764966;825711;-0.232421875
1663764966;845542;1663764966;845563;1663764966;845497;-0.232421875
1663764966;865384;1663764966;865408;1663764966;865336;-0.232421875
1663764966;885820;1663764966;885843;1663764966;885766;-0.232421875
1663764966;905541;1663764966;905562;1663764966;905492;-0.232421875
1663764966;925576;1663764966;925599;1663764966;925527;-0.232421875
1663764966;945316;1663764966;945338;1663764966;945268;-0.232421875
1663764966;965837;1663764966;965860;1663764966;965787;-0.232421875
1663764966;985553;1663764966;985574;1663764966;985507;-0.232421875
1663764967;5371;1663764967;5393;1663764967;5323;-0.232421875
1663764967;25731;1663764967;25777;1663764967;25680;-0.232421875
1663764967;45813;1663764967;45836;1663764967;45745;-0.232421875
1663764967;65559;1663764967;65582;1663764967;65510;-0.232421875
1663764967;85354;1663764967;85377;1663764967;85303;-0.232421875
1663764967;105800;1663764967;105827;1663764967;105739;-0.232421875
1663764967;125814;1663764967;125837;1663764967;125759;-0.232421875
1663764967;145592;1663764967;145615;1663764967;145543;-0.232421875
1663764967;165407;1663764967;165429;1663764967;165363;-0.232421875
1663764967;185557;1663764967;185578;1663764967;185513;-0.232421875
1663764967;205569;1663764967;205591;1663764967;205525;-0.2333984375
1663764967;225592;1663764967;225614;1663764967;225547;-0.232421875
1663764967;245304;1663764967;245326;1663764967;245256;-0.232421875
1663764967;265566;1663764967;265588;1663764967;265517;-0.232421875
1663764967;285623;1663764967;285645;1663764967;285579;-0.232421875
1663764967;305363;1663764967;305385;1663764967;305317;-0.232421875
1663764967;325785;1663764967;325816;1663764967;325720;-0.232421875
1663764967;345526;1663764967;345548;1663764967;345482;-0.232421875
1663764967;365590;1663764967;365612;1663764967;365546;-0.232421875
1663764967;385366;1663764967;385388;1663764967;385319;-0.232421875
1663764967;405806;1663764967;405830;1663764967;405746;-0.232421875
