lat;lon;speed;accel_lon;accel_trans;accel_down;ts
57.718728438;11.958359235;3.942282;-1.863572;0.234644;7.627146e-05;1646666922657917
57.718730822;11.958346712;4.276956;-1.686209;0.05633823;0.05411097;1646666922857922
57.718733397;11.958333151;4.592114;-1.611675;-0.07060713;0.3504193;1646666923057955
57.718736173;11.958318545;4.944392;-1.984638;0.1268287;0.2612286;1646666923257959
57.718739132;11.958302845;5.280834;-1.726004;0.3202634;0.0886918;1646666923458273
57.718742272;11.958286024;5.644084;-1.858456;0.055544;0.3484918;1646666923657990
57.718745614;11.958268034;6.003799;-1.79562;0.2675573;0.1449239;1646666923857934
57.718749116;11.958248886;6.350862;-1.469549;-0.004662339;0.2046447;1646666924057972
57.71875279;11.958228613;6.698823;-1.898555;0.1006899;0.06214791;1646666924257960
57.718756647;11.95820722;7.064171;-1.912629;0.2239483;0.162402;1646666924458239
57.718760668;11.95818464;7.418015;-1.78007;-0.07252393;0.1893362;1646666924657989
57.718764859;11.958160902;7.778936;-1.835458;-0.003821415;0.1052689;1646666924857959
57.71876925;11.95813597;8.155397;-1.97671;0.1241462;0.1385886;1646666925058008
57.718773849;11.958109824;8.530231;-2.015111;-0.05768356;0.09310029;1646666925257998
57.718778657;11.958082576;8.861605;-1.572734;0.01325699;-0.04337737;1646666925458387
57.718783629;11.958054296;9.135469;-0.6980222;0.07926785;-0.3242261;1646666925658052
57.718788664;11.958025389;9.291557;-1.220261;0.06763266;0.1927432;1646666925857979
57.718793783;11.957995831;9.48781;-0.7235661;0.2542528;0.3136953;1646666926058039
57.71879896;11.957965748;9.630466;-0.591599;-0.02452048;0.1736404;1646666926258045
57.718804199;11.957935232;9.770396;-0.8410749;0.1040708;-0.1739955;1646666926458334
57.718809507;11.957904176;9.954637;-1.127105;0.08639796;-0.1556063;1646666926658067
57.718814915;11.957872483;10.15915;-1.303348;-0.0275793;-0.2677332;1646666926858080
57.718820418;11.957840147;10.3424;-0.9657714;-0.07094428;-0.1855788;1646666927058018
57.718826004;11.95780719;10.54723;-1.208041;0.08973348;0.5368829;1646666927258057
57.71883168;11.95777353;10.75814;-1.178195;-0.2680406;-0.2738464;1646666927458343
57.718837422;11.957739177;10.95627;-0.6305044;0.320189;0.1552269;1646666927658042
57.718843159;11.957704161;11.13561;-1.108369;0.2948228;0.3221713;1646666927858071
57.718848774;11.957668538;11.22943;-0.3877984;0.9795697;0.4307368;1646666928058146
57.71885403;11.957632478;11.29578;-0.0389383;0.9472;-0.219663;1646666928258102
57.71885873;11.957596007;11.32409;-0.077756;1.750094;-0.1813933;1646666928458376
57.718862734;11.957559159;11.32797;0.008389166;1.427505;-0.2499074;1646666928658088
57.718866111;11.957522193;11.27561;0.2189655;1.109163;0.1986503;1646666928858104
57.718869052;11.957485261;11.22457;0.004999788;0.9632464;0.2847226;1646666929058126
57.718871769;11.957448441;11.15926;0.5719535;0.2964757;-0.3772738;1646666929258122
57.718874516;11.957411926;11.08158;0.3737933;0.09753428;0.0148477;1646666929458450
57.718877179;11.957375636;10.99532;0.4908475;-0.09686818;-0.3849635;1646666929658143
57.718879843;11.957339635;10.90486;0.5276598;-0.30845;0.05934198;1646666929858124
57.718882654;11.957303937;10.84649;0.2514299;-0.6960415;0.2206924;1646666930058145
57.718885703;11.957268468;10.80105;0.1540574;-0.7241213;0.02622877;1646666930258130
57.718888961;11.957233194;10.78465;-0.04216241;-0.8769897;0.3313386;1646666930458420
57.718892505;11.957198011;10.79487;-0.2111294;-0.8535914;-0.1142368;1646666930658231
57.718896404;11.957162884;10.82068;-0.337532;-1.049706;-0.09403955;1646666930858172
57.718900752;11.957127828;10.8531;-0.1400908;-1.571335;-0.04883364;1646666931058201
57.718905598;11.95709288;10.8942;-0.2433086;-1.20996;0.6648746;1646666931258212
57.718910746;11.957058031;10.92714;-0.143979;-1.025314;-0.1025674;1646666931458496
57.718916217;11.957023265;10.94021;-0.1350209;-0.3876499;0.01157615;1646666931658205
57.718921868;11.956988593;10.92602;0.08198791;-0.3681086;-0.197893;1646666931858193
57.718927589;11.956954031;10.89992;0.1454245;-0.3725508;-0.2128481;1646666932058211
57.718933325;11.956919587;10.8567;0.3245316;-0.07662906;-0.1628313;1646666932258223
57.718939001;11.956885261;10.80375;0.2214737;0.03681942;0.1996286;1646666932458499
57.718944662;11.956851128;10.74322;0.2467877;-0.01030625;0.01094381;1646666932658232
57.718950291;11.956817214;10.65235;0.3951581;-0.06835478;0.1988498;1646666932858238
57.718955846;11.956783654;10.51061;0.8195887;-0.1176312;-0.0683111;1646666933058279
57.718961292;11.95675061;10.31353;1.153027;0.11236;0.2232595;1646666933258327
57.718966688;11.956718306;10.04469;1.537621;0.0951938;-0.4456381;1646666933458584
