lat;lon;speed;accel_lon;accel_trans;accel_down;ts
57.719013683;11.957135051;13.39045;-0.785495;-0.3510016;-0.1948416;1646666950008871
57.719011884;11.957145734;13.45389;-1.314484;0.732635;0.4901112;1646666950058816
57.719010079;11.95715646;13.50068;-0.9842418;0.1649542;-0.001993993;1646666950108803
57.71900827;11.957167225;13.55;-0.9454157;0.1998643;0.3646104;1646666950158801
57.719006456;11.957178034;13.60174;-1.022101;0.2331086;0.3945822;1646666950208894
57.71900464;11.957188882;13.6473;-0.7001636;0.1559588;0.1171607;1646666950258790
57.71900282;11.957199753;13.67224;-0.3305021;-0.1107571;0.4250299;1646666950308809
57.719000997;11.957210641;13.69061;0.002485757;-0.159258;0.3695715;1646666950358831
57.718999174;11.957221534;13.6883;-0.0710384;0.01613296;0.3814232;1646666950408833
57.718997352;11.957232427;13.68398;-0.02211535;0.1133888;0.4049663;1646666950459104
57.718995533;11.957243319;13.68268;0.05036499;-0.03407244;0.4451208;1646666950508860
57.718993713;11.957254208;13.67739;0.07334612;-0.308449;0.2418984;1646666950558800
57.718991894;11.957265097;13.68222;-0.1334702;0.2106733;0.2301356;1646666950608817
57.718990073;11.957275988;13.68373;-0.08790558;0.08560639;-0.07089059;1646666950658849
57.718988251;11.957286881;13.68329;-0.09757721;-0.0424498;0.1332911;1646666950708861
57.71898643;11.957297771;13.67583;0.206114;0.04728957;-0.2199327;1646666950758842
57.71898461;11.957308657;13.67145;0.08190938;0.06389939;0.1227073;1646666950808923
57.718982791;11.957319539;13.66583;0.1202924;0.2837031;-0.3975444;1646666950858817
57.718980972;11.957330416;13.65958;0.2270642;0.4567517;0.2679967;1646666950908878
57.718979156;11.95734129;13.65203;0.2431392;-0.1294955;-0.3023848;1646666950958902
57.718977343;11.95735216;13.64439;0.1481423;-0.08203076;0.1418048;1646666951008951
57.718975532;11.957363022;13.63258;0.2865884;0.3441641;-0.1702277;1646666951058880
57.718973727;11.957373877;13.61853;0.1982616;0.3305037;-0.1328133;1646666951108856
57.718971927;11.957384723;13.6044;0.3366248;-0.1139285;-0.2839116;1646666951158925
57.718970132;11.957395562;13.59662;0.01797998;0.1869409;0.2979676;1646666951208918
57.718968341;11.957406401;13.58842;0.2218592;0.2131388;-0.07475552;1646666951258834
57.718966556;11.957417243;13.5814;-0.07954966;0.4365892;0.4742716;1646666951308835
57.718964778;11.957428084;13.57343;0.2596558;0.01437895;0.05666112;1646666951358860
57.718963009;11.957438922;13.56291;0.2942801;0.05721036;0.29105;1646666951408904
57.718961254;11.957449759;13.55288;0.3070581;0.3292309;0.01919898;1646666951459193
57.718959515;11.957460597;13.54705;-0.02816365;0.6769376;0.5523441;1646666951508865
57.718957796;11.95747144;13.5366;0.08097176;0.5776893;-0.1707375;1646666951558856
57.718956101;11.957482288;13.52502;0.2762143;0.6698383;-0.1044617;1646666951608860
57.718954436;11.957493142;13.5123;0.4461777;1.13991;-0.3055464;1646666951658838
57.718952807;11.957504006;13.49988;0.2761999;1.784077;-0.22486;1646666951708845
57.718951221;11.957514875;13.47703;0.3809584;1.884336;-0.6007557;1646666951758866
57.71894968;11.957525748;13.45268;0.4962;2.089432;-0.8720196;1646666951808909
57.718948185;11.957536622;13.4283;0.6994839;2.118413;-0.9727443;1646666951858898
57.718946737;11.957547496;13.40451;0.5038033;2.37415;-0.4582486;1646666951908855
57.718945332;11.95755837;13.3804;0.4221689;2.254095;-0.3157872;1646666951958843
57.71894397;11.957569239;13.35214;0.2899459;1.458502;0.1547613;1646666952008921
57.718942645;11.957580101;13.32037;0.4288636;1.72013;0.07610659;1646666952058849
57.718941355;11.957590952;13.29034;0.4822053;1.405828;-0.1765806;1646666952108851
57.718940095;11.957601791;13.26302;0.5650481;0.659507;-0.1529499;1646666952158920
57.718938863;11.957612622;13.24695;0.2525744;1.363794;0.5521352;1646666952208962
57.718937653;11.957623446;13.22585;0.3745633;1.132158;0.4962228;1646666952258901
57.718936466;11.95763426;13.20402;0.4870186;0.9425918;0.357987;1646666952308916
57.718935299;11.957645061;13.18272;0.298706;0.8334482;0.2992429;1646666952358922
57.718934151;11.957655851;13.15765;0.4359286;0.8228516;-0.2270598;1646666952408826
57.718933019;11.957666628;13.13718;0.396865;0.9666399;0.005378402;1646666952459165
57.7189319;11.957677393;13.11787;0.5256044;0.1498566;0.02242941;1646666952508921
57.718930791;11.957688146;13.09782;0.4272562;0.09907289;-0.07265823;1646666952558895
57.718929691;11.957698883;13.07638;0.2106564;0.4459927;0.02463271;1646666952608887
57.718928601;11.957709604;13.0531;0.4290429;0.744031;0.2465469;1646666952658893
57.718927522;11.957720311;13.03086;0.4777369;0.2365778;-0.1037177;1646666952708881
57.71892645;11.957731003;13.01017;0.4486939;0.1211402;-0.29919;1646666952758907
57.718925387;11.957741679;12.98631;0.5621889;0.4173118;-0.1438683;1646666952808970
57.718924332;11.957752338;12.96317;0.4836095;0.2539774;-0.3187573;1646666952858875
57.718923286;11.957762979;12.93889;0.3170871;-0.2109835;-0.1655916;1646666952908889
57.718922247;11.957773602;12.91344;0.2762958;0.3129256;-0.08537263;1646666952958908
57.718921213;11.957784206;12.89142;0.1225779;0.3697335;0.5699169;1646666953008969
57.718920179;11.957794793;12.86936;0.4314519;0.1869427;0.1853722;1646666953058913
57.718919146;11.957805365;12.85062;0.4904907;0.06401408;0.1750238;1646666953108925
57.718918114;11.95781592;12.83331;0.4412946;0.01109709;0.5747815;1646666953158941
57.718917078;11.957826456;12.81089;0.5399074;-0.7082291;-0.3051939;1646666953208985
57.718916033;11.957836972;12.79198;-0.06588342;0.09770193;0.2513668;1646666953258922
57.718914973;11.957847457;12.7749;0.6756884;-0.4439678;0.04037005;1646666953309002
57.718913899;11.957857922;12.75589;0.2453414;-0.7117404;0.9043148;1646666953358941
57.718912813;11.957868368;12.74004;0.1158905;-0.4153858;-0.6044112;1646666953408913
57.718911714;11.957878792;12.71236;0.3136646;-0.9063592;-0.03834555;1646666953459296
57.718910599;11.957889193;12.69449;0.484558;-1.368951;-0.05659409;1646666953508966
57.718909462;11.957899569;12.67759;0.5123233;-0.9518083;-0.05089558;1646666953558959
57.718908301;11.957909925;12.66866;0.1089462;-0.3622881;0.9462222;1646666953608974
57.718907118;11.957920261;12.65009;0.5806346;-1.009792;0.1018271;1646666953658938
57.718905912;11.957930575;12.63615;0.4209549;-0.6736791;-0.01039875;1646666953708924
57.718904688;11.957940871;12.62461;0.462229;-0.9970529;0.1946814;1646666953758960
57.71890344;11.957951146;12.61407;0.09079491;-1.143378;-0.07724229;1646666953808997
57.718902166;11.957961396;12.58971;0.5246468;-1.367848;-0.6718704;1646666953858899
57.718900871;11.957971623;12.57871;0.2648842;-1.235204;-0.3616554;1646666953908940
57.718899552;11.957981821;12.55214;0.5128394;-1.265739;-0.5985169;1646666953958929
57.718898206;11.957991987;12.53113;0.07930235;-0.9003193;-0.524772;1646666954008960
57.718896833;11.958002121;12.50557;0.3909679;-0.9735457;-0.486937;1646666954058909
57.718895436;11.958012222;12.47718;1.10054;-1.389071;-0.8641579;1646666954108942
57.718894015;11.958022292;12.46357;0.1959853;-1.314175;0.301148;1646666954158995
57.718892563;11.958032331;12.44263;0.7749124;-1.631997;0.4086304;1646666954209004
57.718891081;11.958042333;12.43183;0.2020637;-1.478542;0.5100143;1646666954258951
57.718889589;11.958052292;12.41428;0.3799624;-1.182272;-0.3187464;1646666954308930
57.718888076;11.958062226;12.39818;0.3442072;-0.849823;-0.08780092;1646666954358951
57.718886543;11.958072131;12.37479;0.4845029;-0.9201491;-0.8600649;1646666954408957
57.718884991;11.958082007;12.35255;0.5206163;-0.4497629;-0.6148976;1646666954459234
57.718883429;11.958091858;12.33308;0.2081172;-0.1556235;0.1939811;1646666954508966
57.718881856;11.958101684;12.30554;0.746219;-0.90958;-0.496524;1646666954558925
57.718880277;11.958111487;12.28627;0.2438027;0.09034203;0.242793;1646666954608938
57.718878695;11.958121271;12.26465;0.8071504;-0.5923582;0.3209971;1646666954658964
57.718877113;11.958131038;12.24321;0.4864722;-0.2544298;-0.03121956;1646666954708945
57.71887553;11.958140784;12.22081;0.4463473;-0.1741173;0.5717154;1646666954758957
57.718873946;11.958150507;12.18954;0.6947788;-0.2396712;-0.5384361;1646666954809046
57.718872365;11.958160203;12.15592;0.4989207;-0.2594447;0.4194575;1646666954858972
57.718870786;11.958169867;12.10927;0.7823538;-0.003885965;-0.09160455;1646666954908962
57.71886921;11.958179489;12.0516;1.422779;-0.6764403;-0.4685137;1646666954958941
57.718867635;11.958189057;11.98917;1.329347;0.2420578;0.2300177;1646666955009027
57.718866064;11.95819857;11.9212;1.505749;-0.4175131;-0.1321108;1646666955059010
57.718864499;11.958208023;11.84434;1.856878;-0.2821913;0.326395;1646666955108985
57.718862936;11.958217411;11.77112;0.9958271;0.3005841;0.04549918;1646666955159038
57.718861376;11.958226736;11.69211;1.816208;-0.6496831;-0.4472521;1646666955209022
57.718859827;11.958235998;11.61814;1.616927;-0.03185305;0.2947639;1646666955258981
57.718858304;11.958245204;11.5417;1.345027;-0.3655466;-0.03267064;1646666955309042
57.718856789;11.958254343;11.45809;1.319255;-0.5374747;-0.06648051;1646666955358967
57.718855277;11.958263411;11.3673;2.033323;0.09474953;-0.02767415;1646666955408955
57.718853775;11.958272405;11.28186;1.72512;0.3108919;0.3261338;1646666955459378
57.718852282;11.958281324;11.18351;2.000463;-0.2262919;-0.5420752;1646666955509003
57.718850802;11.958290163;11.08348;1.51625;-0.2700208;0.09034677;1646666955558967
57.718849331;11.958298923;10.98311;2.179683;-0.2395663;-0.3959917;1646666955609016
57.718847869;11.958307599;10.88709;1.66458;-0.161451;0.05694415;1646666955659009
57.71884642;11.958316198;10.78796;2.090946;-0.1087735;0.09780125;1646666955709003
57.718844983;11.958324717;10.68632;1.974969;0.1857537;0.7383915;1646666955758956
57.718843556;11.958333154;10.58311;2.368371;-0.4634852;-0.03856385;1646666955809040
57.718842137;11.958341504;10.48022;2.053451;0.02386833;0.3635075;1646666955859010
57.718840729;11.958349769;10.37459;2.285134;0.08316091;0.2101275;1646666955909007
57.718839337;11.958357946;10.25349;2.623794;-0.04105023;-0.4305944;1646666955958992
57.71883796;11.958366026;10.13653;2.312807;-0.007398567;0.05762275;1646666956009120
57.718836596;11.958374005;10.00621;2.865543;-0.5278807;-0.3423038;1646666956059094
57.718835242;11.95838188;9.882109;2.510422;0.2490798;-0.2341765;1646666956109042
57.718833906;11.958389653;9.755158;2.672114;0.2744112;0.3024938;1646666956159024
57.718832591;11.958397323;9.621197;2.501395;0.1524488;-0.0665844;1646666956209133
57.71883129;11.95840489;9.491866;2.452235;-0.2511681;0.3452843;1646666956259097
57.718829996;11.958412349;9.360614;2.584947;-0.3826478;-0.1459626;1646666956309013
57.718828714;11.958419701;9.23136;2.542;0.3578534;0.0849212;1646666956359015
57.71882745;11.95842695;9.104443;2.679125;0.1396307;-0.07565366;1646666956409009
57.718826206;11.958434097;8.9706;2.868597;-0.0353642;-0.1541801;1646666956459295
57.718824979;11.958441138;8.838707;2.696146;0.1354047;-0.4550533;1646666956509062
57.718823763;11.958448067;8.705316;2.5602;-0.1097435;-0.01127753;1646666956559027
57.718822557;11.958454888;8.574043;2.624804;-0.1272425;-0.2583626;1646666956609033
57.718821365;11.958461602;8.442074;2.672113;0.1362646;-0.3583239;1646666956659040
57.718820195;11.95846821;8.304096;2.706623;-0.36207;-0.3776267;1646666956708998
57.718819041;11.958474708;8.169538;2.64908;-0.5064734;-0.2707847;1646666956759037
57.718817899;11.958481094;8.032921;2.985303;-0.4014725;0.1561469;1646666956809105
57.718816766;11.958487368;7.901823;2.644229;-0.3209807;0.01415059;1646666956859014
57.718815645;11.958493526;7.756867;3.024394;-0.2903613;-0.9273314;1646666956909085
57.718814541;11.958499571;7.622392;2.763921;-0.1650776;-0.6464877;1646666956959014
57.718813454;11.958505506;7.482713;2.618166;0.01361053;-0.3266733;1646666957009059
57.718812383;11.958511325;7.338887;2.715734;-0.4842826;-0.5346867;1646666957059036
57.718811323;11.958517027;7.198768;2.651256;-0.6286358;0.01431647;1646666957109046
57.718810272;11.958522609;7.05793;2.85266;-0.5294105;0.06772175;1646666957159147
57.71880923;11.958528074;6.919537;3.013784;-0.2595649;0.1786471;1646666957209096
57.718808198;11.958533419;6.78424;2.750879;-0.1738021;0.08764468;1646666957259080
57.718807177;11.95853864;6.644409;2.76007;-0.2063666;-0.2781205;1646666957309106
57.718806172;11.958543746;6.502186;2.68394;-0.02531078;-0.2235464;1646666957359091
57.718805184;11.958548736;6.357006;2.983078;-0.6927944;-0.38006;1646666957409080
57.718804205;11.958553606;6.216941;2.769379;-0.4210257;0.04282679;1646666957459377
