lat;lon;speed;accel_lon;accel_trans;accel_down;ts
57.719109538;11.956746655;2.088407;0.06131896;0.1286573;0.05734864;1646666514094183
57.719109221;11.956748074;2.087893;0.08340707;0.01355295;-0.1530831;1646666514144214
57.719108901;11.956749493;2.090816;-0.1392766;-0.003907872;0.219621;1646666514194207
57.719108585;11.956750931;2.090778;0.145308;-0.2304761;-0.2508981;1646666514244205
57.719108285;11.956752415;2.093088;-0.148522;-0.2277722;0.2097764;1646666514294208
57.71910798;11.956753894;2.092443;0.06511869;-0.2105584;-0.1793406;1646666514344181
57.719107668;11.95675537;2.093413;-0.1091797;-0.1800855;-0.01738769;1646666514394194
57.719107352;11.956756843;2.093285;-0.03897453;-0.08897644;-0.007992587;1646666514444502
57.719107034;11.956758315;2.093752;-0.05994704;-0.06651856;-0.08026904;1646666514494233
57.719106716;11.956759789;2.096082;-0.1317126;-0.005979026;0.1147263;1646666514544223
57.719106399;11.956761265;2.095423;0.1012441;-0.04081476;-0.0927132;1646666514594189
57.719106082;11.956762741;2.091981;0.08110554;0.186632;0.273443;1646666514644190
57.71910577;11.95676421;2.067598;0.5290145;0.04270235;-0.2501297;1646666514694165
57.719105465;11.956765663;2.044462;0.3550538;0.03042212;0.02777539;1646666514744217
57.719105168;11.9567671;2.019221;0.4768144;0.05609368;-0.1438137;1646666514794252
57.719104877;11.956768519;1.991388;0.5489024;0.02834495;0.03388489;1646666514844239
57.719104595;11.956769918;1.95648;0.6981403;0.05901891;-0.1532383;1646666514894206
57.719104322;11.956771292;1.921919;0.6311905;0.0296051;-0.02120559;1646666514944241
57.719104058;11.956772643;1.888833;0.6005422;0.04782934;0.02319835;1646666514994275
57.7191038;11.95677397;1.854899;0.6717847;-0.05187803;-0.01445213;1646666515044259
57.719103546;11.95677527;1.821835;0.5544919;-0.04586754;0.02133071;1646666515094237
57.719103296;11.956776544;1.789395;0.6781369;-0.04073917;-0.04055463;1646666515144264
57.719103052;11.956777795;1.759091;0.5063926;0.07118817;0.1563979;1646666515194296
57.719102814;11.956779028;1.7249;0.7704819;-0.05117646;-0.09895851;1646666515244234
57.719102584;11.956780246;1.689342;0.673102;-0.01722974;0.007337011;1646666515294257
57.71910236;11.956781434;1.64844;0.9459237;-0.02156643;-0.161878;1646666515344219
57.719102142;11.95678259;1.606869;0.8162649;-0.0581309;0.008819021;1646666515394233
57.719101931;11.956783711;1.556482;1.111519;-0.03993508;-0.1020914;1646666515444572
57.719101727;11.956784791;1.503347;1.061659;-0.03912821;0.1111357;1646666515494219
57.719101533;11.956785828;1.444331;1.24407;0.1044698;-0.07941292;1646666515544240
57.71910135;11.956786819;1.384591;1.169509;0.0347684;-0.04190549;1646666515594237
57.719101177;11.956787765;1.324645;1.202969;0.1025042;-0.1047747;1646666515644286
57.719101015;11.956788666;1.266733;1.079815;0.04165788;-0.04747594;1646666515694233
57.719100863;11.956789524;1.209918;1.104265;-0.01185152;-0.01589951;1646666515744235
57.719100721;11.956790339;1.153272;1.106554;-0.03660496;-0.1079465;1646666515794313
57.719100589;11.956791111;1.098941;1.070944;-0.02893928;0.05942674;1646666515844263
57.719100465;11.956791841;1.044842;1.059976;-0.003278721;-0.07008629;1646666515894258
57.719100349;11.95679253;0.9923336;0.98248;0.009890136;-0.03281327;1646666515944274
57.719100243;11.956793179;0.940134;1.089859;0.007797949;-0.1300658;1646666515994288
57.719100145;11.956793789;0.8904436;0.9236688;0.05790119;0.06167598;1646666516044225
57.719100055;11.956794361;0.8403056;1.073932;0.04451221;-0.1869138;1646666516094226
57.719099975;11.956794896;0.7919362;0.8967263;-0.001790491;0.04986788;1646666516144263
57.719099903;11.956795393;0.7416577;1.103801;0.01908026;-0.2234621;1646666516194301
57.719099833;11.956795849;0.6933005;0.9095359;0.06107047;0.05972599;1646666516244262
57.719099757;11.956796259;0.6440616;1.010124;0.01865284;-0.1496673;1646666516294261
57.719099688;11.956796631;0.5973974;0.8467861;0.01245797;0.08088408;1646666516344251
57.719099628;11.956796967;0.5484313;1.021446;0.00617583;-0.1304496;1646666516394257
57.719099576;11.956797266;0.5012528;0.8130459;-0.03538229;0.03714022;1646666516444545
57.719099531;11.956797529;0.4528352;1.016865;0.002136744;-0.09613695;1646666516494317
57.719099495;11.956797755;0.4054613;0.9104341;-0.001147401;0.02027913;1646666516544268
57.719099468;11.956797945;0.3564742;1.021098;0.04368196;-0.1174821;1646666516594273
57.719099448;11.956798097;0.3078165;0.9218492;0.01733036;-0.04087657;1646666516644248
57.719099438;11.956798212;0.2582804;1.048969;0.03938579;-0.07968293;1646666516694281
57.719099436;11.956798288;0.2072563;0.9697628;-0.008281272;-0.01953975;1646666516744275
57.719099442;11.956798325;0.1554878;1.06686;0.06512021;-0.04151781;1646666516794354
57.719099459;11.956798322;0.09927257;1.11456;-0.06503112;-0.08862809;1646666516844279
57.719099484;11.956798274;0.03991055;1.324534;0.03367625;0.04627203;1646666516894242
57.71909952;11.956798181;0.01337713;0.778432;-0.04361224;-0.07960783;1646666516944270
57.719099561;11.956798062;0.02716591;-0.1091341;0.1132366;0.2468737;1646666516994394
57.719099602;11.956797945;0.01112512;-0.3788656;-0.0959077;-0.2377981;1646666517044330
57.719099638;11.956797852;0.03039534;-1.018257;0.1253897;0.3217371;1646666517094279
57.719099668;11.956797788;0.06204804;-0.3744595;-0.0879306;-0.3348696;1646666517144342
57.719099693;11.956797745;0.07924964;-0.3785654;0.1278805;0.1968608;1646666517194291
57.719099715;11.956797703;0.06872245;0.5158511;-0.1392283;-0.4983402;1646666517244279
57.719099733;11.956797644;0.05151336;0.1618018;0.1581132;0.3493116;1646666517294282
57.719099754;11.95679757;0.03047618;0.5413827;-0.09962067;-0.2578921;1646666517344273
57.719099777;11.956797488;0.03128453;-0.3031244;0.1981549;0.519284;1646666517394310
57.7190998;11.956797408;0.03276786;0.1569273;-0.1044716;-0.3436736;1646666517444640
57.719099821;11.956797336;0.04872069;-0.482462;0.1687124;0.389264;1646666517494332
57.71909984;11.956797271;0.049257;0.2831967;-0.1083453;-0.5221012;1646666517544294
57.71909986;11.956797208;0.05258315;-0.2419071;0.08590758;0.3397545;1646666517594330
57.719099879;11.956797143;0.04454982;0.3386744;-0.1449206;-0.3872449;1646666517644288
57.719099899;11.956797077;0.04687968;-0.2692578;-0.01952358;0.3623151;1646666517694292
57.719099919;11.956797011;0.04476383;0.2098516;-0.1152542;-0.2632657;1646666517744302
57.719099939;11.956796947;0.04953718;-0.2401057;-0.1200108;0.1872835;1646666517794340
57.719099958;11.956796884;0.04765718;0.1051557;-0.08310348;-0.1443021;1646666517844303
57.719099978;11.956796821;0.04764216;-0.1186421;-0.154268;-0.001488113;1646666517894298
57.719099997;11.956796759;0.04851712;-0.03038009;0.04430436;0.07696728;1646666517944282
57.719100016;11.956796699;0.05029045;-0.04246534;-0.1689221;-0.1435215;1646666517994360
57.719100035;11.956796641;0.05352097;-0.07364005;0.1005982;0.27347;1646666518044305
57.719100053;11.956796584;0.05038051;0.2243012;-0.104796;-0.3549671;1646666518094301
57.719100072;11.956796527;0.05348274;-0.3312092;0.2186595;0.5722069;1646666518144324
57.719100091;11.956796469;0.0470084;0.3700637;-0.1233599;-0.5543697;1646666518194371
57.719100105;11.956796415;0.0527787;-0.3658663;-0.005452402;0.3401095;1646666518244318
57.719100109;11.956796371;0.05256929;0.0664384;-0.03465519;-0.1623444;1646666518294358
57.719100114;11.956796328;0.05475674;-0.188081;-0.2272738;-0.04081212;1646666518344338
57.719100118;11.956796286;0.05540806;-0.0245822;-0.01216428;0.02648559;1646666518394313
57.719100121;11.956796245;0.05514852;-0.05342438;-0.2410717;-0.03151546;1646666518444603
57.719100125;11.956796205;0.05523619;0.04057037;-0.03563838;-0.0234073;1646666518494340
57.719100129;11.956796165;0.05653387;-0.1293024;-0.1722922;0.08107546;1646666518544356
57.719100132;11.956796126;0.05544423;0.06441511;-0.02240339;-0.0535928;1646666518594371
57.719100136;11.956796086;0.05651958;-0.1431828;-0.1659975;0.05578633;1646666518644342
57.71910014;11.956796047;0.05457722;0.0356703;-8.689436e-05;-0.08196524;1646666518694297
57.719100143;11.956796007;0.05604488;-0.06972075;-0.1338476;0.006688787;1646666518744358
57.719100147;11.95679597;0.0572091;-0.04155829;0.03516063;0.08460449;1646666518794371
57.71910015;11.956795933;0.05659505;0.0276654;-0.1317119;-0.16898;1646666518844339
57.719100153;11.956795897;0.05824088;-0.1079159;0.09018183;0.2101101;1646666518894349
57.719100156;11.956795861;0.05704758;0.07630423;-0.09393783;-0.2439135;1646666518944348
57.71910016;11.956795826;0.06029549;-0.1728565;0.1538184;0.2842607;1646666518994314
57.719100162;11.956795792;0.05936089;0.1264514;-0.09541204;-0.288981;1646666519044332
57.719100165;11.95679576;0.06252331;-0.1804853;0.09392147;0.2464453;1646666519094328
57.719100167;11.956795729;0.06219371;0.08037247;-0.04932515;-0.2017352;1646666519144417
57.719100169;11.9567957;0.06424144;-0.1219621;0.05804891;0.1623104;1646666519194398
57.719100175;11.956795663;0.06250134;0.1089815;-0.02529942;-0.1858043;1646666519244343
57.719100188;11.956795604;0.06257413;-0.09396169;0.03475109;0.1334039;1646666519294391
57.7191002;11.956795546;0.06248677;0.03780705;-0.03188939;-0.1531426;1646666519344321
57.719100212;11.956795489;0.06671114;-0.1252996;0.01371556;0.1056149;1646666519394349
57.719100224;11.956795435;0.06659252;0.01798225;-0.01868391;-0.05741386;1646666519444628
57.719100235;11.956795382;0.06788563;-0.08403544;0.0467396;0.06408729;1646666519494349
57.719100247;11.95679533;0.06572252;0.08234509;-0.009658285;-0.04531156;1646666519544408
57.719100258;11.956795278;0.06734883;-0.06707475;0.02139279;0.08161312;1646666519594373
57.719100269;11.956795226;0.0661127;0.04251676;-0.04063812;-0.06366553;1646666519644390
57.719100281;11.956795175;0.06759019;-0.09097606;0.02448413;0.07852064;1646666519694400
57.719100292;11.956795126;0.066576;0.06104918;-0.0208041;-0.09937589;1646666519744373
57.719100302;11.956795077;0.06866898;-0.09668529;0.0200067;0.1016723;1646666519794415
57.719100313;11.956795029;0.06846052;0.05814448;0.004001133;-0.08232731;1646666519844387
57.719100323;11.956794982;0.06960259;-0.07812271;0.03555079;0.05369912;1646666519894351
57.719100333;11.956794936;0.06968694;0.03704808;0.01356778;-0.007764441;1646666519944400
57.719100344;11.956794891;0.06980743;-0.05406785;-0.002046847;-0.0103204;1646666519994438
57.719100354;11.956794847;0.06958403;-0.01958477;0.02132111;0.03013508;1646666520044414
57.719100364;11.956794803;0.06951333;0.009780284;-0.03293634;-0.09113921;1646666520094397
57.719100374;11.956794759;0.07056404;-0.1108474;0.02139611;0.1108191;1646666520144457
57.719100383;11.956794717;0.07020177;0.05054988;-0.06975689;-0.1461744;1646666520194492
57.719100395;11.956794674;0.07189298;-0.09568483;0.0204684;0.1053409;1646666520244386
57.719100409;11.956794624;0.07111672;0.05460247;-0.02902805;-0.05347673;1646666520294464
57.719100422;11.956794573;0.07237322;-0.05345851;-0.0128821;0.00611057;1646666520344410
57.719100436;11.956794524;0.07210229;-0.008274655;0.02538584;0.05317133;1646666520394397
57.719100449;11.956794475;0.07119903;0.05053238;-0.02501459;-0.06375728;1646666520444620
57.719100463;11.956794426;0.07225581;-0.08374015;0.06128738;0.1431964;1646666520494414
57.719100476;11.956794379;0.07151874;0.05647166;-0.04172372;-0.1420795;1646666520544409
57.719100489;11.956794332;0.0725041;-0.1064782;0.02963464;0.0843062;1646666520594432
57.719100502;11.956794286;0.07233679;0.01724334;-0.008084622;-0.03576929;1646666520644413
57.719100515;11.956794241;0.0726665;-0.002335837;-0.002768758;-0.03559876;1646666520694378
57.719100528;11.956794197;0.07362184;-0.07695463;0.03589103;0.08078344;1646666520744432
57.71910054;11.956794153;0.07241478;0.05931265;-0.03650334;-0.1270056;1646666520794467
57.719100552;11.95679411;0.07360803;-0.09800772;0.0390421;0.1669853;1646666520844439
57.719100564;11.956794068;0.07270726;0.07267165;-0.04267434;-0.1060502;1646666520894424
57.719100577;11.956794027;0.07435331;-0.09718266;-0.005813925;0.04297959;1646666520944399
57.719100588;11.956793986;0.0741255;0.0161064;-0.03210196;-0.006050759;1646666520994472
57.7191006;11.956793947;0.07431782;0.01610039;-0.02467125;-0.06046391;1646666521044443
57.719100612;11.956793908;0.07485807;-0.09281051;0.01727097;0.1311229;1646666521094414
57.719100623;11.95679387;0.07432705;0.08643664;-0.04325549;-0.1428953;1646666521144498
57.719100634;11.956793833;0.07549161;-0.09726843;0.05416523;0.1260578;1646666521194514
57.719100647;11.956793796;0.07428582;0.06705628;-0.01202815;-0.05525239;1646666521244475
57.71910066;11.956793755;0.07522611;-0.050042;0.02059334;-0.005339018;1646666521294437
57.719100673;11.956793716;0.07569964;-0.03111417;0.06173041;0.06227486;1646666521344473
57.719100685;11.956793676;0.07525381;0.01994987;-0.006686016;-0.05527714;1646666521394440
57.719100698;11.956793638;0.07647284;-0.09844151;0.04997;0.07894035;1646666521444728
57.719100711;11.9567936;0.07549818;0.04754409;-0.05675809;-0.1478664;1646666521494453
57.719100723;11.956793563;0.07693718;-0.1020475;0.03189593;0.1433583;1646666521544453
57.719100735;11.956793527;0.07599953;0.06500627;-0.06272507;-0.1083624;1646666521594492
57.719100747;11.956793492;0.07697786;-0.0767023;-0.01565846;0.04431896;1646666521644487
57.719100759;11.956793457;0.07662906;0.01913957;0.0006701953;0.0164255;1646666521694402
57.71910077;11.956793422;0.07658394;-0.01879999;-0.0314095;-0.06426899;1646666521744417
57.719100782;11.956793389;0.07759546;-0.06110705;0.02907491;0.06193336;1646666521794476
57.719100793;11.956793356;0.0766678;0.0404538;-0.01495456;-0.08088922;1646666521844440
57.719100805;11.956793325;0.07827315;-0.09730991;0.06899303;0.1491007;1646666521894426
57.719100816;11.956793293;0.07721337;0.04528005;-0.02524269;-0.1190261;1646666521944447
57.719100827;11.956793263;0.07805344;-0.1039451;0.03991327;0.1008463;1646666521994544
57.719100838;11.956793233;0.07755086;0.04570607;0.00246951;-0.06831988;1646666522044508
57.719100849;11.956793204;0.0785941;-0.06184971;0.02944657;0.004916103;1646666522094459
57.719100859;11.956793176;0.07834123;0.005771695;-0.003553406;0.008590776;1646666522144491
57.719100869;11.956793148;0.07828306;0.01357934;-0.02580132;-0.04499391;1646666522194537
57.71910088;11.956793121;0.07915171;-0.04605683;0.02034112;0.06445412;1646666522244455
57.719100889;11.956793089;0.07850518;0.04775773;-0.05173906;-0.1176952;1646666522294431
57.719100898;11.956793059;0.07968489;-0.104252;0.03946143;0.1453643;1646666522344442
57.719100906;11.956793029;0.07887825;0.07585192;-0.04222809;-0.1304112;1646666522394457
57.719100915;11.956792999;0.08032791;-0.07739739;0.03076578;0.1069711;1646666522444707
57.719100923;11.956792971;0.07963821;0.04601157;-0.0003613132;-0.02462226;1646666522494610
57.719100931;11.956792943;0.07990691;-0.04396778;0.02027644;0.02278639;1646666522544527
