sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;IMULatAcceleration;IMULgtAcceleration;IMUVerAcceleration;ts;sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;SteeringWhlAngle
1584853141;44198;1584853141;44222;1584853141;44154;-0.2805;-0.2125;9.7495;1584853141044154;1584853141;28580;1584853141;28619;1584853141;25862;0.0458984375
1584853141;144374;1584853141;144417;1584853141;144304;-0.306;-0.3145;9.8345;1584853141144304;1584853141;130047;1584853141;130086;1584853141;125534;0.044921875
1584853141;250932;1584853141;250970;1584853141;244475;-0.2465;-0.2465;9.809;1584853141244475;1584853141;240774;1584853141;240798;1584853141;225935;0.041015625
1584853141;344649;1584853141;344681;1584853141;344147;-0.2635;-0.1785;9.5965;1584853141344147;1584853141;330220;1584853141;330248;1584853141;325874;0.0390625
1584853141;444695;1584853141;444727;1584853141;444323;-0.1615;-0.2465;9.6985;1584853141444323;1584853141;427078;1584853141;427127;1584853141;425525;0.0361328125
1584853141;544551;1584853141;544593;1584853141;544489;-0.3825;-0.2805;9.8515;1584853141544489;1584853141;530237;1584853141;530277;1584853141;525917;0.0322265625
1584853141;644228;1584853141;644273;1584853141;644156;-0.3655;-0.3315;9.724;1584853141644156;1584853141;627564;1584853141;627586;1584853141;625863;0.0244140625
1584853141;746404;1584853141;746488;1584853141;744320;-0.3995;-0.1955;9.6135;1584853141744320;1584853141;737847;1584853141;737920;1584853141;725555;0.01171875
1584853141;846737;1584853141;846772;1584853141;844467;-0.4335;-0.2295;9.6135;1584853141844467;1584853141;837794;1584853141;837817;1584853141;825728;-0.0009765625
1584853141;944215;1584853141;944241;1584853141;944169;-0.3145;-0.3485;9.6305;1584853141944169;1584853141;930786;1584853141;930809;1584853141;925884;-0.0078125
1584853142;44395;1584853142;44447;1584853142;44320;-0.5185;-0.2635;9.6815;1584853142044320;1584853142;29118;1584853142;29155;1584853142;25519;-0.0205078125
1584853142;144615;1584853142;144667;1584853142;144482;-0.3145;-0.2805;9.6985;1584853142144482;1584853142;131306;1584853142;131329;1584853142;125956;-0.041015625
1584853142;244209;1584853142;244246;1584853142;244152;-0.6205;-0.3655;9.724;1584853142244152;1584853142;226223;1584853142;226245;1584853142;225895;-0.0732421875
1584853142;344488;1584853142;344534;1584853142;344353;-0.612;-0.391;9.7495;1584853142344353;1584853142;327970;1584853142;327993;1584853142;325537;-0.1083984375
1584853142;444567;1584853142;444609;1584853142;444480;-0.5185;-0.3995;9.6815;1584853142444480;1584853142;436975;1584853142;437014;1584853142;425953;-0.1298828125
1584853142;544217;1584853142;544259;1584853142;544153;-0.5695;-0.459;9.5115;1584853142544153;1584853142;532189;1584853142;532212;1584853142;525881;-0.1591796875
1584853142;644403;1584853142;644442;1584853142;644346;-0.5695;-0.4845;9.6985;1584853142644346;1584853142;626166;1584853142;626189;1584853142;625523;-0.201171875
1584853142;744537;1584853142;744562;1584853142;744493;-0.7055;-0.5695;9.809;1584853142744493;1584853142;726292;1584853142;726315;1584853142;725936;-0.2451171875
1584853142;844205;1584853142;844229;1584853142;844160;-0.8075;-0.68;9.5455;1584853142844160;1584853142;830445;1584853142;830467;1584853142;825881;-0.3095703125
