sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;IMULatAcceleration;IMULgtAcceleration;IMUVerAcceleration;ts;sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;SteeringWhlAngle
1584853829;42498;1584853829;42532;1584853829;42444;0.153;-0.0425;9.6985;1584853829042444;1584853829;96046;1584853829;96083;1584853829;94253;0.1650390625
1584853829;143099;1584853829;143125;1584853829;143054;0.1105;-0.0425;9.639;1584853829143054;1584853829;194480;1584853829;194500;1584853829;194058;0.1650390625
1584853829;242638;1584853829;242662;1584853829;242592;0.1275;-0.0425;9.6985;1584853829242592;1584853829;294783;1584853829;294803;1584853829;294698;0.1650390625
1584853829;342531;1584853829;342573;1584853829;342442;0.1785;-0.0765;9.6645;1584853829342442;1584853829;396436;1584853829;396457;1584853829;394253;0.1650390625
1584853829;443156;1584853829;443226;1584853829;443065;0.153;-0.0595;9.6985;1584853829443065;1584853829;494230;1584853829;494253;1584853829;494105;0.1650390625
1584853829;542690;1584853829;542724;1584853829;542578;0.1275;-0.0595;9.6645;1584853829542578;1584853829;594813;1584853829;594837;1584853829;594702;0.1650390625
1584853829;642541;1584853829;642601;1584853829;642446;0.1105;-0.0425;9.639;1584853829642446;1584853829;694350;1584853829;694374;1584853829;694258;0.1650390625
1584853829;743114;1584853829;743159;1584853829;743057;0.0935;-0.0595;9.6645;1584853829743057;1584853829;794450;1584853829;794470;1584853829;794049;0.1650390625
1584853829;842654;1584853829;842906;1584853829;842609;0.1275;-0.0595;9.6135;1584853829842609;1584853829;896725;1584853829;896766;1584853829;894706;0.1650390625
1584853829;942543;1584853829;942571;1584853829;942461;0.1275;-0.0085;9.7155;1584853829942461;1584853829;995840;1584853829;995863;1584853829;994265;0.1650390625
1584853830;43129;1584853830;43376;1584853830;43067;0.1105;-0.0255;9.6645;1584853830043067;1584853830;94634;1584853830;94657;1584853830;94097;0.1650390625
1584853830;142685;1584853830;142713;1584853830;142590;0.153;-0.0255;9.6985;1584853830142590;1584853830;195524;1584853830;195548;1584853830;194720;0.1650390625
1584853830;242544;1584853830;242583;1584853830;242467;0.1275;-0.0085;9.6985;1584853830242467;1584853830;295095;1584853830;295117;1584853830;294263;0.1650390625
1584853830;343131;1584853830;343181;1584853830;343052;0.1785;-0.0765;9.7155;1584853830343052;1584853830;395111;1584853830;395143;1584853830;394063;0.1650390625
1584853830;442672;1584853830;442721;1584853830;442593;0.153;-0.0255;9.6645;1584853830442593;1584853830;500948;1584853830;500970;1584853830;494712;0.1650390625
1584853830;555809;1584853830;555917;1584853830;542446;0.0935;-0.0935;9.6645;1584853830542446;1584853830;595165;1584853830;595289;1584853830;594274;0.1650390625
1584853830;643151;1584853830;643274;1584853830;643065;0.1275;-0.0595;9.639;1584853830643065;1584853830;694717;1584853830;694743;1584853830;694115;0.1650390625
1584853830;742650;1584853830;742678;1584853830;742592;0.0935;-0.0765;9.6305;1584853830742592;1584853830;806617;1584853830;806739;1584853830;794489;0.1650390625
1584853830;842526;1584853830;842552;1584853830;842480;0.1275;-0.0595;9.6815;1584853830842480;1584853830;894834;1584853830;894871;1584853830;894267;0.1650390625
1584853830;943119;1584853830;943144;1584853830;943070;0.1275;-0.0425;9.6645;1584853830943070;1584853830;994369;1584853830;994394;1584853830;994069;0.1650390625
1584853831;42663;1584853831;42704;1584853831;42596;0.153;-0.0425;9.639;1584853831042596;1584853831;95255;1584853831;95278;1584853831;94732;0.1650390625
1584853831;142583;1584853831;142647;1584853831;142470;0.1275;-0.0255;9.6815;1584853831142470;1584853831;194535;1584853831;194558;1584853831;194273;0.1650390625
