sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;IMULatAcceleration;IMULgtAcceleration;IMUVerAcceleration;ts;sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;SteeringWhlAngle
1584855907;26254;1584855907;26289;1584855907;26196;0.0595;-0.5695;10.1405;1584855907026196;1584855907;88190;1584855907;88385;1584855907;88026;-0.416015625
1584855907;126526;1584855907;126553;1584855907;126456;0.3995;-0.918;9.809;1584855907126456;1584855907;188760;1584855907;188782;1584855907;188251;-0.416015625
1584855907;226573;1584855907;226601;1584855907;226505;0.0;-1.309;9.7665;1584855907226505;1584855907;289639;1584855907;289713;1584855907;288331;-0.427734375
1584855907;326259;1584855907;326293;1584855907;326205;0.1955;-1.411;9.4435;1584855907326205;1584855907;388732;1584855907;388760;1584855907;388100;-0.4853515625
1584855907;426538;1584855907;426594;1584855907;426464;0.0;-1.649;9.2055;1584855907426464;1584855907;488518;1584855907;488546;1584855907;488210;-0.599609375
1584855907;526619;1584855907;526673;1584855907;526478;-0.2125;-1.649;9.4435;1584855907526478;1584855907;588787;1584855907;588868;1584855907;588351;-0.716796875
1584855907;626416;1584855907;626452;1584855907;626269;-0.1105;-1.615;9.7835;1584855907626269;1584855907;688141;1584855907;688168;1584855907;688046;-0.7939453125
1584855907;726592;1584855907;726630;1584855907;726460;0.0255;-1.649;9.9365;1584855907726460;1584855907;788713;1584855907;788829;1584855907;788267;-0.8076171875
1584855907;826604;1584855907;826662;1584855907;826492;-0.0085;-1.479;9.724;1584855907826492;1584855907;888489;1584855907;888512;1584855907;888360;-0.8076171875
1584855907;926261;1584855907;926297;1584855907;926178;0.0935;-1.4195;9.4605;1584855907926178;1584855907;988158;1584855907;988180;1584855907;988068;-0.814453125
1584855908;26570;1584855908;26637;1584855908;26481;0.153;-1.3345;9.5965;1584855908026481;1584855908;88565;1584855908;88585;1584855908;88213;-0.8154296875
1584855908;126569;1584855908;126597;1584855908;126515;0.0;-1.445;9.962;1584855908126515;1584855908;188916;1584855908;188955;1584855908;188369;-0.8203125
1584855908;226293;1584855908;226367;1584855908;226250;0.1275;-1.513;9.8855;1584855908226250;1584855908;288624;1584855908;288673;1584855908;288051;-0.8232421875
1584855908;326530;1584855908;326560;1584855908;326469;0.2465;-1.479;9.6985;1584855908326469;1584855908;389768;1584855908;389804;1584855908;388300;-0.837890625
1584855908;426618;1584855908;426668;1584855908;426532;0.0935;-1.377;9.4775;1584855908426532;1584855908;488459;1584855908;488483;1584855908;488362;-0.8505859375
1584855908;526275;1584855908;526366;1584855908;526205;0.153;-1.326;9.418;1584855908526205;1584855908;588394;1584855908;588413;1584855908;588135;-0.8515625
1584855908;626589;1584855908;626641;1584855908;626499;0.0085;-1.258;9.5285;1584855908626499;1584855908;688921;1584855908;689018;1584855908;688242;-0.8515625
