sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;IMULatAcceleration;IMULgtAcceleration;IMUVerAcceleration
1584855550;3402;1584855550;3440;1584855549;999873;0.3485;0.2805;9.724
1584855550;107732;1584855550;107844;1584855550;99753;0.0935;0.1615;9.6985
1584855550;200166;1584855550;200209;1584855550;200102;0.0765;0.153;9.6135
1584855550;306706;1584855550;306763;1584855550;299866;0.3485;0.2125;9.6305
1584855550;399856;1584855550;399891;1584855550;399748;0.1275;0.1785;9.5625
1584855550;501433;1584855550;501464;1584855550;500104;0.306;0.306;9.6305
1584855550;600009;1584855550;600042;1584855550;599883;0.3485;0.1615;9.8345
1584855550;699863;1584855550;699892;1584855550;699787;0.2295;0.1615;9.4775
1584855550;800197;1584855550;800230;1584855550;800116;0.5015;0.1955;9.4775
1584855550;901988;1584855550;902085;1584855550;899887;0.5355;0.2125;9.6135
1584855550;999828;1584855550;999880;1584855550;999759;0.1105;0.1105;9.8175
1584855551;104075;1584855551;104189;1584855551;100124;0.2465;0.1955;9.8175
1584855551;199942;1584855551;199971;1584855551;199885;0.3315;0.1785;9.4435
1584855551;300579;1584855551;300644;1584855551;299784;0.1785;0.1615;9.571
1584855551;400191;1584855551;400220;1584855551;400125;0.2125;0.1615;9.8175
1584855551;509832;1584855551;509860;1584855551;509777;0.0765;0.0935;9.8515
1584855551;610256;1584855551;610281;1584855551;610211;0.3655;0.0425;9.8515
1584855551;710254;1584855551;710279;1584855551;710103;0.153;0.0595;9.7495
1584855551;809880;1584855551;809929;1584855551;809808;0.1105;0.0935;9.5455
1584855551;912580;1584855551;912612;1584855551;910187;0.2295;0.0595;9.5625
1584855552;10171;1584855552;10214;1584855552;10100;0.1105;0.0425;9.724
1584855552;110793;1584855552;110819;1584855552;109810;0.2125;0;9.5965
1584855552;210256;1584855552;210332;1584855552;210174;0.2805;-0.0085;9.6305
1584855552;310172;1584855552;310196;1584855552;310107;0.1105;-0.0595;9.5965
1584855552;409877;1584855552;409901;1584855552;409832;0.3655;-0.0085;9.5455
1584855552;510279;1584855552;510303;1584855552;510214;0.2125;-0.0765;9.5115
1584855552;612080;1584855552;612107;1584855552;610120;0.0085;-0.0425;9.6985
1584855552;712068;1584855552;712116;1584855552;709785;0.1785;-0.1955;9.5965
1584855552;810262;1584855552;810312;1584855552;810191;0.0765;-0.0935;9.571
1584855552;913075;1584855552;913099;1584855552;910132;0.1275;-0.0935;9.4605
1584855553;9906;1584855553;9948;1584855553;9833;0.0765;-0.1615;9.6645
1584855553;110280;1584855553;110304;1584855553;110208;0.0255;-0.1785;9.6135
1584855553;210187;1584855553;210211;1584855553;210144;0.0765;-0.1275;9.3755
1584855553;309910;1584855553;309934;1584855553;309844;0.0425;-0.153;9.571
1584855553;428478;1584855553;428501;1584855553;410205;-0.1105;-0.2125;9.9705
1584855553;514621;1584855553;514659;1584855553;510140;0.0085;-0.1785;9.724
1584855553;609931;1584855553;609979;1584855553;609848;-0.0085;-0.2635;9.7835
1584855553;710253;1584855553;710278;1584855553;710194;0;-0.3995;9.8345
1584855553;811038;1584855553;811126;1584855553;810138;0.1785;-0.1615;10.0725
1584855553;909878;1584855553;909902;1584855553;909824;0.0255;-0.1955;9.7155
1584855554;10260;1584855554;10288;1584855554;10199;0.0425;-0.2805;9.571
1584855554;110197;1584855554;110222;1584855554;110154;0.153;-0.0935;9.9705
1584855554;209912;1584855554;209977;1584855554;209844;-0.0085;-0.2295;9.8685
1584855554;310330;1584855554;310385;1584855554;310257;0.0425;-0.2635;9.6815
1584855554;410271;1584855554;410313;1584855554;410148;0.0085;-0.1105;9.7155
1584855554;511885;1584855554;511957;1584855554;509884;-0.1105;-0.2125;9.8175
1584855554;610289;1584855554;610323;1584855554;610224;0.0425;-0.2125;9.7155
1584855554;710235;1584855554;710275;1584855554;710167;0.0425;-0.1785;9.9365
1584855554;809935;1584855554;809964;1584855554;809886;0.0765;-0.1955;9.8855
1584855554;910316;1584855554;910340;1584855554;910272;0.0595;-0.2295;9.6815
1584855555;10250;1584855555;10274;1584855555;10178;0.0765;-0.1105;9.6815
1584855555;109918;1584855555;109943;1584855555;109848;0.0425;-0.0935;9.7495
1584855555;216589;1584855555;216705;1584855555;210238;0.0425;-0.2295;9.8685
1584855555;310244;1584855555;310268;1584855555;310166;0;-0.1785;9.571
1584855555;410275;1584855555;410396;1584855555;409862;0.0595;-0.2465;9.639
1584855555;520289;1584855555;520347;1584855555;520209;0.0595;-0.1105;9.4605
1584855555;620301;1584855555;620340;1584855555;620234;0.0255;-0.1785;9.4605
1584855555;720014;1584855555;720046;1584855555;719951;0.0935;-0.1955;9.5115
1584855555;820287;1584855555;820316;1584855555;820202;0.0595;-0.0935;9.7835
1584855555;920277;1584855555;920301;1584855555;920231;-0.0425;-0.2295;9.3925
1584855556;21961;1584855556;21991;1584855556;19970;0.0935;-0.1785;9.4775
1584855556;138315;1584855556;138346;1584855556;120207;0.0085;-0.391;9.7495
1584855556;220321;1584855556;220369;1584855556;220241;0.0085;-0.391;9.8515
1584855556;320027;1584855556;320080;1584855556;319956;0.1615;-0.2635;9.6815
1584855556;420312;1584855556;420347;1584855556;420244;0;-0.391;9.8175
1584855556;520355;1584855556;520406;1584855556;520238;-0.1275;-0.5695;9.3245
1584855556;620071;1584855556;620108;1584855556;620015;0.2465;-0.544;9.3755
1584855556;744992;1584855556;745017;1584855556;720220;0.0935;-0.68;9.8685
1584855556;860479;1584855556;860599;1584855556;860297;0.0425;-0.765;10.0725
1584855556;960019;1584855556;960049;1584855556;959967;0.2635;-0.544;9.3925
