sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;SteeringWhlAngle
1584855456;40704;1584855456;40726;1584855456;39704;-0.0029296875
1584855456;141347;1584855456;141370;1584855456;140096;-0.0048828125
1584855456;244197;1584855456;244220;1584855456;239890;-0.0078125
1584855456;341465;1584855456;341487;1584855456;339741;-0.009765625
1584855456;440672;1584855456;440696;1584855456;440097;-0.009765625
1584855456;540049;1584855456;540096;1584855456;539906;-0.0107421875
1584855456;640408;1584855456;640433;1584855456;639691;-0.0107421875
1584855456;741175;1584855456;741197;1584855456;740122;-0.0107421875
1584855456;843705;1584855456;843728;1584855456;839910;-0.0107421875
1584855456;940992;1584855456;941016;1584855456;939726;-0.0107421875
1584855457;43390;1584855457;43481;1584855457;40125;-0.0107421875
1584855457;140267;1584855457;140290;1584855457;139916;-0.009765625
1584855457;245998;1584855457;246021;1584855457;239723;-0.0107421875
1584855457;340270;1584855457;340292;1584855457;340122;-0.015625
1584855457;440063;1584855457;440085;1584855457;439927;-0.0166015625
1584855457;539915;1584855457;539938;1584855457;539750;-0.0166015625
1584855457;641239;1584855457;641261;1584855457;640127;-0.0166015625
1584855457;745938;1584855457;745962;1584855457;739924;-0.01953125
1584855457;845218;1584855457;845241;1584855457;839742;-0.0263671875
1584855457;941241;1584855457;941363;1584855457;940145;-0.03125
1584855458;40316;1584855458;40339;1584855458;39936;-0.03125
1584855458;140705;1584855458;140739;1584855458;139741;-0.0341796875
1584855458;240404;1584855458;240451;1584855458;240133;-0.0390625
1584855458;340233;1584855458;340256;1584855458;339929;-0.0400390625
1584855458;439900;1584855458;439923;1584855458;439745;-0.0400390625
1584855458;541384;1584855458;541408;1584855458;540161;-0.0400390625
1584855458;643296;1584855458;643335;1584855458;639949;-0.0400390625
1584855458;741072;1584855458;741095;1584855458;739815;-0.0400390625
1584855458;841272;1584855458;841313;1584855458;840170;-0.0400390625
1584855458;940339;1584855458;940363;1584855458;939955;-0.0400390625
1584855459;40582;1584855459;40607;1584855459;39758;-0.044921875
1584855459;140495;1584855459;140520;1584855459;140155;-0.0625
1584855459;240114;1584855459;240136;1584855459;239950;-0.068359375
1584855459;339919;1584855459;339942;1584855459;339749;-0.06640625
1584855459;441383;1584855459;441420;1584855459;440159;-0.060546875
1584855459;540970;1584855459;541028;1584855459;539961;-0.060546875
1584855459;640983;1584855459;641006;1584855459;639803;-0.060546875
1584855459;745802;1584855459;745826;1584855459;740190;-0.060546875
1584855459;841685;1584855459;841710;1584855459;839967;-0.060546875
1584855459;941116;1584855459;941148;1584855459;939793;-0.060546875
1584855460;40837;1584855460;40947;1584855460;40175;-0.060546875
1584855460;140086;1584855460;140109;1584855460;139971;-0.060546875
1584855460;240110;1584855460;240133;1584855460;239811;-0.060546875
1584855460;341664;1584855460;341722;1584855460;340198;-0.060546875
1584855460;447048;1584855460;447071;1584855460;439968;-0.060546875
1584855460;541178;1584855460;541222;1584855460;539852;-0.060546875
1584855460;641449;1584855460;641489;1584855460;640187;-0.060546875
1584855460;741654;1584855460;741697;1584855460;739966;-0.060546875
1584855460;841394;1584855460;841417;1584855460;839803;-0.05078125
1584855460;940498;1584855460;940621;1584855460;940201;-0.037109375
1584855461;40390;1584855461;40413;1584855461;39992;-0.0302734375
1584855461;140218;1584855461;140241;1584855461;139864;-0.0224609375
1584855461;243574;1584855461;243597;1584855461;240185;-0.0107421875
1584855461;362234;1584855461;362257;1584855461;339977;0.0087890625
1584855461;441074;1584855461;441097;1584855461;439810;0.0341796875
1584855461;541481;1584855461;541521;1584855461;540193;0.0693359375
1584855461;640380;1584855461;640402;1584855461;639985;0.103515625
1584855461;741445;1584855461;741475;1584855461;739804;0.1298828125
1584855461;840372;1584855461;840395;1584855461;840207;0.1630859375
1584855461;940624;1584855461;940651;1584855461;939983;0.208984375
1584855462;39983;1584855462;40062;1584855462;39799;0.2705078125
1584855462;140597;1584855462;140620;1584855462;140203;0.3623046875
1584855462;241559;1584855462;241582;1584855462;239977;0.4814453125
1584855462;344470;1584855462;344532;1584855462;339795;0.611328125
1584855462;441497;1584855462;441519;1584855462;439977;0.7353515625
1584855462;543643;1584855462;543681;1584855462;539990;0.8447265625
1584855462;640692;1584855462;640717;1584855462;639815;0.93359375
1584855462;741241;1584855462;741266;1584855462;740217;1.001953125
1584855462;840150;1584855462;840172;1584855462;839992;1.0859375
1584855462;940857;1584855462;940887;1584855462;939782;1.181640625
1584855463;40167;1584855463;40247;1584855463;39978;1.2939453125
1584855463;141224;1584855463;141247;1584855463;139991;1.4140625
1584855463;242651;1584855463;242674;1584855463;239816;1.521484375
1584855463;358485;1584855463;358525;1584855463;340214;1.626953125
1584855463;441353;1584855463;441393;1584855463;439989;1.7314453125
1584855463;541140;1584855463;541162;1584855463;539859;1.82421875
1584855463;641973;1584855463;641996;1584855463;639986;1.8994140625
1584855463;740294;1584855463;740318;1584855463;740006;1.9619140625
1584855463;840706;1584855463;840735;1584855463;839822;2.01171875
1584855463;940401;1584855463;940423;1584855463;940222;2.0634765625
1584855464;40305;1584855464;40327;1584855464;40022;2.12109375
1584855464;141166;1584855464;141205;1584855464;139797;2.177734375
1584855464;244141;1584855464;244164;1584855464;239983;2.2294921875
1584855464;341556;1584855464;341594;1584855464;340015;2.2666015625
1584855464;441153;1584855464;441192;1584855464;439815;2.2880859375
1584855464;542292;1584855464;542320;1584855464;540242;2.3056640625
1584855464;640652;1584855464;640673;1584855464;640034;2.3310546875
1584855464;740140;1584855464;740166;1584855464;739849;2.376953125
1584855464;840390;1584855464;840426;1584855464;840246;2.4453125
1584855464;940202;1584855464;940284;1584855464;940013;2.5283203125
1584855465;40860;1584855465;40900;1584855465;39818;2.6142578125
1584855465;146133;1584855465;146156;1584855465;140222;2.7001953125
1584855465;241291;1584855465;241313;1584855465;240034;2.7958984375
1584855465;341367;1584855465;341408;1584855465;339840;2.8837890625
1584855465;456356;1584855465;456426;1584855465;440261;2.9326171875
1584855465;543171;1584855465;543198;1584855465;540036;2.9375
1584855465;639960;1584855465;639985;1584855465;639849;2.9443359375
1584855465;740397;1584855465;740422;1584855465;740255;2.9541015625
1584855465;840187;1584855465;840212;1584855465;840059;2.955078125
1584855465;940058;1584855465;940077;1584855465;939903;2.955078125
1584855466;41499;1584855466;41536;1584855466;40262;2.955078125
1584855466;141297;1584855466;141343;1584855466;140045;2.955078125
1584855466;241053;1584855466;241075;1584855466;239900;2.955078125
1584855466;347484;1584855466;347543;1584855466;340279;2.955078125
1584855466;440563;1584855466;440586;1584855466;440058;2.955078125
1584855466;541345;1584855466;541383;1584855466;539875;2.955078125
1584855466;640303;1584855466;640326;1584855466;640036;2.955078125
1584855466;764735;1584855466;764758;1584855466;740056;2.955078125
1584855466;840207;1584855466;840230;1584855466;839866;2.955078125
