sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;SteeringWhlAngle
1584853141;188110;1584853141;188133;1584853141;185695;0.0419921875
1584853141;287979;1584853141;288019;1584853141;285596;0.0390625
1584853141;386553;1584853141;386573;1584853141;385925;0.0380859375
1584853141;487258;1584853141;487288;1584853141;485929;0.03515625
1584853141;587020;1584853141;587055;1584853141;585595;0.0283203125
1584853141;686205;1584853141;686228;1584853141;685941;0.0185546875
1584853141;796919;1584853141;796943;1584853141;785700;0.0029296875
1584853141;886935;1584853141;886975;1584853141;885612;-0.00390625
1584853141;987451;1584853141;987485;1584853141;985912;-0.015625
1584853142;86115;1584853142;86137;1584853142;85694;-0.0322265625
1584853142;187280;1584853142;187349;1584853142;185624;-0.0576171875
1584853142;287280;1584853142;287304;1584853142;285924;-0.095703125
1584853142;386117;1584853142;386140;1584853142;385698;-0.1220703125
1584853142;488594;1584853142;488626;1584853142;485615;-0.1455078125
1584853142;586251;1584853142;586273;1584853142;585922;-0.18359375
1584853142;687112;1584853142;687135;1584853142;685698;-0.228515625
1584853142;786498;1584853142;786592;1584853142;785599;-0.28515625
1584853142;910397;1584853142;910421;1584853142;885927;-0.3466796875
1584853143;17276;1584853143;17299;1584853143;5727;-0.4072265625
1584853143;106692;1584853143;106715;1584853143;106135;-0.4384765625
1584853143;207322;1584853143;207360;1584853143;205933;-0.4423828125
1584853143;308988;1584853143;309031;1584853143;305691;-0.4462890625
1584853143;406931;1584853143;406956;1584853143;406134;-0.45703125
1584853143;506564;1584853143;506591;1584853143;505918;-0.478515625
1584853143;606836;1584853143;606892;1584853143;605689;-0.5
1584853143;710020;1584853143;710067;1584853143;706145;-0.5107421875
1584853143;806792;1584853143;806816;1584853143;805944;-0.5458984375
1584853143;907371;1584853143;907405;1584853143;905691;-0.6044921875
1584853144;6550;1584853144;6573;1584853144;6149;-0.666015625
1584853144;107448;1584853144;107470;1584853144;105914;-0.7236328125
1584853144;206483;1584853144;206546;1584853144;205746;-0.7822265625
1584853144;307619;1584853144;307648;1584853144;305908;-0.8369140625
1584853144;406276;1584853144;406300;1584853144;405941;-0.8984375
1584853144;507344;1584853144;507369;1584853144;505706;-0.9560546875
1584853144;607667;1584853144;607705;1584853144;606150;-0.998046875
1584853144;707975;1584853144;707998;1584853144;705949;-1.041015625
1584853144;806572;1584853144;806634;1584853144;805713;-1.1123046875
1584853144;907286;1584853144;907394;1584853144;905903;-1.1953125
1584853145;7212;1584853145;7259;1584853145;5952;-1.271484375
1584853145;107342;1584853145;107377;1584853145;105717;-1.3291015625
1584853145;206749;1584853145;206772;1584853145;206157;-1.3603515625
1584853145;307918;1584853145;307941;1584853145;305947;-1.3642578125
1584853145;408024;1584853145;408046;1584853145;405735;-1.365234375
1584853145;506821;1584853145;506944;1584853145;505924;-1.365234375
1584853145;606556;1584853145;606584;1584853145;605957;-1.365234375
1584853145;707660;1584853145;707682;1584853145;705729;-1.365234375
1584853145;808370;1584853145;808409;1584853145;806165;-1.365234375
1584853145;906364;1584853145;906386;1584853145;905957;-1.365234375
1584853146;6801;1584853146;6833;1584853146;5746;-1.365234375
1584853146;107493;1584853146;107515;1584853146;105926;-1.35546875
1584853146;208286;1584853146;208339;1584853146;205951;-1.322265625
1584853146;307245;1584853146;307267;1584853146;305752;-1.271484375
1584853146;407521;1584853146;407628;1584853146;406155;-1.201171875
1584853146;507423;1584853146;507460;1584853146;505945;-1.1171875
1584853146;607089;1584853146;607112;1584853146;605760;-1.0283203125
1584853146;706461;1584853146;706483;1584853146;705912;-0.953125
1584853146;806959;1584853146;806984;1584853146;805956;-0.869140625
1584853146;907137;1584853146;907159;1584853146;905733;-0.7626953125
1584853147;7513;1584853147;7535;1584853147;6172;-0.6240234375
1584853147;106497;1584853147;106522;1584853147;105943;-0.453125
1584853147;207028;1584853147;207072;1584853147;205751;-0.2646484375
