sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;SteeringWhlAngle
1584853141;28580;1584853141;28619;1584853141;25862;0.0458984375
1584853141;130047;1584853141;130086;1584853141;125534;0.044921875
1584853141;240774;1584853141;240798;1584853141;225935;0.041015625
1584853141;330220;1584853141;330248;1584853141;325874;0.0390625
1584853141;427078;1584853141;427127;1584853141;425525;0.0361328125
1584853141;530237;1584853141;530277;1584853141;525917;0.0322265625
1584853141;627564;1584853141;627586;1584853141;625863;0.0244140625
1584853141;737847;1584853141;737920;1584853141;725555;0.01171875
1584853141;837794;1584853141;837817;1584853141;825728;-0.0009765625
1584853141;930786;1584853141;930809;1584853141;925884;-0.0078125
1584853142;29118;1584853142;29155;1584853142;25519;-0.0205078125
1584853142;131306;1584853142;131329;1584853142;125956;-0.041015625
1584853142;226223;1584853142;226245;1584853142;225895;-0.0732421875
1584853142;327970;1584853142;327993;1584853142;325537;-0.1083984375
1584853142;436975;1584853142;437014;1584853142;425953;-0.1298828125
1584853142;532189;1584853142;532212;1584853142;525881;-0.1591796875
1584853142;626166;1584853142;626189;1584853142;625523;-0.201171875
1584853142;726292;1584853142;726315;1584853142;725936;-0.2451171875
1584853142;830445;1584853142;830467;1584853142;825881;-0.3095703125
1584853142;992246;1584853142;992276;1584853142;925554;-0.3681640625
1584853143;55803;1584853143;55864;1584853143;46128;-0.4228515625
1584853143;147082;1584853143;147106;1584853143;145795;-0.44140625
1584853143;247854;1584853143;247889;1584853143;246007;-0.443359375
1584853143;347630;1584853143;347670;1584853143;346132;-0.44921875
1584853143;447749;1584853143;447772;1584853143;445804;-0.4638671875
1584853143;546982;1584853143;547004;1584853143;545966;-0.4892578125
1584853143;646513;1584853143;646537;1584853143;646150;-0.5029296875
1584853143;746239;1584853143;746319;1584853143;745801;-0.521484375
1584853143;848492;1584853143;848672;1584853143;845972;-0.5673828125
1584853143;946519;1584853143;946542;1584853143;946148;-0.6298828125
1584853144;46989;1584853144;47055;1584853144;45838;-0.689453125
1584853144;146674;1584853144;146765;1584853144;145995;-0.748046875
1584853144;249743;1584853144;249832;1584853144;246155;-0.8046875
1584853144;348029;1584853144;348077;1584853144;345806;-0.8603515625
1584853144;446424;1584853144;446447;1584853144;446000;-0.921875
1584853144;546472;1584853144;546495;1584853144;546162;-0.9755859375
1584853144;647083;1584853144;647123;1584853144;645818;-1.0126953125
1584853144;748093;1584853144;748300;1584853144;745993;-1.0654296875
1584853144;846567;1584853144;846705;1584853144;846155;-1.1455078125
1584853144;947069;1584853144;947101;1584853144;945817;-1.2265625
1584853145;47725;1584853145;47750;1584853145;45983;-1.298828125
1584853145;147649;1584853145;147689;1584853145;146152;-1.3447265625
1584853145;246635;1584853145;246663;1584853145;245871;-1.365234375
1584853145;347956;1584853145;347991;1584853145;346009;-1.3642578125
1584853145;447521;1584853145;447561;1584853145;446166;-1.365234375
1584853145;547587;1584853145;547635;1584853145;545831;-1.365234375
1584853145;646699;1584853145;646829;1584853145;646019;-1.365234375
1584853145;746769;1584853145;746795;1584853145;746166;-1.365234375
1584853145;847175;1584853145;847213;1584853145;845822;-1.3642578125
1584853145;949499;1584853145;949619;1584853145;946009;-1.365234375
1584853146;46584;1584853146;46678;1584853146;46170;-1.365234375
1584853146;147040;1584853146;147070;1584853146;145820;-1.345703125
1584853146;249536;1584853146;249660;1584853146;246001;-1.3046875
1584853146;348290;1584853146;348397;1584853146;346174;-1.2451171875
1584853146;446830;1584853146;446885;1584853146;445881;-1.16796875
1584853146;548560;1584853146;548592;1584853146;546022;-1.0810546875
1584853146;647505;1584853146;647527;1584853146;646174;-0.998046875
1584853146;748334;1584853146;748375;1584853146;745822;-0.921875
1584853146;847079;1584853146;847107;1584853146;846010;-0.8291015625
1584853146;946450;1584853146;946632;1584853146;946192;-0.7119140625
1584853147;46123;1584853147;46146;1584853147;45840;-0.5595703125
1584853147;147693;1584853147;147717;1584853147;146000;-0.3798828125
1584853147;246476;1584853147;246499;1584853147;246181;-0.1875
1584853147;347070;1584853147;347157;1584853147;345845;-0.0087890625
1584853147;446698;1584853147;446783;1584853147;446020;0.166015625
1584853147;547540;1584853147;547630;1584853147;546167;0.3408203125
1584853147;646215;1584853147;646267;1584853147;645843;0.521484375
1584853147;748049;1584853147;748087;1584853147;746004;0.71484375
1584853147;846477;1584853147;846499;1584853147;846170;0.9482421875
1584853147;947188;1584853147;947226;1584853147;945839;1.224609375
1584853148;46568;1584853148;46640;1584853148;46057;1.5126953125
1584853148;146499;1584853148;146523;1584853148;146175;1.7861328125
