sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;IMULatAcceleration;IMULgtAcceleration;IMUVerAcceleration
1584853141;104321;1584853141;104357;1584853141;104251;-0.2465;-0.2295;9.6305
1584853141;204078;1584853141;204111;1584853141;204022;-0.0425;-0.2295;9.962
1584853141;304266;1584853141;304294;1584853141;304215;-0.3145;-0.2635;9.6815
1584853141;404325;1584853141;404364;1584853141;404257;-0.1955;-0.1955;9.7835
1584853141;504106;1584853141;504132;1584853141;504023;-0.3485;-0.2295;9.724
1584853141;604271;1584853141;604300;1584853141;604213;-0.3315;-0.3145;9.4605
1584853141;708326;1584853141;708353;1584853141;704252;-0.3655;-0.306;9.8515
1584853141;805080;1584853141;805107;1584853141;804066;-0.3145;-0.3145;9.6985
1584853141;904283;1584853141;904346;1584853141;904226;-0.2125;-0.153;9.6305
1584853142;104124;1584853142;104156;1584853142;104057;-0.3655;-0.2465;9.5965
1584853142;204526;1584853142;204570;1584853142;204483;-0.3995;-0.3315;9.7155
1584853142;304344;1584853142;304386;1584853142;304277;-0.4335;-0.3145;9.724
1584853142;404154;1584853142;404329;1584853142;404056;-0.4165;-0.306;9.7665
1584853142;505238;1584853142;505294;1584853142;504238;-0.5865;-0.3145;9.6645
1584853142;604333;1584853142;604386;1584853142;604286;-0.7225;-0.544;9.6645
1584853142;704113;1584853142;704140;1584853142;704031;-0.765;-0.5525;9.7495
1584853142;804632;1584853142;804659;1584853142;804506;-0.6205;-0.629;9.486
1584853142;977019;1584853142;977078;1584853142;904262;-0.697;-0.629;9.8345
1584853143;45952;1584853143;45976;1584853143;34271;-1.0795;-0.5015;9.6135
1584853143;134374;1584853143;134399;1584853143;134318;-0.8755;-0.459;9.571
1584853143;234145;1584853143;234193;1584853143;234100;-1.0285;-0.459;9.8175
1584853143;334363;1584853143;334403;1584853143;334278;-0.8585;-0.391;9.5625
1584853143;434437;1584853143;434471;1584853143;434326;-0.765;-0.459;9.7495
