sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;IMULatAcceleration;IMULgtAcceleration;IMUVerAcceleration
1584853141;44198;1584853141;44222;1584853141;44154;-0.2805;-0.2125;9.7495
1584853141;144374;1584853141;144417;1584853141;144304;-0.306;-0.3145;9.8345
1584853141;250932;1584853141;250970;1584853141;244475;-0.2465;-0.2465;9.809
1584853141;344649;1584853141;344681;1584853141;344147;-0.2635;-0.1785;9.5965
1584853141;444695;1584853141;444727;1584853141;444323;-0.1615;-0.2465;9.6985
1584853141;544551;1584853141;544593;1584853141;544489;-0.3825;-0.2805;9.8515
1584853141;644228;1584853141;644273;1584853141;644156;-0.3655;-0.3315;9.724
1584853141;746404;1584853141;746488;1584853141;744320;-0.3995;-0.1955;9.6135
1584853141;846737;1584853141;846772;1584853141;844467;-0.4335;-0.2295;9.6135
1584853141;944215;1584853141;944241;1584853141;944169;-0.3145;-0.3485;9.6305
1584853142;44395;1584853142;44447;1584853142;44320;-0.5185;-0.2635;9.6815
1584853142;144615;1584853142;144667;1584853142;144482;-0.3145;-0.2805;9.6985
1584853142;244209;1584853142;244246;1584853142;244152;-0.6205;-0.3655;9.724
1584853142;344488;1584853142;344534;1584853142;344353;-0.612;-0.391;9.7495
1584853142;444567;1584853142;444609;1584853142;444480;-0.5185;-0.3995;9.6815
1584853142;544217;1584853142;544259;1584853142;544153;-0.5695;-0.459;9.5115
1584853142;644403;1584853142;644442;1584853142;644346;-0.5695;-0.4845;9.6985
1584853142;744537;1584853142;744562;1584853142;744493;-0.7055;-0.5695;9.809
1584853142;844205;1584853142;844229;1584853142;844160;-0.8075;-0.68;9.5455
1584853142;993590;1584853142;993613;1584853142;944331;-0.986;-0.7055;9.6135
1584853143;74088;1584853143;74121;1584853143;73969;-0.9265;-0.544;9.418
1584853143;174405;1584853143;174472;1584853143;174321;-0.765;-0.459;9.5965
1584853143;274330;1584853143;274387;1584853143;274259;-1.0115;-0.391;9.6645
1584853143;373996;1584853143;374022;1584853143;373948;-1.071;-0.459;9.7835
1584853143;474421;1584853143;474448;1584853143;474325;-0.9605;-0.5015;9.639
1584853143;574317;1584853143;574358;1584853143;574241;-0.9435;-0.4165;9.7155
1584853143;674047;1584853143;674080;1584853143;673945;-0.697;-0.5865;9.571
1584853143;774393;1584853143;774458;1584853143;774344;-0.9605;-0.459;9.9195
1584853143;874313;1584853143;874338;1584853143;874267;-0.918;-0.4335;9.5965
1584853143;973982;1584853143;974039;1584853143;973924;-0.7735;-0.4675;9.809
1584853144;74438;1584853144;74475;1584853144;74379;-1.071;-0.5695;9.7155
1584853144;174357;1584853144;174397;1584853144;174246;-1.156;-0.4675;9.5625
1584853144;274047;1584853144;274079;1584853144;273990;-1.156;-0.4675;9.8685
1584853144;374418;1584853144;374445;1584853144;374326;-1.3175;-0.3145;9.724
1584853144;474395;1584853144;474427;1584853144;474286;-1.309;-0.3315;9.333
1584853144;574033;1584853144;574071;1584853144;573947;-1.3345;-0.3655;9.3585
1584853144;674398;1584853144;674434;1584853144;674334;-1.6405;-0.3995;9.9365
1584853144;774309;1584853144;774350;1584853144;774248;-1.4025;-0.391;9.5625
1584853144;874003;1584853144;874056;1584853144;873934;-1.598;-0.4675;9.724
1584853144;974436;1584853144;974465;1584853144;974343;-1.4875;-0.2295;9.2055
1584853145;74317;1584853145;74342;1584853145;74271;-1.836;-0.4165;9.486
1584853145;174046;1584853145;174089;1584853145;173950;-1.615;-0.4165;9.8175
1584853145;274464;1584853145;274925;1584853145;274335;-1.7255;-0.4165;9.8515
1584853145;374342;1584853145;374369;1584853145;374294;-1.4025;-0.3315;9.5455
1584853145;474052;1584853145;474100;1584853145;473984;-1.6405;-0.2465;9.8175
1584853145;574418;1584853145;574445;1584853145;574342;-1.445;-0.1105;9.7495
1584853145;674327;1584853145;674434;1584853145;674249;-1.4195;-0.0935;9.8175
1584853145;774054;1584853145;774096;1584853145;773964;-1.4705;-0.0765;9.9365
1584853145;874433;1584853145;874490;1584853145;874366;-1.3345;0.0425;9.8175
1584853145;974322;1584853145;974365;1584853145;974251;-1.394;0.0425;9.5455
1584853146;74093;1584853146;74366;1584853146;73951;-1.292;0.0935;9.962
1584853146;174390;1584853146;174420;1584853146;174336;-1.377;0.0765;9.8515
1584853146;274375;1584853146;274415;1584853146;274285;-1.4025;0.1785;9.9025
1584853146;374009;1584853146;374050;1584853146;373940;-1.003;0.1275;9.486
1584853146;474475;1584853146;474576;1584853146;474384;-0.9605;0.0935;9.486
1584853146;574325;1584853146;574354;1584853146;574277;-0.7055;0.1785;9.7155
1584853146;674995;1584853146;675043;1584853146;673992;-0.7905;0.153;9.4775
1584853146;774424;1584853146;774451;1584853146;774354;-0.8075;0.1275;9.8515
